prix,date
3364.99,2021-10-25
3623.99,2021-11-10
3681.09,2022-1-8
3634.02,2022-1-9
3631.68,2022-1-10
3627.41,2022-1-11
3627.4,2022-1-12
3680.78,2022-1-14
3684.39,2022-1-15
3634.53,2022-1-16
3646.28,2022-1-17
3698.98,2022-1-18
3650.17,2022-1-19
3650.16,2022-1-20
3650.15,2022-1-21
3650.14,2022-1-22
3650.13,2022-1-23
3650.12,2022-1-24
3598.1,2022-3-21
3594.5,2022-3-22
3590.91,2022-3-23
3652.57,2022-3-24
3652.57,2022-3-25
3652.57,2022-3-26
3652.57,2022-3-27
3652.57,2022-3-28
3648.92,2022-3-29
3878.48,2022-4-4
3878.48,2022-4-6
