prix,date
3174.568288854003,2021-10-9
3170.879120879121,2021-10-10
3139.5604395604396,2021-10-11
3139.4819466248036,2021-10-15
3045.52590266876,2021-10-17
3045.52590266876,2021-10-18
2982.7315541601256,2021-10-21
3139.717425431711,2021-10-25
3221.350078492936,2021-10-26
3131.868131868132,2021-10-31
3221.350078492936,2021-11-1
3202.511773940345,2021-11-2
3202.511773940345,2021-11-3
3186.6562009419154,2021-11-9
3185.243328100471,2021-11-10
3184.929356357928,2021-11-12
3147.4097331240187,2021-11-14
3142.0722135007845,2021-11-15
3122.1350078492937,2021-11-16
3092.464678178964,2021-11-17
3092.464678178964,2021-11-18
3053.0612244897957,2021-11-27
3184.850863422292,2021-11-28
3139.5604395604396,2021-11-29
3139.5604395604396,2021-11-30
3108.320251177394,2021-12-1
3139.5604395604396,2021-12-3
3139.5604395604396,2021-12-4
3767.6609105180537,2021-12-5
3610.675039246468,2021-12-6
3610.675039246468,2021-12-7
3436.1067503924646,2021-12-8
3436.1067503924646,2021-12-9
3418.6813186813188,2021-12-10
3436.1067503924646,2021-12-11
3436.1067503924646,2021-12-12
3417.5824175824173,2021-12-13
3417.5824175824173,2021-12-14
3400.313971742543,2021-12-15
3400.313971742543,2021-12-16
3400.313971742543,2021-12-17
3400.313971742543,2021-12-18
3400.313971742543,2021-12-19
3400.313971742543,2021-12-20
3400.313971742543,2021-12-21
3400.313971742543,2021-12-22
3400.313971742543,2021-12-23
3400.313971742543,2021-12-24
3383.0455259026685,2021-12-25
3383.0455259026685,2021-12-26
3383.0455259026685,2021-12-27
3383.0455259026685,2021-12-28
3357.6138147566717,2021-12-29
3357.6138147566717,2021-12-30
3357.6138147566717,2021-12-31
3357.6138147566717,2022-1-1
3357.6138147566717,2022-1-2
3357.6138147566717,2022-1-3
3357.6138147566717,2022-1-4
3357.6138147566717,2022-1-5
3357.6138147566717,2022-1-10
16101.11616954474,2022-1-13
3532.182103610675,2022-1-15
3453.6891679748824,2022-1-17
16101.11616954474,2022-1-19
16101.11616954474,2022-2-6
3750.078492935636,2022-2-9
16101.11616954474,2022-2-14
3689.1679748822603,2022-2-15
3657.770800627943,2022-2-20
3626.3736263736264,2022-2-26
3767.6609105180537,2022-3-1
3924.646781789639,2022-3-2
3861.852433281005,2022-3-3
3844.270015698587,2022-3-6
3812.87284144427,2022-3-8
3781.4756671899527,2022-3-9
3778.335949764521,2022-3-14
3844.270015698587,2022-3-21
3907.064364207221,2022-3-25
3875.667189952904,2022-3-27
3875.667189952904,2022-3-28
