prix,date
27.88,2021-10-9
28.18,2021-10-10
27.95,2021-10-11
28.17,2021-10-12
28.16,2021-10-13
28.13,2021-10-14
28.0,2021-10-15
28.14,2021-10-16
28.2,2021-10-17
28.36,2021-10-18
28.36,2021-10-19
28.17,2021-10-20
27.76,2021-10-21
26.74,2021-10-22
26.24,2021-10-23
26.5,2021-10-24
26.27,2021-10-25
25.96,2021-10-26
26.21,2021-10-27
26.0,2021-10-28
26.42,2021-10-29
28.48,2021-10-30
26.78,2021-11-1
27.0,2021-11-2
26.5,2021-11-3
26.45,2021-11-4
26.79,2021-11-5
27.12,2021-11-6
26.95,2021-11-7
27.0,2021-11-8
26.97,2021-11-9
28.49,2021-11-10
28.45,2021-11-12
27.17,2021-11-13
28.44,2021-11-14
28.48,2021-11-15
28.48,2021-11-16
26.74,2021-11-17
28.0,2021-11-18
27.76,2021-11-19
28.49,2021-11-20
28.49,2021-11-21
27.32,2021-11-22
27.8,2021-11-23
27.58,2021-11-24
27.2,2021-11-25
27.53,2021-11-26
27.36,2021-11-27
27.34,2021-11-28
27.42,2021-11-29
27.27,2021-11-30
27.32,2021-12-1
27.99,2021-12-2
28.01,2021-12-3
28.47,2021-12-4
28.46,2021-12-5
28.8,2021-12-6
29.42,2021-12-7
29.78,2021-12-8
29.73,2021-12-9
29.31,2021-12-10
29.5,2021-12-11
29.03,2021-12-12
28.73,2021-12-13
29.78,2021-12-14
30.46,2021-12-15
30.3,2021-12-16
29.69,2021-12-17
29.39,2021-12-18
29.24,2021-12-19
28.86,2021-12-20
29.55,2021-12-21
29.49,2021-12-22
29.45,2021-12-23
29.16,2021-12-24
29.1,2021-12-25
29.16,2021-12-26
29.16,2021-12-27
29.16,2021-12-28
29.16,2021-12-29
29.12,2021-12-30
29.07,2021-12-31
29.01,2022-1-1
29.16,2022-1-2
29.11,2022-1-3
28.68,2022-1-4
29.16,2022-1-5
29.16,2022-1-6
29.12,2022-1-7
29.16,2022-1-8
29.16,2022-1-9
29.16,2022-1-10
29.16,2022-1-11
29.1,2022-1-12
29.16,2022-1-13
29.16,2022-1-14
29.16,2022-1-15
29.16,2022-1-16
29.16,2022-1-17
29.14,2022-1-18
29.16,2022-1-19
29.16,2022-1-20
29.16,2022-1-21
29.1,2022-1-22
28.98,2022-1-23
28.91,2022-1-24
29.16,2022-1-25
29.07,2022-1-26
28.85,2022-1-27
28.54,2022-1-28
28.48,2022-1-29
28.43,2022-1-30
28.8,2022-1-31
28.55,2022-2-1
28.56,2022-2-2
29.08,2022-2-3
29.08,2022-2-4
29.04,2022-2-5
29.61,2022-2-6
29.49,2022-2-7
29.44,2022-2-8
29.0,2022-2-9
29.49,2022-2-10
29.49,2022-2-11
29.47,2022-2-12
29.17,2022-2-13
29.39,2022-2-14
30.11,2022-2-15
30.11,2022-2-16
31.19,2022-2-17
31.19,2022-2-18
31.11,2022-2-19
29.98,2022-2-20
29.87,2022-2-21
29.75,2022-2-22
29.6,2022-2-23
31.13,2022-2-24
29.94,2022-2-25
29.87,2022-2-26
29.79,2022-2-27
29.69,2022-2-28
31.84,2022-3-1
31.62,2022-3-2
31.22,2022-3-3
30.75,2022-3-4
30.64,2022-3-5
30.48,2022-3-6
30.62,2022-3-7
30.51,2022-3-8
30.0,2022-3-9
30.57,2022-3-10
30.57,2022-3-11
30.51,2022-3-12
30.49,2022-3-13
30.52,2022-3-14
30.4,2022-3-15
30.32,2022-3-16
30.22,2022-3-17
30.6,2022-3-18
31.14,2022-3-21
31.8,2022-3-22
31.79,2022-3-23
31.34,2022-3-24
31.26,2022-3-25
31.16,2022-3-26
31.09,2022-3-27
30.95,2022-3-28
30.85,2022-3-29
31.04,2022-3-30
30.96,2022-3-31
32.61,2022-4-4
31.97,2022-4-6
31.8,2022-4-7
