prix,date
129.8,2021-10-18
129.59,2021-10-21
129.4,2021-10-22
128.0,2021-10-28
127.7,2021-10-29
131.0,2021-11-3
139.99,2021-11-4
133.0,2021-11-7
130.0,2021-11-22
126.0,2021-11-25
126.0,2021-11-29
126.0,2021-11-30
126.0,2021-12-1
132.6,2021-12-9
132.6,2021-12-13
138.0,2021-12-15
138.0,2021-12-25
138.0,2021-12-28
138.0,2021-12-30
137.4558,2021-12-31
131.6786,2022-1-1
145.0,2022-1-2
145.0,2022-1-3
145.0,2022-1-6
145.0,2022-1-13
145.0,2022-1-14
145.0,2022-1-15
145.0,2022-1-16
145.0,2022-1-19
145.0,2022-1-23
145.0,2022-2-8
145.0,2022-2-11
145.0,2022-2-13
153.8,2022-2-15
153.8,2022-2-18
153.8,2022-2-28
158.55,2022-3-4
199.99,2022-3-6
196.6697,2022-3-8
165.0,2022-3-10
196.6697,2022-3-11
196.6697,2022-3-13
