prix,date
127.15855572998429,2021-10-9
125.51020408163265,2021-10-10
124.48979591836735,2021-10-11
124.64678178963894,2021-10-12
127.0800627943485,2021-10-13
123.861852433281,2021-10-14
123.94034536891678,2021-10-15
122.44897959183672,2021-10-16
120.72213500784929,2021-10-17
117.66091051805337,2021-10-18
114.28571428571428,2021-10-19
112.48037676609106,2021-10-20
111.06750392464677,2021-10-21
111.30298273155417,2021-10-22
111.28414442700158,2021-10-23
113.01098901098902,2021-10-24
113.02982731554161,2021-10-25
113.02982731554161,2021-10-26
114.44270015698586,2021-10-27
114.44270015698586,2021-10-28
114.52119309262167,2021-10-29
113.81475667189952,2021-10-30
117.11145996860283,2021-10-31
116.95447409733124,2021-11-1
120.87912087912088,2021-11-2
118.91679748822605,2021-11-3
120.6436420722135,2021-11-4
119.23076923076924,2021-11-5
122.29199372056515,2021-11-6
122.29199372056515,2021-11-7
118.99529042386185,2021-11-8
117.11145996860283,2021-11-9
115.07064364207221,2021-11-10
117.73940345368918,2021-11-11
118.68131868131869,2021-11-12
118.21036106750392,2021-11-13
118.13186813186812,2021-11-14
118.52433281004708,2021-11-15
117.73940345368918,2021-11-16
118.99529042386185,2021-11-17
117.58241758241758,2021-11-18
118.75981161695447,2021-11-22
120.87912087912088,2021-11-23
116.16954474097331,2021-11-24
115.38461538461539,2021-11-25
119.23076923076924,2021-11-26
120.80062794348508,2021-11-27
121.50706436420722,2021-11-28
121.35007849293562,2021-11-29
124.01883830455259,2021-11-30
123.23390894819465,2021-12-1
127.15855572998429,2021-12-2
128.3359497645212,2021-12-3
133.35949764521192,2021-12-5
132.33908948194664,2021-12-6
130.298273155416,2021-12-7
127.15855572998429,2021-12-8
128.41444270015697,2021-12-9
129.32496075353217,2021-12-10
130.14128728414443,2021-12-11
131.08320251177395,2021-12-12
129.42229199372056,2021-12-13
129.1993720565149,2021-12-14
129.10518053375196,2021-12-15
129.51334379905808,2021-12-16
128.72841444270017,2021-12-17
130.298273155416,2021-12-18
129.2778649921507,2021-12-19
128.72841444270017,2021-12-20
131.22448979591837,2021-12-21
132.6530612244898,2021-12-22
131.86813186813185,2021-12-23
131.86813186813185,2021-12-24
131.2401883830455,2021-12-25
134.8320251177394,2021-12-26
135.00784929356357,2021-12-27
133.90894819466249,2021-12-28
133.79905808477235,2021-12-29
132.574568288854,2021-12-30
133.43799058084772,2021-12-31
133.43799058084772,2022-1-1
133.43799058084772,2022-1-2
133.43799058084772,2022-1-3
133.43799058084772,2022-1-4
133.8304552590267,2022-1-5
134.85086342229198,2022-1-6
134.9293563579278,2022-1-7
132.6530612244898,2022-1-8
134.98901098901098,2022-1-9
134.6153846153846,2022-1-10
136.34222919937204,2022-1-11
135.7912087912088,2022-1-12
136.10675039246468,2022-1-13
136.57770800627944,2022-1-14
138.9324960753532,2022-1-15
137.9905808477237,2022-1-16
140.0313971742543,2022-1-17
142.07221350078493,2022-1-18
141.75824175824175,2022-1-19
141.91522762951334,2022-1-20
140.1883830455259,2022-1-21
139.56043956043956,2022-1-22
138.69701726844585,2022-1-23
136.0282574568289,2022-1-24
139.0894819466248,2022-1-25
139.54160125588697,2022-1-26
140.1883830455259,2022-1-27
140.95761381475668,2022-1-28
140.50235478806908,2022-1-29
142.4646781789639,2022-1-30
142.85714285714286,2022-1-31
145.99686028257457,2022-2-1
145.91679748822605,2022-2-2
148.26373626373626,2022-2-3
149.13657770800629,2022-2-4
151.2558869701727,2022-2-5
150.31397174254317,2022-2-6
150.39246467817895,2022-2-7
149.13657770800629,2022-2-8
143.64207221350077,2022-2-9
141.287284144427,2022-2-10
140.0313971742543,2022-2-11
144.34850863422292,2022-2-12
145.21193092621664,2022-2-13
145.21193092621664,2022-2-14
148.1773940345369,2022-2-15
150.23547880690737,2022-2-16
151.96232339089482,2022-2-17
149.9215070643642,2022-2-18
149.76452119309263,2022-2-19
149.60753532182105,2022-2-20
149.13657770800629,2022-2-21
147.48822605965464,2022-2-22
147.25274725274724,2022-2-23
148.03767660910518,2022-2-24
152.1193092621664,2022-2-25
153.84615384615384,2022-2-26
154.63108320251177,2022-2-27
156.3579277864992,2022-2-28
158.55572998430142,2022-3-1
164.2072213500785,2022-3-2
163.9717425431711,2022-3-3
166.4050235478807,2022-3-4
170.40816326530611,2022-3-5
175.82417582417582,2022-3-6
180.5337519623234,2022-3-7
177.70800627943484,2022-3-8
167.50392464678177,2022-3-9
168.6028257456829,2022-3-10
166.71899529042383,2022-3-11
167.57456828885398,2022-3-12
166.24646781789636,2022-3-13
167.1899529042386,2022-3-14
169.07378335949764,2022-3-15
169.13657770800629,2022-3-16
170.31083202511775,2022-3-17
179.74725274725276,2022-3-18
186.02825745682887,2022-3-21
185.24332810047096,2022-3-22
185.21193092621664,2022-3-23
183.48508634222918,2022-3-24
180.3767660910518,2022-3-25
177.39403453689167,2022-3-26
177.54945054945057,2022-3-27
180.21978021978023,2022-3-28
179.74882260596547,2022-3-29
180.51805337519625,2022-3-30
181.3971742543171,2022-3-31
193.01412872841445,2022-4-4
194.34850863422292,2022-4-5
191.44427001569858,2022-4-6
195.4458398744113,2022-4-7
