prix,date
33.71,2021-10-10
34.41,2021-10-11
33.32,2021-10-12
32.99,2021-10-13
32.66,2021-10-14
32.32,2021-10-15
36.09,2021-10-16
35.6,2021-10-17
35.5,2021-10-18
35.13,2021-10-19
34.75,2021-10-20
34.41,2021-10-21
34.06,2021-10-22
33.66,2021-10-23
33.32,2021-10-24
33.29,2021-10-25
33.2,2021-10-26
32.87,2021-10-27
32.22,2021-10-28
32.18,2021-10-29
31.85,2021-10-30
33.0,2021-10-31
33.3,2021-11-1
32.97,2021-11-2
32.96,2021-11-3
32.95,2021-11-4
33.8,2021-11-5
34.16,2021-11-6
36.0,2021-11-7
35.28,2021-11-8
34.92,2021-11-9
33.66,2021-11-10
34.67,2021-11-12
34.0,2021-11-13
32.99,2021-11-14
34.0,2021-11-15
34.0,2021-11-16
34.0,2021-11-17
34.67,2021-11-18
34.16,2021-11-22
33.99,2021-11-23
33.5,2021-11-24
33.5,2021-11-25
33.65,2021-11-26
33.65,2021-11-27
33.31,2021-11-28
34.93,2021-11-29
34.5,2021-11-30
34.48,2021-12-1
36.01,2021-12-2
35.65,2021-12-3
38.0,2021-12-4
36.99,2021-12-5
37.0,2021-12-6
37.0,2021-12-7
36.62,2021-12-8
36.25,2021-12-9
36.99,2021-12-10
39.28,2021-12-11
40.57,2021-12-12
40.17,2021-12-13
37.99,2021-12-14
37.62,2021-12-15
37.62,2021-12-16
37.62,2021-12-17
37.23,2021-12-18
37.23,2021-12-19
37.21,2021-12-20
37.0,2021-12-21
36.63,2021-12-22
36.99,2021-12-23
36.0,2021-12-24
37.99,2021-12-25
40.99,2021-12-26
40.99,2021-12-27
40.99,2021-12-28
40.57,2021-12-29
40.17,2021-12-30
39.7,2021-12-31
39.5,2022-1-1
39.31,2022-1-2
39.7,2022-1-3
46.0,2022-1-4
45.0,2022-1-5
44.1,2022-1-6
43.95,2022-1-7
43.52,2022-1-8
40.98,2022-1-9
40.57,2022-1-10
43.52,2022-1-11
43.51,2022-1-12
43.51,2022-1-13
42.48,2022-1-14
42.06,2022-1-15
41.0,2022-1-16
41.63,2022-1-17
41.4,2022-1-18
40.8,2022-1-19
40.35,2022-1-20
39.8,2022-1-21
39.88,2022-1-22
39.37,2022-1-23
39.34,2022-1-24
39.33,2022-1-25
38.38,2022-1-26
38.99,2022-1-27
38.95,2022-1-28
39.3,2022-1-29
39.0,2022-1-30
38.61,2022-1-31
40.4,2022-2-1
39.6,2022-2-2
40.4,2022-2-3
39.99,2022-2-4
41.58,2022-2-5
41.17,2022-2-6
44.3,2022-2-7
43.5,2022-2-8
43.06,2022-2-9
43.0,2022-2-10
42.0,2022-2-11
42.0,2022-2-12
41.58,2022-2-13
41.57,2022-2-14
41.16,2022-2-15
40.74,2022-2-16
40.69,2022-2-17
42.0,2022-2-18
41.17,2022-2-19
41.16,2022-2-20
39.98,2022-2-21
41.17,2022-2-22
43.47,2022-2-23
43.47,2022-2-24
40.0,2022-2-25
43.44,2022-2-26
42.98,2022-2-27
42.14,2022-2-28
41.5,2022-3-1
41.7,2022-3-2
41.28,2022-3-3
41.26,2022-3-4
43.9,2022-3-5
43.9,2022-3-6
43.1,2022-3-7
42.66,2022-3-8
42.66,2022-3-9
40.0,2022-3-10
42.64,2022-3-11
42.64,2022-3-12
42.22,2022-3-13
41.39,2022-3-14
41.38,2022-3-15
41.39,2022-3-16
45.0,2022-3-17
45.0,2022-3-18
44.1,2022-3-21
44.09,2022-3-22
44.09,2022-3-23
44.07,2022-3-24
44.07,2022-3-25
44.07,2022-3-26
44.0,2022-3-27
42.99,2022-3-28
41.89,2022-3-29
41.38,2022-3-30
41.38,2022-3-31
46.13,2022-4-4
46.13,2022-4-6
