prix,date
302.0181,2021-10-9
300.5992,2021-10-10
300.0098,2021-10-11
300.0,2021-10-12
320.0,2021-10-14
318.0,2021-10-15
315.3305,2021-10-17
311.2563,2021-10-18
306.966,2021-10-19
305.9472,2021-10-20
301.9609,2021-10-21
301.6096,2021-10-22
300.006,2021-10-23
300.0,2021-10-24
296.64,2021-10-25
300.0,2021-10-28
309.5975,2021-10-29
309.5975,2021-11-1
309.99,2021-11-3
309.95,2021-11-4
315.94,2021-11-5
322.95,2021-11-6
323.95,2021-11-10
321.7756,2021-11-11
320.3458,2021-11-12
319.9,2021-11-13
319.9,2021-11-16
319.9,2021-11-17
310.0,2021-11-23
310.0,2021-11-24
317.84,2021-11-26
317.85,2021-11-29
317.86,2021-11-30
314.0,2021-12-1
314.0,2021-12-2
314.83,2021-12-3
314.85,2021-12-5
312.0,2021-12-6
312.0,2021-12-7
307.7591,2021-12-8
303.0,2021-12-9
301.1304,2021-12-10
308.97,2021-12-11
362.1958,2021-12-12
350.0,2021-12-15
305.0,2021-12-16
315.0,2021-12-17
315.0,2021-12-20
315.0,2021-12-21
315.0,2021-12-23
320.0,2021-12-25
320.0,2021-12-26
329.0,2021-12-28
319.99,2021-12-29
319.99,2021-12-30
359.0,2021-12-31
359.0,2022-1-1
359.0,2022-1-2
359.0,2022-1-3
359.0,2022-1-5
350.0,2022-1-6
341.0,2022-1-7
341.0,2022-1-9
339.0,2022-1-10
339.0,2022-1-12
339.0,2022-1-15
339.0,2022-1-17
339.0,2022-1-18
350.0,2022-1-19
359.99,2022-1-20
344.99,2022-1-21
339.86,2022-1-22
339.86,2022-1-23
340.0,2022-1-24
366.7962,2022-1-26
366.3301,2022-1-27
366.0365,2022-1-28
365.904,2022-1-29
365.9,2022-1-30
365.9,2022-2-2
365.0,2022-2-3
365.0,2022-2-4
365.0,2022-2-5
365.0,2022-2-6
365.0,2022-2-8
365.0,2022-2-9
364.0,2022-2-10
364.0,2022-2-12
364.0,2022-2-13
364.0,2022-2-14
364.0,2022-2-15
364.0,2022-2-19
365.0,2022-2-20
364.0,2022-2-21
340.0,2022-2-22
345.0,2022-2-24
345.0,2022-2-25
345.0,2022-2-27
345.0,2022-3-2
345.0,2022-3-3
363.0,2022-3-5
363.0,2022-3-6
363.0,2022-3-7
346.0,2022-3-8
340.0,2022-3-9
340.0,2022-3-10
363.0,2022-3-11
365.9,2022-3-13
365.85,2022-3-14
365.85,2022-3-15
365.85,2022-3-16
365.85,2022-3-17
354.5647,2022-3-25
354.5647,2022-3-26
351.4745,2022-3-27
365.0,2022-3-28
365.0,2022-3-29
365.0,2022-3-31
355.0,2022-4-4
370.0,2022-4-6
