prix,date
299.8430141287284,2021-10-9
298.27315541601257,2021-10-10
298.27315541601257,2021-10-11
291.99372056514915,2021-10-12
293.563579277865,2021-10-13
291.2087912087912,2021-10-14
291.91522762951337,2021-10-15
289.5447409733124,2021-10-16
290.26687598116166,2021-10-17
289.63893249607537,2021-10-18
293.563579277865,2021-10-19
286.8131868131868,2021-10-20
286.49921507064363,2021-10-21
287.28414442700154,2021-10-22
280.690737833595,2021-10-23
283.6734693877551,2021-10-24
282.4175824175824,2021-10-25
282.574568288854,2021-10-26
283.35949764521195,2021-10-27
282.3390894819466,2021-10-28
283.90894819466246,2021-10-29
282.4960753532182,2021-10-30
290.4238618524333,2021-10-31
290.3453689167975,2021-11-1
292.77864992150705,2021-11-2
296.62480376766086,2021-11-3
297.8021978021978,2021-11-4
298.27315541601257,2021-11-5
298.27315541601257,2021-11-6
299.52904238618527,2021-11-7
292.7001569858713,2021-11-8
293.171114599686,2021-11-9
297.4097331240188,2021-11-10
296.3893249607535,2021-11-11
291.99372056514915,2021-11-12
294.9764521193093,2021-11-13
295.05494505494505,2021-11-14
294.7409733124019,2021-11-15
290.4238618524333,2021-11-16
294.27001569858714,2021-11-17
296.62480376766086,2021-11-18
293.2496075353218,2021-11-22
291.0518053375196,2021-11-23
294.6624803767661,2021-11-24
289.9529042386185,2021-11-25
295.1334379905809,2021-11-26
292.77864992150705,2021-11-27
295.91836734693874,2021-11-28
295.58869701726843,2021-11-29
298.27315541601257,2021-11-30
299.8430141287284,2021-12-1
300.9419152276295,2021-12-2
304.3956043956044,2021-12-3
304.55259026687594,2021-12-4
312.08791208791206,2021-12-5
305.9215070643642,2021-12-6
306.9073783359498,2021-12-7
301.41287284144425,2021-12-8
304.3171114599686,2021-12-9
305.80847723704863,2021-12-10
305.72998430141286,2021-12-11
302.43171114599687,2021-12-12
302.9827315541601,2021-12-13
307.53532182103606,2021-12-14
310.04709576138146,2021-12-15
311.9309262166405,2021-12-16
313.81475667189954,2021-12-17
313.7362637362637,2021-12-18
316.95447409733123,2021-12-19
313.9717425431711,2021-12-20
313.26373626373623,2021-12-21
314.756671899529,2021-12-22
314.756671899529,2021-12-23
313.9717425431711,2021-12-24
313.9717425431711,2021-12-25
312.32339089481945,2021-12-26
313.1868131868132,2021-12-27
314.59968602825745,2021-12-28
314.6781789638933,2021-12-29
313.9717425431711,2021-12-30
316.95447409733123,2021-12-31
331.1616954474097,2022-1-1
339.8744113029827,2022-1-2
329.6703296703297,2022-1-3
332.96703296703294,2022-1-4
329.6703296703297,2022-1-5
332.7315541601256,2022-1-6
334.2229199372057,2022-1-7
325.74568288854005,2022-1-8
328.1004709576138,2022-1-9
328.1004709576138,2022-1-10
333.35949764521195,2022-1-11
334.2229199372057,2022-1-12
334.2229199372057,2022-1-13
334.3799058084772,2022-1-14
335.16483516483515,2022-1-15
331.7896389324961,2022-1-16
329.6703296703297,2022-1-17
333.28100470957617,2022-1-18
332.8100470957614,2022-1-19
332.18210361067503,2022-1-20
332.7315541601256,2022-1-21
335.94976452119306,2022-1-22
335.94976452119306,2022-1-23
333.5949764521193,2022-1-24
333.5949764521193,2022-1-25
328.1004709576138,2022-1-26
332.8100470957614,2022-1-27
332.8100470957614,2022-1-28
332.33908948194664,2022-1-29
329.6703296703297,2022-1-30
329.6703296703297,2022-1-31
337.51962323390893,2022-2-1
337.51962323390893,2022-2-2
337.2841444270016,2022-2-3
340.65934065934067,2022-2-4
339.9529042386185,2022-2-5
344.34850863422287,2022-2-6
342.0722135007849,2022-2-7
334.3799058084772,2022-2-8
335.0863422291994,2022-2-9
332.0251177394034,2022-2-10
334.3799058084772,2022-2-11
334.3799058084772,2022-2-12
335.0863422291994,2022-2-13
327.70800627943487,2022-2-14
334.3799058084772,2022-2-15
337.51962323390893,2022-2-16
335.94976452119306,2022-2-17
336.5777080062794,2022-2-18
335.94976452119306,2022-2-19
340.50235478806906,2022-2-20
339.0894819466248,2022-2-21
339.8744113029827,2022-2-22
337.51962323390893,2022-2-23
337.2056514913658,2022-2-24
340.18838304552594,2022-2-25
329.6703296703297,2022-2-26
341.287284144427,2022-2-27
341.9152276295133,2022-2-28
342.22919937205654,2022-3-1
342.22919937205654,2022-3-2
345.21193092621667,2022-3-3
341.287284144427,2022-3-4
345.3689167974882,2022-3-5
352.90423861852435,2022-3-6
358.8697017268446,2022-3-7
350.0784929356358,2022-3-8
353.0612244897959,2022-3-9
354.70957613814755,2022-3-10
354.3171114599686,2022-3-11
360.8791208791209,2022-3-12
359.9686028257457,2022-3-13
360.28257456828885,2022-3-14
360.9105180533752,2022-3-15
360.28257456828885,2022-3-16
360.9105180533752,2022-3-17
363.4222919937206,2022-3-18
374.8037676609105,2022-3-21
375.1962323390895,2022-3-22
374.8822605965463,2022-3-23
360.7535321821036,2022-3-24
359.73155416012554,2022-3-25
360.2464678178964,2022-3-26
357.9277864992151,2022-3-27
360.36106750392463,2022-3-28
357.1428571428571,2022-3-29
356.436420722135,2022-3-30
358.47723704866564,2022-3-31
370.4866562009419,2022-4-4
372.1350078492935,2022-4-5
370.4866562009419,2022-4-6
368.8383045525903,2022-4-7
