prix,date
825.0,2021-10-10
850.0,2021-10-11
849.65,2021-10-16
899.99,2021-10-17
939.99,2021-10-18
889.99,2021-10-20
910.8,2021-10-21
901.69,2021-10-22
835.0,2021-10-23
804.99,2021-10-24
799.99,2021-10-25
787.05,2021-10-26
799.98,2021-10-28
799.96,2021-10-29
799.95,2021-10-30
799.94,2021-11-1
919.91,2021-11-2
899.99,2021-11-3
889.98,2021-11-4
884.99,2021-11-5
891.0,2021-11-6
890.99,2021-11-8
890.98,2021-11-9
900.0,2021-11-14
922.0,2021-11-15
910.0,2021-11-18
910.0,2021-11-23
850.0,2021-11-24
830.0,2021-11-25
821.7,2021-11-26
825.0,2021-11-27
850.0,2021-11-29
829.0,2021-11-30
829.0,2021-12-2
860.0,2021-12-4
942.91,2021-12-5
942.82,2021-12-6
915.0,2021-12-7
937.96,2021-12-8
937.96,2021-12-9
937.96,2021-12-10
949.91,2021-12-11
950.0,2021-12-12
945.0,2021-12-15
935.0,2021-12-16
948.63,2021-12-18
947.0,2021-12-19
940.0,2021-12-20
919.99,2021-12-23
919.99,2021-12-24
919.0,2021-12-25
910.0,2021-12-26
894.0,2021-12-28
885.0,2021-12-30
889.99,2021-12-31
900.0,2022-1-1
919.0,2022-1-2
969.9,2022-1-3
998.92,2022-1-4
998.74,2022-1-5
989.77,2022-1-6
950.0,2022-1-7
920.0,2022-1-9
910.0,2022-1-10
974.8,2022-1-11
989.9,2022-1-12
989.8,2022-1-13
989.7,2022-1-14
975.0,2022-1-15
950.0,2022-1-17
945.0,2022-1-18
935.0,2022-1-19
942.0,2022-1-20
932.58,2022-1-21
932.57,2022-1-22
929.99,2022-1-23
929.98,2022-1-24
924.99,2022-1-25
924.98,2022-1-26
920.0,2022-1-27
920.0,2022-1-28
922.0,2022-1-29
925.0,2022-1-30
920.0,2022-1-31
1000.0,2022-2-1
999.99,2022-2-5
970.0,2022-2-9
969.69,2022-2-10
967.0,2022-2-11
967.0,2022-2-12
950.4,2022-2-13
950.4,2022-2-14
950.4,2022-2-17
939.99,2022-2-18
939.98,2022-2-20
939.96,2022-2-21
934.99,2022-2-22
934.97,2022-2-23
934.96,2022-2-25
929.99,2022-2-26
929.98,2022-2-27
935.0,2022-2-28
930.0,2022-3-1
925.0,2022-3-2
1092.06,2022-3-4
1000.0,2022-3-6
990.0,2022-3-9
990.0,2022-3-10
990.0,2022-3-11
985.0,2022-3-12
980.0,2022-3-14
975.0,2022-3-15
960.0,2022-3-16
1092.06,2022-3-21
1050.0,2022-3-22
1050.0,2022-3-24
1040.0,2022-3-25
1000.0,2022-3-26
999.0,2022-3-27
990.0,2022-3-28
988.99,2022-3-29
1092.06,2022-3-30
1040.0,2022-4-6
1040.0,2022-4-7
