prix,date
802.1978021978023,2021-10-9
803.767660910518,2021-10-10
800.6279434850862,2021-10-11
799.0580847723705,2021-10-12
797.331240188383,2021-10-13
786.4992150706437,2021-10-14
776.4521193092622,2021-10-15
773.3124018838305,2021-10-16
772.9984301412873,2021-10-17
768.916797488226,2021-10-18
767.6609105180535,2021-10-19
768.4458398744114,2021-10-20
762.7943485086341,2021-10-21
761.2244897959183,2021-10-22
767.6609105180535,2021-10-23
774.4631083202512,2021-10-24
777.0015698587127,2021-10-25
779.4348508634223,2021-10-26
781.789638932496,2021-10-27
781.6326530612245,2021-10-28
784.9293563579278,2021-10-29
795.1334379905809,2021-10-30
789.5604395604396,2021-10-31
792.4646781789639,2021-11-1
792.7001569858713,2021-11-2
790.7378335949765,2021-11-3
799.9215070643642,2021-11-4
800.6279434850862,2021-11-5
807.6923076923076,2021-11-6
808.1632653061225,2021-11-7
799.0580847723705,2021-11-8
797.4882260596546,2021-11-9
794.270015698587,2021-11-10
795.7613814756671,2021-11-11
797.331240188383,2021-11-12
794.348508634223,2021-11-13
799.7645211930926,2021-11-14
795.9183673469388,2021-11-15
805.1020408163265,2021-11-16
808.1632653061225,2021-11-17
807.3783359497644,2021-11-18
837.9905808477238,2021-11-22
830.2197802197802,2021-11-23
816.2480376766091,2021-11-24
813.8147566718995,2021-11-25
830.4552590266876,2021-11-26
832.0251177394035,2021-11-27
836.7346938775511,2021-11-28
838.3045525902668,2021-11-29
844.4270015698587,2021-11-30
854.0031397174254,2021-12-1
855.4945054945055,2021-12-2
877.2370486656201,2021-12-3
910.3610675039246,2021-12-4
896.3893249607536,2021-12-5
883.8304552590266,2021-12-6
878.6499215070643,2021-12-7
866.5620094191523,2021-12-8
868.9952904238619,2021-12-9
870.6436420722135,2021-12-10
875.9811616954473,2021-12-11
878.9638932496075,2021-12-12
875.8241758241758,2021-12-13
875.6671899529042,2021-12-14
885.4003139717425,2021-12-15
886.6200941915228,2021-12-16
886.9701726844584,2021-12-17
891.6797488226059,2021-12-18
891.6797488226059,2021-12-19
890.9576138147567,2021-12-20
893.0926216640503,2021-12-21
899.5290423861852,2021-12-22
899.6860282574568,2021-12-23
900.6279434850862,2021-12-24
899.3704866562009,2021-12-25
899.5290423861852,2021-12-26
895.6828885400314,2021-12-27
893.0141287284143,2021-12-28
894.8194662480377,2021-12-29
898.7441130298273,2021-12-30
902.5117739403453,2021-12-31
909.9686028257456,2022-1-1
907.3783359497644,2022-1-2
915.2276295133438,2022-1-3
923.861852433281,2022-1-4
924.3328100470957,2022-1-5
929.3563579277865,2022-1-6
937.2056514913658,2022-1-7
937.2056514913658,2022-1-8
932.2417582417582,2022-1-9
916.4835164835164,2022-1-10
919.7802197802198,2022-1-11
925.9026687598116,2022-1-12
924.6467817896389,2022-1-13
926.0596546310833,2022-1-14
922.6059654631083,2022-1-15
924.25431711146,2022-1-16
926.2166405023547,2022-1-17
926.0596546310833,2022-1-18
924.1758241758241,2022-1-19
925.2747252747253,2022-1-20
919.9372056514914,2022-1-21
922.5949764521193,2022-1-22
924.3328100470957,2022-1-23
922.7629513343799,2022-1-24
919.6232339089481,2022-1-25
917.5824175824175,2022-1-26
918.1836734693877,2022-1-27
921.4285714285714,2022-1-28
923.0769230769231,2022-1-29
926.2166405023547,2022-1-30
926.2166405023547,2022-1-31
926.2166405023547,2022-2-1
925.4317111459968,2022-2-2
918.3673469387754,2022-2-3
922.8414442700156,2022-2-4
922.9199372056515,2022-2-5
920.800627943485,2022-2-6
891.6797488226059,2022-2-7
898.7441130298273,2022-2-8
905.651491365777,2022-2-9
910.5180533751961,2022-2-10
920.7221350078493,2022-2-11
922.6059654631083,2022-2-12
919.309262166405,2022-2-13
916.7974882260596,2022-2-14
916.7974882260596,2022-2-15
917.5824175824175,2022-2-16
919.9372056514914,2022-2-17
923.0769230769231,2022-2-18
924.4897959183673,2022-2-19
926.2166405023547,2022-2-20
934.065934065934,2022-2-21
937.9120879120878,2022-2-22
940.8163265306123,2022-2-23
937.2056514913658,2022-2-24
936.8916797488226,2022-2-25
937.2056514913658,2022-2-26
939.8744113029828,2022-2-27
941.5227629513342,2022-2-28
939.1679748822606,2022-3-1
941.9152276295134,2022-3-2
957.4568288854003,2022-3-3
973.3124018838305,2022-3-4
988.2260596546311,2022-3-5
1004.3956043956043,2022-3-6
1009.4615384615385,2022-3-7
972.9199372056515,2022-3-8
972.7629513343799,2022-3-9
965.3061224489796,2022-3-10
963.8932496075353,2022-3-11
966.2480376766091,2022-3-12
988.6970172684457,2022-3-13
984.2229199372056,2022-3-14
989.7959183673469,2022-3-15
1002.4332810047096,2022-3-16
1003.1397174254317,2022-3-17
998.4301412872841,2022-3-18
1078.4929356357927,2022-3-21
1059.6546310832025,2022-3-22
1059.5761381475668,2022-3-23
1015.6985871271586,2022-3-24
1020.2511773940345,2022-3-25
1032.7315541601256,2022-3-26
1034.3799058084771,2022-3-27
1032.8100470957613,2022-3-28
1018.7598116169544,2022-3-29
1027.3155416012557,2022-3-30
1036.1067503924646,2022-3-31
1058.0847723704867,2022-4-4
1054.9450549450548,2022-4-5
1056.5149136577709,2022-4-6
1054.6310832025117,2022-4-7
