prix,date
220.0,2021-10-9
215.0,2021-10-11
208.36,2021-10-13
206.28,2021-10-14
206.28,2021-10-15
214.99,2021-10-21
214.99,2021-10-22
224.5,2021-10-25
215.0,2021-10-26
224.5,2021-10-27
200.0,2021-10-29
200.0,2021-10-30
219.99,2021-11-3
219.0,2021-11-4
218.7,2021-11-5
218.7,2021-11-6
216.4,2021-11-8
216.3,2021-11-9
214.14,2021-11-10
214.0,2021-11-12
210.0,2021-11-13
207.89,2021-11-14
206.0,2021-11-15
205.99,2021-11-16
205.0,2021-11-17
205.7,2021-11-18
187.83,2021-11-23
192.98,2021-11-24
205.3,2021-11-25
205.2,2021-11-26
205.2,2021-11-27
205.0,2021-11-29
205.2,2021-11-30
205.2,2021-12-1
205.2,2021-12-2
219.99,2021-12-4
219.99,2021-12-6
219.99,2021-12-7
204.99,2021-12-8
219.99,2021-12-9
210.0,2021-12-10
219.3,2021-12-11
215.49,2021-12-12
215.49,2021-12-13
215.49,2021-12-14
221.49,2021-12-15
217.3,2021-12-16
215.14,2021-12-17
215.12,2021-12-18
217.3,2021-12-19
217.3,2021-12-21
214.99,2021-12-22
212.85,2021-12-23
215.0,2021-12-24
215.0,2021-12-25
215.0,2021-12-26
214.99,2021-12-28
221.8,2021-12-30
220.0,2021-12-31
221.8,2022-1-2
221.8,2022-1-4
232.0,2022-1-5
231.8,2022-1-6
219.99,2022-1-7
219.99,2022-1-9
228.9,2022-1-10
228.9,2022-1-11
227.99,2022-1-12
228.8,2022-1-13
228.9,2022-1-14
228.9,2022-1-15
228.9,2022-1-17
226.73,2022-1-18
219.04,2022-1-19
224.9,2022-1-20
234.59,2022-1-21
234.6,2022-1-22
234.6,2022-1-23
233.0,2022-1-24
232.8,2022-1-25
232.8,2022-1-27
232.7,2022-1-28
232.0,2022-1-30
227.0,2022-1-31
225.0,2022-2-1
221.0,2022-2-2
219.5,2022-2-3
217.0,2022-2-4
217.0,2022-2-6
215.0,2022-2-7
212.99,2022-2-8
210.99,2022-2-9
210.0,2022-2-10
222.22,2022-2-11
220.0,2022-2-14
216.0,2022-2-16
216.0,2022-2-17
222.22,2022-2-18
222.22,2022-2-21
220.0,2022-2-22
219.99,2022-2-23
219.99,2022-2-24
227.77,2022-2-26
227.74,2022-2-27
225.47,2022-2-28
215.22,2022-3-2
215.22,2022-3-3
215.22,2022-3-4
215.22,2022-3-6
220.0,2022-3-7
218.99,2022-3-8
218.5,2022-3-9
218.49,2022-3-10
218.48,2022-3-11
218.48,2022-3-12
230.89,2022-3-13
228.59,2022-3-15
228.59,2022-3-17
228.59,2022-3-21
228.59,2022-3-22
239.8,2022-3-23
239.0,2022-3-25
238.8,2022-3-26
238.8,2022-3-27
228.12,2022-3-29
228.0,2022-3-30
237.7,2022-4-6
237.69,2022-4-7
