prix,date
195.29042386185245,2021-10-9
198.58712715855575,2021-10-10
198.11616954474098,2021-10-11
196.23233908948194,2021-10-12
195.447409733124,2021-10-13
192.15070643642073,2021-10-14
189.95290423861854,2021-10-15
188.38304552590267,2021-10-16
186.8131868131868,2021-10-17
181.94662480376766,2021-10-18
181.3186813186813,2021-10-19
176.8445839874411,2021-10-20
176.53061224489795,2021-10-21
178.1632653061225,2021-10-22
176.79748822605964,2021-10-23
175.51020408163265,2021-10-24
176.828885400314,2021-10-25
177.2370486656201,2021-10-26
175.43171114599684,2021-10-27
175.35321821036104,2021-10-28
178.1789638932496,2021-10-29
182.88854003139716,2021-10-30
183.51648351648353,2021-10-31
183.6734693877551,2021-11-1
183.436420722135,2021-11-2
182.10361067503925,2021-11-3
186.4835164835165,2021-11-4
188.38147566718996,2021-11-5
188.35164835164835,2021-11-6
187.51962323390893,2021-11-7
188.22605965463106,2021-11-8
186.02825745682887,2021-11-9
187.59811616954474,2021-11-10
185.08634222919937,2021-11-11
184.30141287284144,2021-11-12
183.48508634222918,2021-11-13
182.6530612244898,2021-11-14
182.55886970172688,2021-11-15
184.45839874411303,2021-11-16
184.45839874411303,2021-11-17
184.45839874411303,2021-11-18
187.59811616954474,2021-11-22
181.94662480376766,2021-11-23
183.43799058084772,2021-11-24
186.49921507064363,2021-11-25
187.9905808477237,2021-11-26
186.95447409733126,2021-11-27
186.65620094191524,2021-11-28
186.8131868131868,2021-11-29
188.38304552590267,2021-11-30
191.44427001569858,2021-12-1
191.3657770800628,2021-12-2
193.72056514913658,2021-12-3
194.66248037676607,2021-12-4
196.8602825745683,2021-12-5
199.0580847723705,2021-12-6
199.13657770800626,2021-12-7
197.70486656200944,2021-12-8
194.66248037676607,2021-12-10
196.7817896389325,2021-12-11
195.29042386185245,2021-12-12
199.0580847723705,2021-12-13
199.29356357927787,2021-12-14
199.29356357927787,2021-12-15
199.0580847723705,2021-12-16
198.42857142857142,2021-12-17
198.49293563579278,2021-12-18
199.1962323390895,2021-12-19
198.58712715855575,2021-12-20
199.21507064364206,2021-12-21
198.27315541601257,2021-12-22
200.51805337519622,2021-12-23
200.47095761381476,2021-12-24
200.9419152276295,2021-12-25
199.21507064364206,2021-12-26
199.0392464678179,2021-12-27
199.0580847723705,2021-12-28
198.9795918367347,2021-12-29
199.29356357927787,2021-12-30
200.0,2021-12-31
200.78492935635794,2022-1-1
200.78492935635794,2022-1-2
200.47095761381476,2022-1-3
199.37205651491365,2022-1-4
202.43328100470956,2022-1-5
201.88383045525902,2022-1-6
200.78492935635794,2022-1-7
201.64835164835165,2022-1-8
201.72684458398743,2022-1-9
202.49607535321823,2022-1-10
202.51177394034536,2022-1-11
202.276295133438,2022-1-12
203.76766091051806,2022-1-13
203.2967032967033,2022-1-14
203.92464678178965,2022-1-15
204.0816326530612,2022-1-16
203.2967032967033,2022-1-17
203.2967032967033,2022-1-18
202.98273155416013,2022-1-19
200.15698587127156,2022-1-20
200.94034536891678,2022-1-21
202.43328100470956,2022-1-22
201.72684458398743,2022-1-23
201.96232339089482,2022-1-24
200.15698587127156,2022-1-25
202.276295133438,2022-1-26
200.86342229199371,2022-1-27
202.04081632653063,2022-1-28
202.51177394034536,2022-1-29
202.66875981161695,2022-1-30
204.08006279434852,2022-1-31
205.65149136577708,2022-2-1
208.79120879120876,2022-2-2
208.6342229199372,2022-2-3
207.9120879120879,2022-2-4
206.82888540031396,2022-2-5
205.25902668759812,2022-2-6
204.0816326530612,2022-2-7
203.9215070643642,2022-2-8
202.35478806907378,2022-2-9
204.0816326530612,2022-2-10
203.4536891679749,2022-2-11
203.98587127158555,2022-2-12
203.92464678178965,2022-2-13
204.86656200941914,2022-2-14
205.65149136577708,2022-2-15
206.436420722135,2022-2-16
205.96546310832025,2022-2-17
208.79120879120876,2022-2-18
208.00627943485088,2022-2-19
208.7551020408163,2022-2-20
208.2668759811617,2022-2-21
211.14599686028257,2022-2-22
211.69544740973313,2022-2-23
211.9309262166405,2022-2-24
211.14599686028257,2022-2-25
213.50078492935634,2022-2-26
213.50078492935634,2022-2-27
213.42229199372056,2022-2-28
212.71585557299844,2022-3-1
211.61695447409733,2022-3-2
213.50078492935634,2022-3-3
216.48351648351647,2022-3-4
219.6232339089482,2022-3-5
217.89638932496075,2022-3-6
216.09105180533751,2022-3-7
216.64050235478808,2022-3-8
216.64050235478808,2022-3-9
219.68602825745683,2022-3-10
219.30926216640503,2022-3-11
219.4662480376766,2022-3-12
217.89638932496075,2022-3-13
219.6232339089482,2022-3-14
219.6232339089482,2022-3-15
220.5651491365777,2022-3-16
221.19309262166405,2022-3-17
222.0392464678179,2022-3-18
235.47880690737836,2022-3-21
233.2810047095761,2022-3-22
232.6530612244898,2022-3-23
223.86185243328097,2022-3-24
222.91993720565148,2022-3-25
222.05651491365776,2022-3-26
230.69073783359497,2022-3-27
227.47252747252747,2022-3-28
227.0015698587127,2022-3-29
227.62794348508632,2022-3-30
227.0800627943485,2022-3-31
229.98430141287284,2022-4-4
230.4552590266876,2022-4-5
232.33908948194662,2022-4-6
233.90894819466249,2022-4-7
