prix,date
0.1275,2021-10-9
0.1279,2021-10-10
0.1279,2021-10-11
0.1093,2021-10-12
0.105,2021-10-13
0.1087,2021-10-14
0.1065,2021-10-15
0.10620000000000002,2021-10-16
0.11899999999999998,2021-10-17
0.1,2021-10-18
0.11899999999999998,2021-10-19
0.11,2021-10-20
0.11,2021-10-21
0.179,2021-10-22
0.179,2021-10-23
0.179,2021-10-24
0.17800000000000002,2021-10-27
0.11,2021-10-28
0.17800000000000002,2021-10-29
0.083,2021-10-30
0.15,2021-10-31
0.15,2021-11-2
0.15,2021-11-3
0.12,2021-11-4
0.1002,2021-11-5
0.09969999999999998,2021-11-6
0.14,2021-11-7
0.12,2021-11-10
0.14,2021-11-11
0.14,2021-11-13
0.0924,2021-11-15
0.1,2021-11-16
0.131,2021-11-18
0.14,2021-11-22
0.11899999999999998,2021-11-23
0.11899999999999998,2021-11-24
0.1078,2021-11-25
0.1078,2021-11-26
0.1064,2021-11-27
0.115,2021-11-28
0.115,2021-11-29
0.115,2021-11-30
0.115,2021-12-1
0.115,2021-12-2
0.1146,2021-12-3
0.11230000000000001,2021-12-4
0.1101,2021-12-5
0.14,2021-12-6
0.13,2021-12-7
0.13,2021-12-8
0.13,2021-12-9
0.13,2021-12-10
0.13,2021-12-11
0.13,2021-12-12
0.1167,2021-12-13
0.102,2021-12-14
0.102,2021-12-15
0.11,2021-12-16
0.102,2021-12-17
0.1155,2021-12-18
0.1146,2021-12-19
0.099,2021-12-20
0.1146,2021-12-21
0.102,2021-12-22
0.1185,2021-12-23
0.1185,2021-12-24
0.11200000000000002,2021-12-25
0.1258,2021-12-26
0.1258,2021-12-27
0.1257,2021-12-28
0.098,2021-12-29
0.1106,2021-12-30
0.1106,2021-12-31
0.1106,2022-1-1
0.105,2022-1-2
0.1,2022-1-3
0.1,2022-1-4
0.105,2022-1-5
0.1,2022-1-6
0.1,2022-1-7
0.14,2022-1-8
0.1125,2022-1-9
0.1125,2022-1-10
0.11230000000000001,2022-1-11
0.11230000000000001,2022-1-12
0.102,2022-1-13
0.11230000000000001,2022-1-14
0.179,2022-1-15
0.179,2022-1-16
0.105,2022-1-17
0.179,2022-1-18
0.179,2022-1-19
0.1262,2022-1-20
0.1157,2022-1-21
0.11259999999999999,2022-1-22
0.1047,2022-1-23
0.15,2022-1-24
0.1364,2022-1-25
0.10400000000000001,2022-1-26
0.1133,2022-1-27
0.1061,2022-1-28
0.1015,2022-1-29
0.105,2022-1-30
0.1088,2022-1-31
0.1041,2022-2-1
0.09700000000000002,2022-2-2
0.1088,2022-2-3
0.1088,2022-2-4
0.135,2022-2-5
0.102,2022-2-6
0.10100000000000002,2022-2-7
0.1149,2022-2-8
0.1057,2022-2-9
0.15,2022-2-10
0.15,2022-2-11
0.1185,2022-2-12
0.102,2022-2-13
0.126,2022-2-14
0.126,2022-2-15
0.102,2022-2-16
0.13,2022-2-17
0.125,2022-2-18
0.125,2022-2-19
0.125,2022-2-20
0.102,2022-2-21
0.1185,2022-2-22
0.1,2022-2-23
0.14,2022-2-24
0.127,2022-2-25
0.1076,2022-2-26
0.1399,2022-2-27
0.1399,2022-2-28
0.1425,2022-3-1
0.1779,2022-3-2
0.165,2022-3-3
0.1487,2022-3-4
0.165,2022-3-5
0.1452,2022-3-6
0.165,2022-3-7
0.165,2022-3-8
0.165,2022-3-9
0.17,2022-3-10
0.17,2022-3-11
0.15,2022-3-12
0.14,2022-3-13
0.14,2022-3-14
0.13,2022-3-15
0.17,2022-3-16
0.17,2022-3-17
0.17,2022-3-18
0.18,2022-3-21
0.18899999999999997,2022-3-22
0.18899999999999997,2022-3-23
0.21,2022-3-24
0.18360000000000004,2022-3-25
0.2,2022-3-26
0.19400000000000003,2022-3-27
0.185,2022-3-28
0.17669999999999997,2022-3-29
0.25,2022-3-30
0.17,2022-3-31
0.18360000000000004,2022-4-4
0.21,2022-4-6
