prix,date
15.34,2021-10-9
15.33,2021-10-10
15.32,2021-10-11
15.16,2021-10-12
15.16,2021-10-13
15.14,2021-10-14
14.98,2021-10-16
13.86,2021-10-17
14.97,2021-10-18
14.82,2021-10-19
14.67,2021-10-20
14.66,2021-10-21
14.51,2021-10-22
14.36,2021-10-23
14.35,2021-10-24
14.34,2021-10-25
14.34,2021-10-26
14.2,2021-10-27
14.19,2021-10-28
14.05,2021-10-29
14.04,2021-10-30
15.0,2021-10-31
14.0,2021-11-1
15.8,2021-11-2
15.64,2021-11-3
15.49,2021-11-4
15.33,2021-11-8
15.3,2021-11-9
15.15,2021-11-10
15.0,2021-11-11
15.0,2021-11-12
14.84,2021-11-14
15.05,2021-11-15
15.75,2021-11-17
15.6,2021-11-22
15.25,2021-11-23
15.25,2021-11-24
15.25,2021-11-25
15.24,2021-11-26
15.24,2021-11-27
14.77,2021-11-28
14.44,2021-11-29
15.55,2021-11-30
15.5,2021-12-1
15.49,2021-12-2
15.48,2021-12-3
15.7,2021-12-4
15.55,2021-12-5
16.29,2021-12-6
16.29,2021-12-8
16.33,2021-12-9
17.0,2021-12-10
17.0,2021-12-11
17.0,2021-12-12
16.83,2021-12-13
16.79,2021-12-14
16.61,2021-12-15
16.45,2021-12-16
16.29,2021-12-17
16.28,2021-12-18
16.2,2021-12-19
16.61,2021-12-20
16.45,2021-12-21
16.29,2021-12-22
16.29,2021-12-23
16.12,2021-12-24
17.91,2021-12-25
16.99,2021-12-26
16.62,2021-12-27
16.82,2021-12-28
18.43,2021-12-29
18.25,2021-12-30
18.24,2021-12-31
18.0,2022-1-1
17.82,2022-1-2
17.65,2022-1-3
17.47,2022-1-4
17.65,2022-1-5
17.47,2022-1-6
17.46,2022-1-7
17.65,2022-1-8
17.65,2022-1-9
19.0,2022-1-10
19.28,2022-1-11
19.27,2022-1-12
19.25,2022-1-13
19.05,2022-1-14
18.86,2022-1-15
18.68,2022-1-16
18.62,2022-1-17
18.06,2022-1-18
17.81,2022-1-19
17.78,2022-1-20
17.58,2022-1-21
17.4,2022-1-22
17.22,2022-1-23
17.05,2022-1-24
17.23,2022-1-25
17.81,2022-1-26
17.64,2022-1-27
18.0,2022-1-28
18.45,2022-1-29
17.0,2022-1-30
16.83,2022-1-31
17.72,2022-2-1
17.72,2022-2-2
17.72,2022-2-3
17.55,2022-2-4
17.72,2022-2-5
17.72,2022-2-6
17.72,2022-2-7
17.71,2022-2-8
18.2,2022-2-9
18.45,2022-2-10
17.65,2022-2-11
17.61,2022-2-12
17.65,2022-2-13
17.88,2022-2-14
17.7,2022-2-15
17.91,2022-2-16
18.44,2022-2-17
18.93,2022-2-18
18.57,2022-2-19
18.56,2022-2-20
18.36,2022-2-21
17.99,2022-2-22
17.8,2022-2-23
17.77,2022-2-24
17.59,2022-2-25
17.4,2022-2-26
17.23,2022-2-27
18.0,2022-2-28
18.0,2022-3-1
18.0,2022-3-2
18.3,2022-3-3
18.3,2022-3-4
18.74,2022-3-5
18.74,2022-3-6
18.56,2022-3-7
19.77,2022-3-8
19.57,2022-3-9
19.55,2022-3-10
19.54,2022-3-11
19.53,2022-3-12
19.52,2022-3-13
19.3,2022-3-14
19.2,2022-3-15
19.15,2022-3-16
19.1,2022-3-17
18.29,2022-3-21
18.2,2022-3-22
18.2,2022-3-23
18.13,2022-3-24
18.13,2022-3-25
18.13,2022-3-26
18.28,2022-3-27
18.49,2022-3-28
17.82,2022-3-29
17.82,2022-3-30
18.31,2022-3-31
19.0,2022-4-4
18.5,2022-4-6
