prix,date
39.89,2021-10-9
38.34,2021-10-10
39.88,2021-10-11
39.88,2021-10-12
39.88,2021-10-13
38.13,2021-10-14
38.54,2021-10-15
38.25,2021-10-16
37.84,2021-10-17
38.32,2021-10-18
38.99,2021-10-19
36.99,2021-10-20
36.36,2021-10-21
35.71,2021-10-22
35.37,2021-10-23
35.47,2021-10-24
34.61,2021-10-25
34.49,2021-10-26
37.24,2021-10-27
34.92,2021-10-28
36.73,2021-10-29
36.0,2021-10-30
34.68,2021-10-31
35.36,2021-11-1
36.03,2021-11-2
35.4,2021-11-3
37.56,2021-11-4
38.71,2021-11-5
36.0,2021-11-6
38.71,2021-11-7
39.0,2021-11-8
39.3,2021-11-9
38.33,2021-11-10
38.0,2021-11-11
38.0,2021-11-12
37.87,2021-11-13
39.89,2021-11-14
38.39,2021-11-15
40.47,2021-11-16
39.06,2021-11-17
38.42,2021-11-18
38.42,2021-11-19
38.42,2021-11-20
39.43,2021-11-21
39.95,2021-11-22
39.92,2021-11-23
39.0,2021-11-24
38.6,2021-11-25
39.16,2021-11-26
39.15,2021-11-27
38.19,2021-11-28
39.06,2021-11-29
38.8,2021-11-30
39.1,2021-12-1
39.91,2021-12-2
41.55,2021-12-3
41.55,2021-12-4
42.58,2021-12-5
43.69,2021-12-6
41.7,2021-12-7
41.71,2021-12-8
41.97,2021-12-9
41.97,2021-12-10
41.97,2021-12-11
41.65,2021-12-12
41.4,2021-12-13
40.85,2021-12-14
41.67,2021-12-15
40.83,2021-12-16
40.97,2021-12-17
41.04,2021-12-18
41.04,2021-12-19
41.04,2021-12-20
41.03,2021-12-21
40.51,2021-12-22
41.03,2021-12-23
41.03,2021-12-24
41.03,2021-12-25
41.03,2021-12-26
41.03,2021-12-27
41.02,2021-12-28
41.02,2021-12-29
41.01,2021-12-30
40.99,2021-12-31
40.99,2022-1-1
40.99,2022-1-2
40.99,2022-1-3
40.99,2022-1-4
40.98,2022-1-5
43.01,2022-1-6
43.6,2022-1-7
43.0,2022-1-8
44.24,2022-1-9
44.24,2022-1-10
44.24,2022-1-11
43.57,2022-1-12
43.76,2022-1-13
43.21,2022-1-14
43.01,2022-1-15
43.0,2022-1-16
43.05,2022-1-17
43.0,2022-1-18
42.98,2022-1-19
44.24,2022-1-20
42.77,2022-1-21
42.7,2022-1-22
42.6,2022-1-23
42.59,2022-1-24
42.58,2022-1-25
42.47,2022-1-26
42.45,2022-1-27
41.93,2022-1-28
41.89,2022-1-29
41.88,2022-1-30
41.74,2022-1-31
41.74,2022-2-1
43.43,2022-2-2
42.67,2022-2-3
42.66,2022-2-4
42.65,2022-2-5
42.66,2022-2-6
42.62,2022-2-7
42.5,2022-2-8
42.46,2022-2-9
42.45,2022-2-10
42.24,2022-2-11
42.39,2022-2-12
42.38,2022-2-13
42.37,2022-2-14
42.37,2022-2-15
41.46,2022-2-16
42.5,2022-2-17
42.51,2022-2-18
42.45,2022-2-19
42.33,2022-2-20
40.94,2022-2-21
40.86,2022-2-22
42.38,2022-2-23
42.29,2022-2-24
42.2,2022-2-25
42.1,2022-2-26
42.03,2022-2-27
41.96,2022-2-28
41.86,2022-3-1
41.81,2022-3-2
42.08,2022-3-3
41.99,2022-3-4
41.89,2022-3-5
46.18,2022-3-6
43.82,2022-3-7
43.72,2022-3-8
43.18,2022-3-9
42.69,2022-3-10
44.36,2022-3-11
44.13,2022-3-12
44.03,2022-3-13
43.94,2022-3-14
43.87,2022-3-15
43.74,2022-3-16
43.65,2022-3-17
43.63,2022-3-18
43.72,2022-3-21
44.99,2022-3-22
44.98,2022-3-23
43.81,2022-3-24
43.84,2022-3-25
43.75,2022-3-26
45.0,2022-3-27
43.79,2022-3-28
43.71,2022-3-29
43.58,2022-3-30
43.45,2022-3-31
43.44,2022-4-4
43.52,2022-4-5
43.52,2022-4-6
