prix,date
41.17,2021-10-10
41.16,2021-10-11
42.89,2021-10-12
42.9,2021-10-13
42.48,2021-10-17
42.48,2021-10-18
42.48,2021-10-19
42.06,2021-10-20
42.0,2021-10-21
41.99,2021-10-22
40.0,2021-10-24
39.99,2021-10-25
39.98,2021-10-28
43.89,2021-10-29
43.43,2021-10-30
43.43,2021-10-31
42.99,2021-11-1
42.98,2021-11-2
42.97,2021-11-3
42.96,2021-11-4
42.85,2021-11-5
42.85,2021-11-6
42.41,2021-11-8
42.4,2021-11-9
42.39,2021-11-10
42.29,2021-11-11
42.2,2021-11-13
41.75,2021-11-14
41.6,2021-11-15
41.0,2021-11-16
40.99,2021-11-17
40.7,2021-11-22
40.68,2021-11-23
40.68,2021-11-24
40.5,2021-11-25
40.5,2021-11-26
40.49,2021-11-27
43.0,2021-11-28
43.0,2021-11-29
42.22,2021-11-30
42.22,2021-12-1
42.22,2021-12-2
41.8,2021-12-3
41.22,2021-12-4
41.21,2021-12-5
41.16,2021-12-6
43.0,2021-12-7
42.71,2021-12-8
42.71,2021-12-10
47.77,2021-12-11
47.98,2021-12-12
47.48,2021-12-13
46.98,2021-12-14
46.79,2021-12-15
46.32,2021-12-16
46.33,2021-12-17
43.52,2021-12-18
41.0,2021-12-19
44.6,2021-12-20
44.16,2021-12-21
43.7,2021-12-22
43.27,2021-12-23
43.26,2021-12-24
43.26,2021-12-25
43.19,2021-12-26
43.19,2021-12-28
43.18,2021-12-29
42.75,2021-12-30
42.74,2021-12-31
49.99,2022-1-1
49.99,2022-1-2
49.99,2022-1-3
49.84,2022-1-4
49.7,2022-1-5
49.7,2022-1-7
49.6,2022-1-9
43.72,2022-1-10
45.02,2022-1-11
45.77,2022-1-12
45.77,2022-1-13
45.77,2022-1-15
45.2,2022-1-16
43.68,2022-1-17
47.5,2022-1-18
47.03,2022-1-19
46.55,2022-1-20
46.09,2022-1-21
46.0,2022-1-22
45.53,2022-1-23
45.52,2022-1-24
45.5,2022-1-25
45.5,2022-1-26
45.49,2022-1-27
45.3,2022-1-28
42.57,2022-1-29
42.14,2022-1-30
45.49,2022-1-31
45.48,2022-2-1
45.47,2022-2-2
45.02,2022-2-3
45.01,2022-2-4
45.01,2022-2-5
45.01,2022-2-6
44.56,2022-2-7
44.11,2022-2-8
44.1,2022-2-9
44.1,2022-2-11
43.66,2022-2-12
43.65,2022-2-13
43.64,2022-2-14
43.64,2022-2-15
43.66,2022-2-16
43.66,2022-2-17
43.65,2022-2-20
43.2,2022-2-21
47.19,2022-2-22
47.2,2022-2-23
47.2,2022-2-24
46.6,2022-2-25
46.5,2022-2-26
46.04,2022-2-27
46.03,2022-2-28
45.99,2022-3-1
45.97,2022-3-2
45.95,2022-3-3
45.48,2022-3-4
45.47,2022-3-5
45.4,2022-3-6
44.95,2022-3-7
44.5,2022-3-8
44.4,2022-3-10
44.39,2022-3-11
44.39,2022-3-12
44.38,2022-3-13
43.5,2022-3-14
41.99,2022-3-15
42.0,2022-3-16
43.5,2022-3-17
43.0,2022-3-18
42.99,2022-3-21
43.5,2022-3-22
48.4,2022-3-26
48.4,2022-3-27
48.4,2022-3-28
47.45,2022-3-29
46.97,2022-3-30
47.43,2022-3-31
47.28,2022-4-5
47.2,2022-4-6
