prix,date
161.79,2021-11-10
161.75,2021-11-11
161.74,2021-11-12
161.78,2021-11-13
161.6,2021-11-14
159.99,2021-11-16
159.49,2021-11-17
159.48,2021-11-18
156.95,2021-11-23
156.94,2021-11-24
155.95,2021-11-25
155.9,2021-11-26
156.8,2021-11-28
163.0,2021-11-29
163.0,2021-11-30
163.0,2021-12-3
163.0,2021-12-7
155.0,2021-12-9
149.5,2021-12-10
162.5,2021-12-11
162.4,2021-12-12
160.0,2021-12-15
160.0,2021-12-16
159.99,2021-12-17
159.0,2021-12-18
159.0,2021-12-22
155.0,2021-12-24
155.0,2021-12-26
155.0,2021-12-27
155.0,2021-12-29
157.9,2021-12-30
157.9,2021-12-31
159.99,2022-1-1
159.0,2022-1-6
159.99,2022-1-7
169.0,2022-1-9
169.0,2022-1-10
168.95,2022-1-12
167.99,2022-1-13
168.95,2022-1-15
168.95,2022-1-16
168.8,2022-1-17
168.8,2022-1-19
168.8,2022-1-24
172.0,2022-1-27
172.0,2022-2-2
172.0,2022-2-5
172.0,2022-2-11
172.0,2022-2-15
172.0,2022-2-20
172.0,2022-2-25
172.0,2022-2-27
172.0,2022-3-1
166.8537,2022-3-3
172.0,2022-3-10
172.0,2022-3-21
175.0,2022-3-25
175.0,2022-3-27
175.0,2022-3-28
