prix,date
147.56671899529044,2021-10-9
148.19466248037676,2021-10-10
145.91836734693877,2021-10-11
144.4270015698587,2021-10-12
144.4270015698587,2021-10-13
141.287284144427,2021-10-14
144.4270015698587,2021-10-15
145.96546310832025,2021-10-16
142.85714285714286,2021-10-17
141.287284144427,2021-10-18
142.4646781789639,2021-10-19
141.75824175824175,2021-10-20
141.44427001569858,2021-10-21
139.71742543171115,2021-10-22
141.2087912087912,2021-10-23
139.01098901098902,2021-10-24
138.0690737833595,2021-10-25
137.8335949764521,2021-10-26
139.40345368916797,2021-10-27
141.0204081632653,2021-10-28
140.3453689167975,2021-10-29
141.287284144427,2021-10-30
142.07221350078493,2021-10-31
142.07221350078493,2021-11-1
142.07221350078493,2021-11-2
141.91522762951334,2021-11-3
139.71742543171115,2021-11-4
139.87441130298274,2021-11-5
140.81632653061223,2021-11-6
143.01412872841445,2021-11-7
143.21036106750392,2021-11-8
144.10518053375196,2021-11-9
142.83673469387756,2021-11-10
141.20565149136576,2021-11-11
142.4646781789639,2021-11-12
141.99372056514915,2021-11-13
142.3861852433281,2021-11-14
142.1507064364207,2021-11-15
141.91522762951334,2021-11-16
142.07221350078493,2021-11-17
142.70015698587127,2021-11-18
141.2087912087912,2021-11-22
142.07221350078493,2021-11-23
142.83830455259027,2021-11-24
141.13029827315543,2021-11-25
144.11302982731553,2021-11-26
143.4850863422292,2021-11-27
145.21193092621664,2021-11-28
145.99686028257457,2021-11-29
144.6624803767661,2021-11-30
145.21193092621664,2021-12-1
146.7817896389325,2021-12-2
148.35164835164835,2021-12-3
151.41287284144425,2021-12-4
152.27629513343797,2021-12-5
153.68916797488225,2021-12-6
152.90423861852432,2021-12-8
152.27629513343797,2021-12-9
154.4740973312402,2021-12-10
154.55259026687597,2021-12-11
152.27629513343797,2021-12-12
153.76766091051803,2021-12-13
152.98273155416013,2021-12-14
155.0706436420722,2021-12-15
153.84615384615384,2021-12-16
156.12244897959184,2021-12-17
155.88697017268444,2021-12-18
155.9497645211931,2021-12-19
154.63108320251177,2021-12-20
156.19466248037676,2021-12-21
155.3375196232339,2021-12-22
155.3375196232339,2021-12-23
154.86656200941917,2021-12-24
156.75039246467816,2021-12-25
156.82888540031396,2021-12-26
156.27943485086342,2021-12-27
156.67032967032966,2021-12-28
156.18524332810046,2021-12-29
156.04395604395603,2021-12-30
156.20094191522765,2021-12-31
156.20094191522765,2022-1-1
155.2590266875981,2022-1-2
157.5353218210361,2022-1-3
157.6923076923077,2022-1-4
158.17582417582418,2022-1-5
158.08477237048666,2022-1-6
156.82888540031396,2022-1-7
156.75039246467816,2022-1-8
156.98430141287284,2022-1-9
156.12244897959184,2022-1-10
156.07535321821035,2022-1-11
156.5149136577708,2022-1-12
156.98587127158555,2022-1-13
156.98587127158555,2022-1-14
157.50392464678177,2022-1-15
157.6138147566719,2022-1-16
156.98587127158555,2022-1-17
156.82888540031396,2022-1-18
156.20094191522765,2022-1-19
156.98587127158555,2022-1-20
156.98587127158555,2022-1-21
158.16326530612244,2022-1-22
156.5149136577708,2022-1-23
156.98587127158555,2022-1-24
156.98587127158555,2022-1-25
156.5934065934066,2022-1-26
156.75039246467816,2022-1-27
156.5934065934066,2022-1-28
156.82888540031396,2022-1-29
157.7708006279435,2022-1-30
159.34065934065933,2022-1-31
161.38147566718996,2022-2-1
164.34850863422292,2022-2-2
164.1287284144427,2022-2-3
163.89324960753532,2022-2-4
167.2684458398744,2022-2-5
167.1899529042386,2022-2-6
164.52119309262164,2022-2-7
163.81475667189952,2022-2-8
161.67974882260597,2022-2-9
163.18681318681317,2022-2-10
161.6954474097331,2022-2-11
164.59968602825745,2022-2-12
164.2072213500785,2022-2-13
165.30612244897958,2022-2-14
167.03296703296704,2022-2-15
163.8916797488226,2022-2-16
163.26530612244898,2022-2-17
162.79434850863422,2022-2-18
162.79434850863422,2022-2-19
165.77708006279434,2022-2-20
165.83830455259027,2022-2-21
167.66091051805338,2022-2-22
166.79748822605964,2022-2-23
167.11145996860284,2022-2-24
167.58241758241758,2022-2-25
169.4662480376766,2022-2-26
166.4050235478807,2022-2-27
167.89638932496075,2022-2-28
169.23076923076923,2022-3-1
169.07378335949764,2022-3-2
167.81789638932497,2022-3-3
169.5447409733124,2022-3-4
170.9387755102041,2022-3-5
172.29199372056516,2022-3-6
172.52747252747253,2022-3-7
172.37048665620097,2022-3-8
172.44897959183672,2022-3-9
172.68288854003137,2022-3-10
172.66875981161698,2022-3-11
172.44897959183672,2022-3-12
168.68131868131866,2022-3-13
169.5447409733124,2022-3-14
172.37048665620097,2022-3-15
172.6844583987441,2022-3-16
175.82417582417582,2022-3-17
175.82417582417582,2022-3-18
185.24332810047096,2022-3-21
183.51648351648353,2022-3-22
183.35949764521192,2022-3-23
179.59183673469386,2022-3-24
178.64835164835165,2022-3-25
178.96389324960754,2022-3-26
176.60910518053373,2022-3-27
177.39403453689167,2022-3-28
177.39403453689167,2022-3-29
175.82417582417582,2022-3-30
175.43171114599684,2022-3-31
178.33594976452116,2022-4-4
177.39403453689167,2022-4-5
177.1585557299843,2022-4-6
178.1789638932496,2022-4-7
