prix,date
289.06,2021-10-9
290.0,2021-10-10
262.38,2021-10-12
269.99,2021-10-13
269.98,2021-10-14
270.0,2021-10-18
270.0,2021-10-19
258.99,2021-10-20
288.16,2021-10-22
256.31,2021-10-23
342.0,2021-10-24
298.99,2021-10-25
298.99,2021-10-26
299.9,2021-10-30
279.99,2021-10-31
268.86,2021-11-8
279.98,2021-11-11
268.86,2021-11-12
289.89,2021-11-15
282.99,2021-11-16
260.0,2021-11-17
260.0,2021-11-18
260.0,2021-11-19
260.0,2021-11-21
245.04,2021-11-22
260.0,2021-11-23
260.0,2021-11-24
258.8,2021-11-25
260.82,2021-11-26
258.0,2021-11-27
257.73,2021-11-28
257.73,2021-11-29
257.73,2021-11-30
257.73,2021-12-1
257.73,2021-12-3
257.73,2021-12-5
259.26,2021-12-6
251.79,2021-12-7
256.07,2021-12-8
248.64,2021-12-9
263.91,2021-12-10
257.04,2021-12-11
263.0,2021-12-12
256.49,2021-12-13
252.95,2021-12-14
252.66,2021-12-15
266.0,2021-12-16
266.0,2021-12-17
268.59,2021-12-18
273.8,2021-12-19
268.22,2021-12-20
268.2,2021-12-21
263.56,2021-12-22
264.89,2021-12-23
268.22,2021-12-24
266.0,2021-12-25
266.0,2021-12-26
266.0,2021-12-27
266.0,2021-12-28
266.0,2021-12-29
268.22,2021-12-30
268.2,2021-12-31
268.15,2022-1-1
268.1,2022-1-2
268.06,2022-1-3
268.02,2022-1-4
267.99,2022-1-5
267.94,2022-1-6
267.95,2022-1-7
267.91,2022-1-8
267.86,2022-1-9
267.83,2022-1-10
267.83,2022-1-11
267.79,2022-1-12
267.78,2022-1-13
267.82,2022-1-14
268.22,2022-1-15
268.22,2022-1-16
268.22,2022-1-18
268.22,2022-1-20
268.22,2022-1-21
268.22,2022-1-22
268.22,2022-1-24
268.22,2022-1-25
294.7,2022-1-26
294.7,2022-1-27
293.36,2022-1-28
294.0,2022-1-29
293.19,2022-1-30
293.13,2022-1-31
293.09,2022-2-1
293.07,2022-2-2
293.03,2022-2-3
293.0,2022-2-4
291.43,2022-2-5
291.38,2022-2-6
283.98,2022-2-7
284.65,2022-2-8
287.38,2022-2-9
279.91,2022-2-10
280.0,2022-2-11
290.0,2022-2-12
277.96,2022-2-13
278.22,2022-2-14
278.39,2022-2-15
275.06,2022-2-16
275.0,2022-2-17
269.98,2022-2-18
294.69,2022-2-19
294.69,2022-2-20
294.69,2022-2-21
291.0,2022-2-25
271.69,2022-2-26
285.27,2022-2-27
285.27,2022-2-28
285.19,2022-3-1
282.48,2022-3-2
280.0,2022-3-3
279.92,2022-3-4
279.84,2022-3-5
279.77,2022-3-6
279.67,2022-3-7
279.56,2022-3-8
296.89,2022-3-9
305.3,2022-3-11
311.73,2022-3-12
308.76,2022-3-13
295.7,2022-3-14
295.7,2022-3-15
295.7,2022-3-17
423.88,2022-3-21
302.51,2022-3-22
302.42,2022-3-24
299.47,2022-3-25
299.38,2022-3-26
299.31,2022-3-27
299.22,2022-3-28
299.12,2022-3-29
299.05,2022-3-30
298.98,2022-3-31
308.35,2022-4-4
319.99,2022-4-6
