prix,date
261.38147566718993,2021-10-9
258.712715855573,2021-10-10
258.5557299843014,2021-10-11
252.51177394034536,2021-10-12
249.19466248037676,2021-10-13
254.00313971742543,2021-10-14
252.98273155416013,2021-10-15
250.39246467817895,2021-10-16
238.61852433281004,2021-10-17
238.30455259026687,2021-10-18
234.85086342229198,2021-10-19
232.3375196232339,2021-10-20
227.55102040816328,2021-10-21
226.05965463108322,2021-10-22
219.78021978021977,2021-10-23
219.70172684458396,2021-10-24
225.74568288854005,2021-10-25
234.5368916797488,2021-10-26
233.43799058084772,2021-10-27
235.00784929356357,2021-10-28
235.00784929356357,2021-10-29
240.97331240188382,2021-10-30
250.54945054945057,2021-10-31
246.31083202511775,2021-11-1
243.32810047095762,2021-11-2
248.8226059654631,2021-11-3
246.23233908948194,2021-11-4
246.4678178963893,2021-11-5
243.32810047095762,2021-11-6
243.32810047095762,2021-11-7
243.32810047095762,2021-11-8
241.60125588697016,2021-11-9
242.85714285714286,2021-11-10
242.70015698587125,2021-11-11
240.1098901098901,2021-11-12
242.3076923076923,2021-11-13
242.07221350078493,2021-11-14
239.40345368916797,2021-11-15
239.79591836734693,2021-11-16
239.24332810047096,2021-11-17
239.24332810047096,2021-11-18
241.75824175824175,2021-11-22
240.1883830455259,2021-11-23
234.85086342229198,2021-11-24
235.32182103610674,2021-11-25
235.47880690737836,2021-11-26
243.24960753532181,2021-11-27
243.32810047095762,2021-11-28
247.56671899529044,2021-11-29
246.31083202511775,2021-11-30
248.03767660910518,2021-12-1
249.60753532182102,2021-12-2
257.6923076923077,2021-12-3
257.45682888540034,2021-12-4
257.1428571428571,2021-12-5
255.1020408163265,2021-12-6
256.20094191522765,2021-12-7
249.29356357927787,2021-12-8
251.1773940345369,2021-12-9
261.8524332810047,2021-12-10
255.72998430141288,2021-12-11
263.265306122449,2021-12-12
263.0298273155416,2021-12-13
262.71585557299846,2021-12-14
262.55886970172685,2021-12-15
261.30298273155415,2021-12-16
262.1664050235479,2021-12-17
257.62951334379903,2021-12-18
257.45682888540034,2021-12-19
261.06750392464676,2021-12-20
257.1428571428571,2021-12-21
259.6546310832025,2021-12-22
257.22135007849295,2021-12-23
261.53846153846155,2021-12-24
259.02668759811615,2021-12-25
263.4222919937206,2021-12-26
266.4835164835165,2021-12-27
270.01569858712713,2021-12-28
269.8587127158556,2021-12-29
271.56985871271587,2021-12-30
270.6436420722135,2021-12-31
271.5070643642072,2022-1-1
268.44583987441126,2022-1-2
270.7205651491366,2022-1-3
269.8587127158556,2022-1-4
266.71899529042383,2022-1-5
266.5620094191523,2022-1-6
266.71899529042383,2022-1-7
267.1899529042386,2022-1-8
266.5620094191523,2022-1-9
268.13186813186815,2022-1-10
266.71899529042383,2022-1-11
269.2307692307692,2022-1-12
268.36734693877554,2022-1-13
266.7032967032967,2022-1-14
269.93720565149135,2022-1-15
270.8006279434851,2022-1-16
272.6059654631083,2022-1-17
271.5070643642072,2022-1-18
270.8006279434851,2022-1-19
270.8006279434851,2022-1-20
271.585557299843,2022-1-21
271.4285714285714,2022-1-22
272.3704866562009,2022-1-23
271.585557299843,2022-1-24
268.44583987441126,2022-1-25
271.585557299843,2022-1-26
272.3704866562009,2022-1-27
272.0565149136578,2022-1-28
270.01569858712713,2022-1-29
271.6640502354788,2022-1-30
272.7315541601256,2022-1-31
274.54945054945057,2022-2-1
276.0596546310832,2022-2-2
274.8037676609105,2022-2-3
274.72527472527474,2022-2-4
279.4348508634223,2022-2-5
274.72527472527474,2022-2-6
280.690737833595,2022-2-7
279.4348508634223,2022-2-8
277.70800627943487,2022-2-9
276.2951334379906,2022-2-10
274.6467817896389,2022-2-11
273.7833594976452,2022-2-12
271.585557299843,2022-2-13
272.99843014128726,2022-2-14
273.0612244897959,2022-2-15
279.4348508634223,2022-2-16
277.4725274725275,2022-2-17
277.8649921507064,2022-2-18
281.7896389324961,2022-2-19
282.10361067503925,2022-2-20
282.26059654631086,2022-2-21
282.10361067503925,2022-2-22
281.9466248037677,2022-2-23
281.7896389324961,2022-2-24
279.4348508634223,2022-2-25
282.574568288854,2022-2-26
279.4348508634223,2022-2-27
284.2229199372057,2022-2-28
282.26059654631086,2022-3-1
281.7896389324961,2022-3-2
281.7896389324961,2022-3-3
282.574568288854,2022-3-4
285.7142857142857,2022-3-5
297.4882260596546,2022-3-6
297.88069073783356,2022-3-7
295.91836734693874,2022-3-8
293.2496075353218,2022-3-9
290.1098901098901,2022-3-10
298.27158555729983,2022-3-11
302.5117739403454,2022-3-12
302.1978021978022,2022-3-13
301.0204081632653,2022-3-14
301.2558869701727,2022-3-15
306.1224489795918,2022-3-16
306.1224489795918,2022-3-17
302.967032967033,2022-3-18
313.1868131868132,2022-3-21
327.70800627943487,2022-3-22
327.78649921507065,2022-3-23
321.8210361067504,2022-3-24
308.9481946624804,2022-3-25
308.3987441130298,2022-3-26
308.47723704866564,2022-3-27
307.6923076923077,2022-3-28
306.9073783359498,2022-3-29
307.5321821036107,2022-3-30
305.80847723704863,2022-3-31
310.35949764521195,2022-4-4
307.6138147566719,2022-4-5
307.6923076923077,2022-4-6
309.10518053375193,2022-4-7
