prix,date
3.5,2021-10-10
2.84,2021-10-13
3.5,2021-10-18
4.85,2021-10-22
2.69,2021-10-23
2.59,2021-10-24
2.55,2021-10-25
2.47,2021-10-26
2.55,2021-10-27
3.0,2021-10-28
2.5795,2021-10-29
4.85,2021-11-4
3.7,2021-11-14
2.8,2021-11-15
2.8079999999999994,2021-11-23
2.76,2021-11-24
2.76,2021-11-26
2.76,2021-11-29
2.76,2021-11-30
2.76,2021-12-2
3.49,2021-12-3
3.49,2021-12-10
4.85,2021-12-15
3.5,2021-12-18
3.2253,2021-12-19
2.9513,2021-12-20
3.2,2021-12-21
3.16,2021-12-24
3.16,2021-12-25
3.16,2021-12-26
3.2,2021-12-27
3.2,2021-12-29
3.25,2021-12-31
3.2,2022-1-1
3.15,2022-1-2
3.15,2022-1-4
3.15,2022-1-5
3.3,2022-1-6
3.3,2022-1-9
3.3,2022-1-11
3.6,2022-1-14
3.75,2022-1-16
3.4,2022-1-17
3.75,2022-1-18
3.4,2022-1-19
3.3,2022-1-20
3.29,2022-1-21
3.75,2022-1-23
3.75,2022-1-25
3.75,2022-1-27
3.1312,2022-1-29
3.1312,2022-1-30
3.1312,2022-1-31
3.1312,2022-2-3
3.779,2022-2-4
2.99,2022-2-5
3.574,2022-2-6
3.3164,2022-2-7
3.392,2022-2-8
3.392,2022-2-9
3.392,2022-2-10
3.392,2022-2-11
3.9,2022-2-12
3.75,2022-2-14
3.75,2022-2-15
3.75,2022-2-16
3.75,2022-2-18
4.0,2022-2-21
3.8733,2022-2-28
3.6840999999999995,2022-3-1
3.5071,2022-3-2
3.3456,2022-3-3
3.1977,2022-3-4
3.0632,2022-3-5
4.0,2022-3-6
4.0,2022-3-7
4.0,2022-3-8
4.0,2022-3-14
3.6178,2022-3-16
3.4479,2022-3-17
3.4203,2022-3-18
4.0,2022-3-26
4.0,2022-3-27
4.0,2022-3-31
