prix,date
1.1393,2021-10-9
1.1393,2021-10-14
1.16,2021-10-15
1.1599,2021-10-17
1.14,2021-10-19
1.18,2021-10-21
1.18,2021-10-22
1.15,2021-10-24
1.14,2021-10-28
1.086,2021-10-29
1.0839,2021-10-30
1.0839,2021-11-1
1.0839,2021-11-2
1.05,2021-11-3
1.079,2021-11-4
1.07,2021-11-5
1.07,2021-11-6
1.07,2021-11-8
1.07,2021-11-9
1.0,2021-11-10
1.039,2021-11-11
1.038,2021-11-12
1.037,2021-11-14
1.036,2021-11-15
1.0,2021-11-16
0.9990000000000001,2021-11-17
1.0583,2021-11-22
1.0595,2021-11-23
1.0631,2021-11-24
1.0631,2021-11-25
1.0,2021-11-26
1.1499,2021-11-27
1.1499,2021-11-28
1.1499,2021-11-29
1.1499,2021-11-30
1.1499,2021-12-1
0.986,2021-12-2
1.1,2021-12-3
1.1832,2021-12-4
1.2,2021-12-5
1.2,2021-12-6
1.2,2021-12-7
1.2,2021-12-8
1.1084,2021-12-9
1.19,2021-12-10
1.2,2021-12-11
1.2,2021-12-12
1.2,2021-12-13
1.2,2021-12-14
1.1,2021-12-15
1.17,2021-12-16
1.1213,2021-12-17
1.24,2021-12-18
1.24,2021-12-19
1.216,2021-12-20
1.152,2021-12-21
1.2,2021-12-22
1.2,2021-12-23
1.24,2021-12-24
1.2,2021-12-25
1.2,2021-12-26
1.2,2021-12-27
1.2,2021-12-28
1.2,2021-12-29
1.2,2021-12-30
1.2,2021-12-31
1.25,2022-1-1
1.3,2022-1-2
1.4,2022-1-3
1.39,2022-1-4
1.39,2022-1-5
1.39,2022-1-6
1.39,2022-1-7
1.489,2022-1-8
1.38,2022-1-9
1.489,2022-1-10
1.4,2022-1-11
1.48,2022-1-12
1.399,2022-1-13
1.399,2022-1-14
1.5,2022-1-15
1.3668,2022-1-16
1.5,2022-1-17
1.5456999999999999,2022-1-18
1.4348,2022-1-19
1.54,2022-1-20
1.51,2022-1-21
1.4143999999999999,2022-1-22
1.53,2022-1-23
1.43,2022-1-24
1.4768999999999999,2022-1-25
1.36,2022-1-26
1.3532,2022-1-27
1.3530000000000002,2022-1-28
1.495,2022-1-29
1.4745999999999997,2022-1-30
1.4608,2022-1-31
1.3532,2022-2-1
1.3532,2022-2-2
1.4377000000000002,2022-2-3
1.37,2022-2-4
1.4079,2022-2-5
1.35,2022-2-6
1.34,2022-2-7
1.34,2022-2-8
1.3399,2022-2-9
1.34,2022-2-10
1.3396,2022-2-11
1.34,2022-2-12
1.335,2022-2-13
1.34,2022-2-14
1.3399,2022-2-15
1.3399,2022-2-16
1.3399,2022-2-17
1.3399,2022-2-18
1.3399,2022-2-19
1.338,2022-2-20
1.338,2022-2-21
1.4381,2022-2-22
1.338,2022-2-23
1.348,2022-2-24
1.3325,2022-2-25
1.3460000000000003,2022-2-26
1.46,2022-2-27
1.5,2022-2-28
1.5456999999999999,2022-3-1
1.54,2022-3-2
1.598,2022-3-3
1.6438,2022-3-4
1.619,2022-3-5
1.6439999999999997,2022-3-6
1.6329,2022-3-7
1.619,2022-3-8
1.63,2022-3-9
1.608,2022-3-10
1.598,2022-3-11
1.579,2022-3-12
1.5599,2022-3-13
1.55,2022-3-14
1.6,2022-3-15
1.59,2022-3-16
1.5518,2022-3-17
1.589,2022-3-18
1.5744999999999998,2022-3-21
1.5744999999999998,2022-3-22
1.589,2022-3-23
1.5776,2022-3-24
1.6098,2022-3-25
1.5776,2022-3-26
1.5899,2022-3-27
1.55,2022-3-28
1.5776,2022-3-29
1.6,2022-3-30
1.57,2022-3-31
1.8,2022-4-4
1.8,2022-4-5
1.9,2022-4-6
1.89,2022-4-7
