prix,date
88.78,2021-10-9
88.78,2021-10-10
85.8,2021-10-11
83.9,2021-10-12
85.81,2021-10-13
84.68,2021-10-14
81.53,2021-10-15
86.89,2021-10-16
85.65,2021-10-17
88.78,2021-10-18
86.46,2021-10-20
88.78,2021-10-21
87.68,2021-10-23
87.67,2021-10-24
87.36,2021-10-26
85.59,2021-10-27
85.56,2021-10-28
85.41,2021-10-29
85.19,2021-10-30
84.53,2021-10-31
84.73,2021-11-1
84.89,2021-11-2
85.5,2021-11-3
85.55,2021-11-4
85.16,2021-11-5
84.32,2021-11-6
85.01,2021-11-7
84.92,2021-11-8
84.68,2021-11-9
84.71,2021-11-10
85.65,2021-11-11
84.17,2021-11-12
84.0,2021-11-13
82.91,2021-11-14
83.46,2021-11-15
83.27,2021-11-16
83.7,2021-11-17
83.7,2021-11-18
84.2,2021-11-19
83.9,2021-11-20
82.85,2021-11-21
83.79,2021-11-22
85.04,2021-11-23
84.83,2021-11-24
83.35,2021-11-25
85.62,2021-11-26
83.21,2021-11-27
83.75,2021-11-28
82.99,2021-11-29
82.99,2021-11-30
82.61,2021-12-1
84.41,2021-12-2
85.73,2021-12-3
86.8,2021-12-4
86.73,2021-12-5
87.1,2021-12-6
86.21,2021-12-7
89.04,2021-12-8
89.7,2021-12-9
86.68,2021-12-10
88.39,2021-12-11
90.14,2021-12-12
87.0,2021-12-13
87.0,2021-12-14
87.0,2021-12-15
87.0,2021-12-16
91.25,2021-12-17
88.28,2021-12-18
87.16,2021-12-19
87.72,2021-12-20
86.29,2021-12-21
85.52,2021-12-22
84.77,2021-12-23
84.73,2021-12-24
84.69,2021-12-25
84.63,2021-12-26
84.58,2021-12-27
84.55,2021-12-28
84.49,2021-12-29
84.42,2021-12-30
84.73,2021-12-31
84.73,2022-1-1
84.73,2022-1-2
84.73,2022-1-3
84.73,2022-1-4
84.73,2022-1-5
84.73,2022-1-6
84.73,2022-1-7
84.73,2022-1-8
84.73,2022-1-9
84.73,2022-1-10
84.73,2022-1-11
84.72,2022-1-12
84.73,2022-1-13
84.73,2022-1-14
84.73,2022-1-15
84.73,2022-1-16
84.73,2022-1-17
84.73,2022-1-18
84.73,2022-1-19
84.73,2022-1-20
84.73,2022-1-21
84.73,2022-1-22
84.73,2022-1-23
84.73,2022-1-24
84.73,2022-1-25
95.04,2022-1-26
95.01,2022-1-27
94.98,2022-1-28
94.92,2022-1-29
93.99,2022-1-30
92.0,2022-1-31
91.96,2022-2-1
91.94,2022-2-2
91.89,2022-2-3
95.33,2022-2-4
94.8,2022-2-5
94.77,2022-2-6
94.18,2022-2-7
93.1,2022-2-8
94.38,2022-2-9
94.37,2022-2-10
94.37,2022-2-11
93.69,2022-2-12
93.6,2022-2-13
93.6,2022-2-14
91.69,2022-2-15
94.4,2022-2-16
94.34,2022-2-17
94.23,2022-2-18
97.9,2022-2-19
97.9,2022-2-20
97.9,2022-2-21
95.45,2022-2-22
95.63,2022-2-23
95.44,2022-2-24
94.57,2022-2-25
94.48,2022-2-26
94.4,2022-2-27
94.33,2022-2-28
94.24,2022-3-1
95.09,2022-3-2
95.1,2022-3-3
95.1,2022-3-4
95.01,2022-3-5
95.07,2022-3-6
94.97,2022-3-7
94.98,2022-3-8
95.04,2022-3-9
95.04,2022-3-10
95.04,2022-3-11
95.04,2022-3-12
94.96,2022-3-13
94.86,2022-3-14
94.69,2022-3-15
94.61,2022-3-16
94.51,2022-3-17
94.47,2022-3-18
93.55,2022-3-21
103.34,2022-3-22
101.06,2022-3-23
101.1,2022-3-24
100.98,2022-3-25
98.8,2022-3-26
98.71,2022-3-27
98.63,2022-3-28
98.53,2022-3-29
98.03,2022-3-30
97.96,2022-3-31
97.62,2022-4-4
97.46,2022-4-6
97.44,2022-4-7
