prix,date
61.69,2021-10-9
61.68,2021-10-10
61.67,2021-10-11
61.03,2021-10-12
61.02,2021-10-13
60.4,2021-10-14
61.66,2021-10-15
68.8,2021-10-17
68.0,2021-10-19
63.99,2021-10-20
63.98,2021-10-21
63.97,2021-10-22
63.96,2021-10-24
63.95,2021-10-25
68.39,2021-10-28
67.68,2021-10-30
67.68,2021-10-31
64.43,2021-11-1
65.8,2021-11-2
65.79,2021-11-3
65.78,2021-11-4
65.78,2021-11-6
68.35,2021-11-7
67.67,2021-11-8
66.99,2021-11-9
66.9,2021-11-10
66.24,2021-11-12
66.23,2021-11-14
66.0,2021-11-15
65.33,2021-11-16
65.32,2021-11-17
72.13,2021-11-22
72.13,2021-11-23
72.13,2021-11-24
72.13,2021-11-25
67.0,2021-11-26
67.0,2021-11-27
66.33,2021-11-29
66.0,2021-11-30
65.99,2021-12-1
65.34,2021-12-2
64.69,2021-12-3
64.69,2021-12-4
64.05,2021-12-5
63.41,2021-12-6
63.41,2021-12-7
62.76,2021-12-8
62.75,2021-12-9
62.73,2021-12-10
62.73,2021-12-11
62.72,2021-12-12
62.71,2021-12-13
62.7,2021-12-14
68.9,2021-12-15
68.22,2021-12-16
68.22,2021-12-17
68.0,2021-12-19
67.88,2021-12-20
67.21,2021-12-21
67.19,2021-12-22
67.19,2021-12-23
67.18,2021-12-24
66.0,2021-12-25
67.17,2021-12-26
67.16,2021-12-27
66.48,2021-12-29
66.48,2021-12-30
66.0,2021-12-31
65.47,2022-1-1
66.0,2022-1-2
65.33,2022-1-4
65.32,2022-1-6
64.67,2022-1-7
64.66,2022-1-8
64.64,2022-1-9
64.3,2022-1-10
64.3,2022-1-11
74.45,2022-1-12
72.37,2022-1-13
69.81,2022-1-14
69.12,2022-1-15
68.43,2022-1-16
68.43,2022-1-17
68.43,2022-1-18
67.75,2022-1-19
67.75,2022-1-23
67.75,2022-1-24
70.04,2022-1-26
70.04,2022-1-27
69.34,2022-1-29
69.33,2022-1-30
68.64,2022-1-31
67.0,2022-2-1
66.98,2022-2-2
66.32,2022-2-3
66.31,2022-2-4
65.65,2022-2-5
66.31,2022-2-6
66.3,2022-2-7
66.32,2022-2-8
65.66,2022-2-9
73.94,2022-2-11
73.21,2022-2-12
72.48,2022-2-13
72.47,2022-2-14
72.47,2022-2-15
71.74,2022-2-16
71.03,2022-2-17
70.32,2022-2-18
69.62,2022-2-19
69.48,2022-2-20
69.44,2022-2-21
68.74,2022-2-22
68.72,2022-2-23
68.7,2022-2-24
68.02,2022-2-25
68.01,2022-2-26
68.0,2022-2-27
67.32,2022-2-28
66.63,2022-3-1
66.61,2022-3-2
65.94,2022-3-3
65.92,2022-3-4
68.65,2022-3-5
93.35,2022-3-6
70.0,2022-3-7
69.99,2022-3-8
66.5,2022-3-9
73.83,2022-3-10
75.6,2022-3-11
74.85,2022-3-14
69.99,2022-3-15
69.29,2022-3-16
69.28,2022-3-17
69.0,2022-3-22
78.0,2022-3-28
70.0,2022-3-29
73.0,2022-3-30
76.16,2022-3-31
74.24,2022-4-5
73.99,2022-4-6
