prix,date
48.83,2021-10-10
48.59,2021-10-11
49.46,2021-10-15
49.54,2021-10-16
48.96,2021-10-17
49.78,2021-10-18
47.99,2021-10-19
48.13,2021-10-20
46.53,2021-10-21
46.49,2021-10-22
46.53,2021-10-23
48.32,2021-10-24
47.56,2021-10-25
46.45,2021-10-26
49.08,2021-10-27
49.07,2021-10-30
49.05,2021-10-31
49.06,2021-11-3
49.04,2021-11-4
48.66,2021-11-6
47.7,2021-11-7
47.7,2021-11-8
46.98,2021-11-9
47.7,2021-11-10
47.22,2021-11-11
47.36,2021-11-12
49.01,2021-11-13
47.01,2021-11-14
47.01,2021-11-15
48.53,2021-11-16
46.15,2021-11-17
46.15,2021-11-18
48.53,2021-11-19
48.53,2021-11-21
46.64,2021-11-23
46.66,2021-11-24
46.64,2021-11-25
46.27,2021-11-26
46.64,2021-11-27
45.84,2021-11-28
46.26,2021-11-29
45.64,2021-11-30
47.02,2021-12-1
47.02,2021-12-2
48.36,2021-12-3
47.0,2021-12-4
47.22,2021-12-5
46.41,2021-12-6
46.71,2021-12-7
48.87,2021-12-8
45.65,2021-12-9
45.72,2021-12-10
45.64,2021-12-11
45.72,2021-12-12
47.82,2021-12-13
49.57,2021-12-14
48.1,2021-12-15
49.15,2021-12-16
49.55,2021-12-17
47.88,2021-12-18
47.31,2021-12-19
46.34,2021-12-20
46.02,2021-12-21
45.99,2021-12-22
46.62,2021-12-23
47.88,2021-12-24
47.86,2021-12-25
47.8,2021-12-26
47.76,2021-12-27
47.87,2021-12-28
47.83,2021-12-29
47.77,2021-12-30
47.74,2021-12-31
47.69,2022-1-1
47.36,2022-1-2
47.32,2022-1-3
47.28,2022-1-4
47.25,2022-1-5
47.21,2022-1-6
47.88,2022-1-7
47.88,2022-1-8
47.88,2022-1-10
47.88,2022-1-11
47.87,2022-1-12
47.88,2022-1-13
47.88,2022-1-14
47.88,2022-1-15
47.88,2022-1-16
47.88,2022-1-17
47.88,2022-1-18
47.88,2022-1-19
47.88,2022-1-20
47.88,2022-1-21
46.69,2022-1-22
47.39,2022-1-23
47.16,2022-1-24
46.69,2022-1-25
47.5,2022-1-26
51.99,2022-1-27
51.98,2022-1-28
52.59,2022-1-29
51.69,2022-1-30
51.28,2022-1-31
51.14,2022-2-1
50.43,2022-2-2
51.28,2022-2-3
51.26,2022-2-4
51.29,2022-2-5
50.38,2022-2-6
49.35,2022-2-7
50.4,2022-2-8
50.39,2022-2-10
50.11,2022-2-11
49.51,2022-2-12
49.2,2022-2-13
49.2,2022-2-14
48.97,2022-2-15
52.5,2022-2-16
52.5,2022-2-17
51.98,2022-2-18
50.95,2022-2-19
50.83,2022-2-20
50.75,2022-2-21
48.38,2022-2-22
48.31,2022-2-23
48.23,2022-2-24
50.32,2022-2-25
49.27,2022-2-26
54.77,2022-2-27
49.48,2022-2-28
54.77,2022-3-1
49.44,2022-3-2
54.77,2022-3-3
48.82,2022-3-4
48.73,2022-3-5
54.77,2022-3-6
50.46,2022-3-7
55.57,2022-3-8
55.99,2022-3-9
55.99,2022-3-10
49.81,2022-3-11
49.72,2022-3-12
49.57,2022-3-13
49.47,2022-3-14
49.38,2022-3-15
49.3,2022-3-16
49.21,2022-3-17
49.19,2022-3-18
54.75,2022-3-21
54.75,2022-3-22
55.99,2022-3-25
55.99,2022-3-26
51.7,2022-3-27
51.45,2022-3-28
51.35,2022-3-29
49.09,2022-3-30
48.42,2022-3-31
50.27,2022-4-4
49.36,2022-4-6
