prix,date
523.0272,2021-10-9
520.8988,2021-10-10
520.0147,2021-10-11
510.0,2021-10-12
509.0,2021-10-13
499.0,2021-10-15
499.0,2021-10-17
500.8839,2021-10-21
500.7257,2021-10-22
500.0,2021-10-23
489.98,2021-10-25
489.98,2021-10-27
489.95,2021-10-29
489.98,2021-10-30
489.98,2021-11-1
499.95,2021-11-2
511.6116,2021-11-3
500.0,2021-11-9
505.0,2021-11-23
500.0,2021-11-26
500.0,2021-11-27
500.0,2021-11-28
510.0,2021-11-29
510.0,2021-11-30
510.0,2021-12-2
518.45,2021-12-3
498.64,2021-12-4
529.0,2021-12-5
511.5,2021-12-6
511.5,2021-12-7
519.0,2021-12-8
518.67,2021-12-9
500.0,2021-12-10
500.0,2021-12-11
500.0,2021-12-12
500.0,2021-12-15
500.0,2021-12-16
519.0,2021-12-17
530.0,2021-12-18
530.0,2021-12-19
530.0,2021-12-20
530.0,2021-12-21
550.0,2021-12-22
535.0,2021-12-23
535.0,2021-12-24
520.0,2021-12-25
520.0,2021-12-26
520.0,2021-12-27
520.0,2021-12-28
500.0,2021-12-29
500.0,2021-12-30
525.0,2021-12-31
529.95,2022-1-2
529.95,2022-1-3
529.95,2022-1-4
500.0,2022-1-5
545.0,2022-1-6
509.0,2022-1-7
533.0,2022-1-8
533.0,2022-1-9
529.99,2022-1-10
529.99,2022-1-11
529.99,2022-1-12
533.0,2022-1-13
580.0,2022-1-15
550.0,2022-1-17
589.99,2022-1-19
520.0,2022-1-20
530.0,2022-1-21
530.0,2022-1-22
553.6125,2022-1-23
553.6125,2022-1-24
550.0,2022-1-26
550.0,2022-1-27
550.0,2022-1-28
550.0,2022-1-29
550.0,2022-1-30
534.95,2022-1-31
534.95,2022-2-1
534.95,2022-2-4
534.95,2022-2-5
534.95,2022-2-6
589.99,2022-2-7
589.99,2022-2-8
586.4603,2022-2-9
589.99,2022-2-10
589.99,2022-2-11
589.99,2022-2-13
589.99,2022-2-16
560.0,2022-2-19
560.0,2022-2-20
560.0,2022-2-22
560.0,2022-2-23
560.0,2022-2-24
560.0,2022-2-27
560.0,2022-2-28
560.0,2022-3-1
560.0,2022-3-2
561.0,2022-3-3
561.0,2022-3-8
561.0,2022-3-9
561.0,2022-3-10
561.0,2022-3-12
561.0,2022-3-13
561.9694,2022-3-14
561.9,2022-3-15
561.9694,2022-3-16
570.76,2022-3-17
587.0,2022-3-25
587.0,2022-3-26
587.0,2022-3-30
587.0,2022-4-4
680.0,2022-4-6
