prix,date
488.2260596546311,2021-10-9
490.5808477237049,2021-10-10
496.07535321821035,2021-10-11
491.0518053375196,2021-10-12
474.8822605965463,2021-10-13
474.01883830455256,2021-10-14
473.861852433281,2021-10-15
470.0941915227629,2021-10-16
466.2480376766091,2021-10-17
463.10832025117736,2021-10-18
450.39246467817895,2021-10-19
445.7613814756671,2021-10-20
452.11930926216644,2021-10-21
457.45682888540034,2021-10-22
459.9686028257457,2021-10-23
462.8540031397174,2021-10-24
455.25902668759807,2021-10-25
453.6891679748822,2021-10-26
457.2213500784929,2021-10-27
459.1836734693877,2021-10-28
457.45682888540034,2021-10-29
465.62009419152275,2021-10-30
468.91679748822605,2021-10-31
470.8006279434851,2021-11-1
470.72213500784926,2021-11-2
474.8822605965463,2021-11-3
483.0455259026687,2021-11-4
478.80690737833595,2021-11-5
484.30141287284147,2021-11-6
484.7692307692308,2021-11-7
483.35949764521195,2021-11-8
481.63265306122446,2021-11-9
481.31868131868134,2021-11-10
475.58869701726843,2021-11-11
476.4521193092621,2021-11-12
477.62951334379903,2021-11-13
475.6043956043956,2021-11-14
476.1365777080063,2021-11-15
474.01883830455256,2021-11-16
470.9576138147567,2021-11-17
474.09733124018834,2021-11-18
480.21821036106746,2021-11-22
483.0455259026687,2021-11-23
484.77080062794346,2021-11-24
478.80690737833595,2021-11-25
480.1412872841444,2021-11-26
470.9576138147567,2021-11-27
477.08006279434846,2021-11-28
478.80690737833595,2021-11-29
479.81475667189954,2021-11-30
481.9309262166405,2021-12-1
486.01255886970176,2021-12-2
486.65620094191524,2021-12-3
492.9356357927786,2021-12-4
494.5054945054945,2021-12-5
496.3736263736264,2021-12-6
489.010989010989,2021-12-7
489.32496075353214,2021-12-8
486.18524332810046,2021-12-9
501.25588697017264,2021-12-10
499.1365777080063,2021-12-11
503.0612244897959,2021-12-12
502.0408163265306,2021-12-13
501.8053375196232,2021-12-14
503.8461538461538,2021-12-15
510.204081632653,2021-12-16
508.63422291993714,2021-12-17
508.320251177394,2021-12-18
494.5054945054945,2021-12-19
509.5761381475667,2021-12-20
513.1868131868132,2021-12-21
511.7739403453689,2021-12-22
516.1695447409733,2021-12-23
513.3437990580848,2021-12-24
505.4929356357927,2021-12-25
508.63422291993714,2021-12-26
511.6954474097331,2021-12-27
510.0470957613815,2021-12-28
510.0470957613815,2021-12-29
507.45682888540034,2021-12-30
511.61695447409727,2021-12-31
509.4191522762951,2022-1-1
510.204081632653,2022-1-2
511.7739403453689,2022-1-3
516.3076923076923,2022-1-4
514.6781789638932,2022-1-5
513.2653061224489,2022-1-6
510.989010989011,2022-1-7
511.61695447409727,2022-1-8
516.1695447409733,2022-1-9
523.2339089481947,2022-1-10
524.3328100470958,2022-1-11
524.0973312401884,2022-1-12
533.5949764521193,2022-1-13
531.3971742543171,2022-1-14
532.6530612244898,2022-1-15
533.7519623233909,2022-1-16
524.3328100470958,2022-1-17
521.8210361067504,2022-1-18
520.8791208791209,2022-1-19
514.756671899529,2022-1-20
530.3767660910519,2022-1-21
527.4568288854003,2022-1-22
528.6499215070644,2022-1-23
522.7629513343799,2022-1-24
522.6059654631083,2022-1-25
530.6122448979592,2022-1-26
531.3186813186813,2022-1-27
532.8100470957614,2022-1-28
533.7503924646782,2022-1-29
533.7519623233909,2022-1-30
533.7519623233909,2022-1-31
536.5777080062794,2022-2-1
536.4207221350078,2022-2-2
533.7519623233909,2022-2-3
538.4615384615385,2022-2-4
533.7519623233909,2022-2-5
535.3218210361068,2022-2-6
538.2260596546311,2022-2-7
535.0,2022-2-8
529.0423861852433,2022-2-9
527.2370486656201,2022-2-10
526.6875981161695,2022-2-11
529.0423861852433,2022-2-12
533.5949764521193,2022-2-13
532.1821036106751,2022-2-14
533.7519623233909,2022-2-15
539.7174254317111,2022-2-16
544.7409733124018,2022-2-17
546.3108320251177,2022-2-18
548.6656200941916,2022-2-19
556.828885400314,2022-2-20
554.0816326530612,2022-2-21
556.6718995290423,2022-2-22
554.0031397174255,2022-2-23
556.436420722135,2022-2-24
558.7802197802198,2022-2-25
555.1789638932496,2022-2-26
554.1601255886969,2022-2-27
544.7409733124018,2022-2-28
556.436420722135,2022-3-1
556.0439560439561,2022-3-2
561.9937205651491,2022-3-3
563.2653061224489,2022-3-4
567.425431711146,2022-3-5
579.2778649921507,2022-3-6
580.1412872841444,2022-3-7
578.9638932496075,2022-3-8
577.5494505494505,2022-3-9
577.6295133437991,2022-3-10
576.6875981161695,2022-3-11
576.138147566719,2022-3-12
564.756671899529,2022-3-13
572.8414442700157,2022-3-14
575.8241758241759,2022-3-15
578.021978021978,2022-3-16
577.7080062794348,2022-3-17
578.5714285714286,2022-3-18
604.3171114599686,2022-3-21
610.3610675039247,2022-3-22
609.8901098901099,2022-3-23
602.1978021978022,2022-3-24
584.7723704866562,2022-3-25
590.9733124018838,2022-3-26
600.9419152276295,2022-3-27
596.3893249607535,2022-3-28
586.7268445839874,2022-3-29
595.7613814756671,2022-3-30
595.6828885400314,2022-3-31
603.6891679748823,2022-4-4
606.9073783359497,2022-4-5
606.7896389324961,2022-4-6
605.6043956043956,2022-4-7
