prix,date
12.86,2021-10-9
14.36,2021-10-10
14.36,2021-10-11
14.36,2021-10-13
16.68,2021-10-14
16.66,2021-10-15
15.0,2021-10-16
16.69,2021-10-17
16.69,2021-10-18
16.53,2021-10-19
16.36,2021-10-20
15.54,2021-10-21
15.38,2021-10-22
15.23,2021-10-23
15.22,2021-10-24
14.89,2021-10-25
14.74,2021-10-27
15.36,2021-10-28
15.55,2021-10-29
16.0,2021-10-30
17.0,2021-10-31
18.0,2021-11-1
18.25,2021-11-2
17.0,2021-11-3
18.0,2021-11-4
18.05,2021-11-5
24.98,2021-11-7
23.74,2021-11-8
23.35,2021-11-9
23.1,2021-11-10
19.99,2021-11-11
18.81,2021-11-12
23.11,2021-11-13
22.85,2021-11-14
22.46,2021-11-15
22.43,2021-11-16
22.4,2021-11-17
22.27,2021-11-18
21.72,2021-11-19
20.63,2021-11-20
20.0,2021-11-22
17.55,2021-11-23
17.55,2021-11-24
19.75,2021-11-25
19.54,2021-11-26
19.5,2021-11-27
19.3,2021-11-28
19.0,2021-11-29
18.5,2021-11-30
18.3,2021-12-1
18.0,2021-12-2
19.5,2021-12-3
19.31,2021-12-4
19.3,2021-12-5
19.29,2021-12-6
23.98,2021-12-7
23.0,2021-12-8
22.98,2021-12-9
22.75,2021-12-10
22.75,2021-12-11
22.47,2021-12-12
22.46,2021-12-13
22.23,2021-12-14
22.01,2021-12-15
21.78,2021-12-17
21.76,2021-12-18
21.77,2021-12-19
21.75,2021-12-20
21.54,2021-12-21
21.32,2021-12-22
21.32,2021-12-23
21.31,2021-12-24
21.3,2021-12-25
21.05,2021-12-26
21.06,2021-12-27
21.06,2021-12-28
20.84,2021-12-29
20.84,2021-12-30
20.63,2021-12-31
20.63,2022-1-1
20.43,2022-1-2
20.43,2022-1-3
20.22,2022-1-4
20.22,2022-1-5
20.01,2022-1-6
22.6,2022-1-7
22.32,2022-1-8
22.08,2022-1-9
21.85,2022-1-10
21.62,2022-1-11
21.61,2022-1-12
21.62,2022-1-13
21.19,2022-1-14
20.99,2022-1-15
20.79,2022-1-16
20.59,2022-1-17
20.58,2022-1-18
20.58,2022-1-19
20.49,2022-1-20
20.39,2022-1-21
20.38,2022-1-22
20.37,2022-1-23
20.36,2022-1-24
20.16,2022-1-25
19.39,2022-1-26
20.16,2022-1-27
17.0,2022-1-28
19.8,2022-1-29
19.6,2022-1-30
19.59,2022-1-31
19.58,2022-2-1
19.56,2022-2-2
22.98,2022-2-3
22.76,2022-2-4
22.54,2022-2-5
21.78,2022-2-6
21.77,2022-2-7
21.55,2022-2-8
21.54,2022-2-9
21.54,2022-2-10
21.54,2022-2-11
21.54,2022-2-12
21.33,2022-2-13
20.87,2022-2-14
20.16,2022-2-15
20.2,2022-2-16
20.0,2022-2-17
19.99,2022-2-18
19.99,2022-2-19
20.19,2022-2-20
19.98,2022-2-21
20.39,2022-2-22
20.39,2022-2-23
21.0,2022-2-24
21.0,2022-2-25
20.79,2022-2-26
20.59,2022-2-27
20.58,2022-2-28
20.57,2022-3-1
20.55,2022-3-2
22.24,2022-3-3
22.01,2022-3-4
22.0,2022-3-5
22.0,2022-3-6
21.78,2022-3-7
20.99,2022-3-8
20.79,2022-3-9
20.78,2022-3-10
20.77,2022-3-11
20.77,2022-3-12
20.76,2022-3-13
20.55,2022-3-14
20.54,2022-3-15
20.55,2022-3-16
23.89,2022-3-17
23.6,2022-3-18
23.13,2022-3-21
23.11,2022-3-22
22.95,2022-3-24
22.99,2022-3-25
22.99,2022-3-26
22.98,2022-3-27
22.68,2022-3-28
22.45,2022-3-29
22.34,2022-3-30
22.34,2022-3-31
22.35,2022-4-6
