prix,date
14.99,2022-1-31
8.0,2022-2-1
5.29,2022-2-2
17.0,2022-2-3
8.93,2022-2-4
8.93,2022-2-5
6.15,2022-2-6
5.89,2022-2-7
5.9,2022-2-8
7.45,2022-2-9
6.06,2022-2-10
5.87,2022-2-11
5.0,2022-2-12
5.43,2022-2-13
5.16,2022-2-14
4.8,2022-2-15
4.74,2022-2-16
4.62,2022-2-17
4.6,2022-2-18
4.69,2022-2-19
4.68,2022-2-20
4.53,2022-2-21
4.6,2022-2-22
4.39,2022-2-23
4.65,2022-2-24
4.56,2022-2-25
4.22,2022-2-26
4.04,2022-2-27
3.9,2022-2-28
3.8,2022-3-1
3.69,2022-3-2
4.2,2022-3-3
3.92,2022-3-4
3.82,2022-3-5
3.74,2022-3-6
3.81,2022-3-7
3.72,2022-3-8
3.63,2022-3-9
3.53,2022-3-10
3.43,2022-3-11
3.48,2022-3-12
3.48,2022-3-13
3.7,2022-3-14
3.66,2022-3-15
3.44,2022-3-16
3.31,2022-3-17
3.27,2022-3-18
3.48,2022-3-21
3.07,2022-3-22
3.06,2022-3-23
3.23,2022-3-24
3.19,2022-3-25
2.91,2022-3-26
2.92,2022-3-27
3.15,2022-3-28
3.14,2022-3-29
3.13,2022-3-30
2.96,2022-3-31
2.92,2022-4-4
2.68,2022-4-6
