prix,date
43.63,2021-10-9
43.63,2021-10-10
42.96,2021-10-11
43.63,2021-10-12
47.57,2021-10-13
61.05,2021-10-14
61.05,2021-10-15
61.05,2021-10-16
73.41,2021-10-18
65.0,2021-10-20
62.99,2021-10-21
43.52,2021-10-22
62.94,2021-10-23
62.94,2021-10-24
55.0,2021-10-25
46.18,2021-10-26
49.59,2021-10-27
48.56,2021-10-28
60.0,2021-10-29
59.99,2021-10-30
55.0,2021-10-31
55.78,2021-11-1
66.32,2021-11-2
66.32,2021-11-3
57.36,2021-11-4
60.02,2021-11-5
59.72,2021-11-6
59.61,2021-11-7
57.1,2021-11-8
64.5,2021-11-9
56.41,2021-11-10
64.5,2021-11-11
57.21,2021-11-12
58.15,2021-11-13
57.34,2021-11-14
56.67,2021-11-15
56.4,2021-11-16
57.23,2021-11-18
54.94,2021-11-19
57.24,2021-11-20
57.24,2021-11-21
57.5,2021-11-22
57.31,2021-11-23
56.9,2021-11-24
58.31,2021-11-25
58.29,2021-11-26
58.3,2021-11-27
58.3,2021-11-28
58.29,2021-11-29
58.0,2021-11-30
58.06,2021-12-1
59.47,2021-12-2
61.71,2021-12-3
62.43,2021-12-4
64.74,2021-12-5
64.54,2021-12-6
67.1,2021-12-7
67.1,2021-12-8
67.09,2021-12-9
61.58,2021-12-10
63.93,2021-12-11
63.94,2021-12-12
61.82,2021-12-13
62.77,2021-12-14
61.47,2021-12-15
62.0,2021-12-16
63.36,2021-12-17
62.43,2021-12-18
63.69,2021-12-19
63.72,2021-12-20
61.81,2021-12-21
62.21,2021-12-22
61.49,2021-12-23
61.36,2021-12-24
61.63,2021-12-25
61.63,2021-12-26
61.63,2021-12-27
61.62,2021-12-28
61.62,2021-12-29
61.6,2021-12-30
61.58,2021-12-31
61.58,2022-1-1
61.49,2022-1-2
61.58,2022-1-3
61.63,2022-1-4
61.63,2022-1-5
61.62,2022-1-6
61.63,2022-1-7
61.61,2022-1-8
61.63,2022-1-9
61.63,2022-1-10
61.63,2022-1-11
61.63,2022-1-12
61.63,2022-1-13
61.63,2022-1-14
61.63,2022-1-15
61.63,2022-1-16
61.63,2022-1-17
61.63,2022-1-18
61.63,2022-1-19
61.63,2022-1-20
61.63,2022-1-21
61.63,2022-1-22
61.63,2022-1-23
61.63,2022-1-24
61.63,2022-1-25
69.68,2022-1-26
70.0,2022-1-27
70.0,2022-1-28
64.9,2022-1-29
66.51,2022-1-30
68.99,2022-1-31
68.99,2022-2-1
68.98,2022-2-2
66.22,2022-2-3
68.73,2022-2-4
68.74,2022-2-5
68.91,2022-2-6
70.63,2022-2-7
69.48,2022-2-8
68.1,2022-2-9
71.9,2022-2-10
70.5,2022-2-11
68.52,2022-2-12
68.48,2022-2-13
68.5,2022-2-14
68.0,2022-2-15
67.85,2022-2-16
70.51,2022-2-17
69.47,2022-2-18
69.16,2022-2-19
69.2,2022-2-20
69.2,2022-2-21
69.03,2022-2-22
68.96,2022-2-23
68.88,2022-2-24
68.83,2022-2-25
67.31,2022-2-26
66.91,2022-2-27
70.11,2022-2-28
70.02,2022-3-1
69.76,2022-3-2
71.87,2022-3-3
73.9,2022-3-4
76.02,2022-3-5
76.02,2022-3-6
76.34,2022-3-7
76.34,2022-3-8
76.34,2022-3-9
79.01,2022-3-10
80.0,2022-3-11
80.0,2022-3-12
80.0,2022-3-13
84.21,2022-3-14
84.21,2022-3-15
84.21,2022-3-16
84.21,2022-3-17
84.49,2022-3-18
79.98,2022-3-21
79.91,2022-3-22
79.9,2022-3-23
83.76,2022-3-24
80.74,2022-3-25
80.74,2022-3-26
80.74,2022-3-27
85.66,2022-3-28
85.62,2022-3-29
85.0,2022-3-30
84.5,2022-3-31
82.5,2022-4-4
82.5,2022-4-5
82.5,2022-4-6
