prix,date
25.2799,2021-10-9
24.2364,2021-10-13
25.9,2021-10-23
25.44,2021-10-26
25.0,2021-10-27
23.99,2021-10-30
24.0,2021-10-31
24.0,2021-11-1
23.0,2021-11-4
22.99,2021-11-7
22.5,2021-11-11
22.49,2021-11-22
22.06,2021-11-23
21.5,2021-11-24
22.48,2021-11-26
22.48,2021-11-28
22.48,2021-11-29
22.44,2021-12-1
25.16,2021-12-3
25.16,2021-12-4
30.0718,2021-12-6
26.9877,2021-12-7
24.85,2021-12-12
26.9877,2021-12-15
26.9877,2021-12-17
34.95,2021-12-18
33.8297,2021-12-19
32.6586,2021-12-20
31.587699999999998,2021-12-21
30.612800000000004,2021-12-22
29.736900000000002,2021-12-23
28.9534,2021-12-24
28.261299999999995,2021-12-25
27.6704,2021-12-26
27.1754,2021-12-27
34.95,2021-12-28
34.95,2022-1-2
34.95,2022-1-5
34.95,2022-1-6
34.95,2022-1-8
31.5755,2022-1-12
28.417999999999996,2022-1-13
28.417999999999996,2022-1-14
28.417999999999996,2022-1-16
30.37,2022-1-17
30.37,2022-1-18
30.37,2022-1-22
29.0,2022-1-23
29.0,2022-1-24
29.0,2022-1-27
28.864,2022-1-28
28.0,2022-1-29
28.0,2022-2-1
28.0,2022-2-3
28.0,2022-2-4
28.0,2022-2-8
27.0,2022-2-15
27.0,2022-2-16
27.0,2022-2-17
27.0,2022-2-18
27.0,2022-2-23
27.0,2022-2-24
27.0,2022-2-25
26.9,2022-2-26
27.0,2022-2-28
27.0,2022-3-3
26.61,2022-3-4
26.61,2022-3-6
26.61,2022-3-8
27.0,2022-3-11
27.0,2022-3-13
26.9,2022-3-14
26.9,2022-3-15
26.9,2022-3-16
27.0,2022-3-17
27.0,2022-3-18
29.0,2022-3-24
29.0,2022-3-25
29.0,2022-3-29
