prix,date
414.98,2021-10-10
414.97,2021-10-11
410.83,2021-10-12
410.83,2021-10-13
407.39,2021-10-14
407.39,2021-10-17
399.99,2021-10-18
399.99,2021-10-19
399.99,2021-10-21
399.99,2021-10-22
389.99,2021-10-23
407.39,2021-10-25
409.99,2021-10-26
405.89,2021-10-28
405.87,2021-10-29
401.81,2021-10-30
399.0,2021-10-31
400.0,2021-11-1
401.8,2021-11-2
401.79,2021-11-3
401.78,2021-11-4
401.77,2021-11-8
380.0,2021-11-9
376.2,2021-11-10
395.0,2021-11-12
391.04,2021-11-14
391.03,2021-11-15
389.0,2021-11-16
388.0,2021-11-17
382.28,2021-11-22
382.26,2021-11-23
382.26,2021-11-24
382.26,2021-11-25
404.0,2021-11-26
404.0,2021-11-27
404.0,2021-11-28
419.99,2021-11-29
418.0,2021-11-30
404.95,2021-12-1
399.99,2021-12-2
399.95,2021-12-3
391.04,2021-12-4
391.03,2021-12-5
391.02,2021-12-6
391.02,2021-12-7
387.1,2021-12-8
387.09,2021-12-9
395.0,2021-12-10
407.98,2021-12-11
404.98,2021-12-12
403.0,2021-12-13
401.0,2021-12-14
399.0,2021-12-16
395.0,2021-12-17
394.5,2021-12-18
394.5,2021-12-19
405.72,2021-12-20
405.72,2021-12-21
403.64,2021-12-22
403.64,2021-12-23
395.0,2021-12-24
405.72,2021-12-25
418.84,2021-12-26
418.84,2021-12-27
415.0,2021-12-28
414.99,2021-12-29
414.0,2021-12-30
413.99,2021-12-31
425.0,2022-1-1
425.0,2022-1-2
428.0,2022-1-3
428.0,2022-1-4
428.0,2022-1-5
429.9,2022-1-6
429.9,2022-1-7
429.9,2022-1-8
429.89,2022-1-9
429.89,2022-1-10
434.99,2022-1-11
425.0,2022-1-12
440.0,2022-1-13
449.11,2022-1-14
449.11,2022-1-15
449.11,2022-1-16
449.11,2022-1-17
440.69,2022-1-18
440.69,2022-1-19
439.99,2022-1-20
439.0,2022-1-21
438.89,2022-1-22
438.88,2022-1-23
438.87,2022-1-24
443.99,2022-1-25
435.99,2022-1-26
430.0,2022-1-27
428.99,2022-1-28
428.99,2022-1-29
428.98,2022-1-30
428.97,2022-1-31
428.59,2022-2-1
425.0,2022-2-2
424.0,2022-2-3
423.99,2022-2-4
423.99,2022-2-5
469.78,2022-2-6
460.0,2022-2-7
459.98,2022-2-8
440.0,2022-2-9
435.6,2022-2-10
431.24,2022-2-11
431.24,2022-2-12
419.98,2022-2-13
419.97,2022-2-14
419.0,2022-2-15
418.99,2022-2-16
418.98,2022-2-17
417.99,2022-2-18
417.99,2022-2-19
417.98,2022-2-20
413.79,2022-2-21
413.78,2022-2-22
419.98,2022-2-23
419.98,2022-2-24
419.98,2022-2-25
415.78,2022-2-26
415.77,2022-2-27
446.62,2022-2-28
420.0,2022-3-1
425.0,2022-3-2
425.0,2022-3-3
421.95,2022-3-4
438.0,2022-3-5
438.0,2022-3-6
438.0,2022-3-7
433.61,2022-3-8
429.28,2022-3-9
430.5,2022-3-10
426.2,2022-3-11
465.0,2022-3-12
460.34,2022-3-13
455.74,2022-3-14
454.98,2022-3-15
454.49,2022-3-16
454.48,2022-3-17
454.5,2022-3-18
478.99,2022-3-21
478.98,2022-3-22
478.98,2022-3-23
472.0,2022-3-24
486.29,2022-3-25
485.77,2022-3-26
486.21,2022-3-27
485.76,2022-3-28
485.97,2022-3-29
485.95,2022-3-30
485.95,2022-3-31
475.0,2022-4-4
474.98,2022-4-5
474.97,2022-4-6
474.96,2022-4-7
