prix,date
376.60910518053373,2021-10-9
374.8822605965463,2021-10-10
378.2574568288854,2021-10-11
379.59183673469386,2021-10-12
376.4521193092621,2021-10-13
368.7598116169545,2021-10-14
373.1554160125589,2021-10-15
369.8587127158556,2021-10-16
373.3124018838305,2021-10-17
362.48037676609107,2021-10-18
353.21821036106746,2021-10-19
348.5086342229199,2021-10-20
343.9560439560439,2021-10-21
345.2103610675039,2021-10-22
345.2904238618524,2021-10-23
346.23233908948197,2021-10-24
349.9215070643642,2021-10-25
357.0643642072214,2021-10-26
353.92464678178965,2021-10-27
351.64835164835165,2021-10-28
349.60753532182105,2021-10-29
351.64835164835165,2021-10-30
358.63422291993714,2021-10-31
360.8320251177394,2021-11-1
358.712715855573,2021-11-2
360.5965463108321,2021-11-3
367.9748822605966,2021-11-4
361.0675039246468,2021-11-5
371.7425431711146,2021-11-6
374.72527472527474,2021-11-7
369.70172684458396,2021-11-8
371.42857142857144,2021-11-9
365.62009419152275,2021-11-10
373.3124018838305,2021-11-11
368.7598116169545,2021-11-12
366.87598116169545,2021-11-13
369.70172684458396,2021-11-14
364.99215070643646,2021-11-15
369.309262166405,2021-11-16
368.91679748822605,2021-11-17
368.8383045525903,2021-11-18
375.03924646781786,2021-11-22
375.03924646781786,2021-11-23
376.92307692307696,2021-11-24
378.3767660910518,2021-11-25
376.76609105180535,2021-11-26
372.21350078492935,2021-11-27
376.76609105180535,2021-11-28
381.4756671899529,2021-11-29
376.76609105180535,2021-11-30
381.1616954474097,2021-12-1
387.12715855573,2021-12-2
389.1679748822606,2021-12-3
392.1507064364207,2021-12-4
400.1569858712716,2021-12-5
391.679748822606,2021-12-6
391.36577708006274,2021-12-7
389.32496075353214,2021-12-8
395.447409733124,2021-12-9
397.1742543171115,2021-12-10
398.6656200941915,2021-12-11
400.0,2021-12-12
398.7441130298273,2021-12-13
395.2904238618524,2021-12-14
397.1742543171115,2021-12-15
400.9419152276295,2021-12-16
404.552590266876,2021-12-17
404.3171114599686,2021-12-18
404.552590266876,2021-12-19
395.6043956043956,2021-12-20
396.3893249607535,2021-12-21
394.6624803767661,2021-12-22
398.58712715855575,2021-12-23
404.23861852433276,2021-12-24
405.0235478806907,2021-12-25
405.0235478806907,2021-12-26
404.23861852433276,2021-12-27
406.436420722135,2021-12-28
401.883830455259,2021-12-29
406.2794348508634,2021-12-30
405.96546310832025,2021-12-31
405.96546310832025,2022-1-1
402.668759811617,2022-1-2
405.72998430141286,2022-1-3
403.45368916797486,2022-1-4
397.9591836734694,2022-1-5
404.6310832025118,2022-1-6
403.2967032967033,2022-1-7
404.3956043956044,2022-1-8
405.80847723704863,2022-1-9
405.80847723704863,2022-1-10
406.5149136577708,2022-1-11
412.08791208791206,2022-1-12
412.7158555729984,2022-1-13
414.2857142857143,2022-1-14
408.0847723704867,2022-1-15
408.63422291993714,2022-1-16
409.7331240188383,2022-1-17
411.9309262166405,2022-1-18
415.0706436420722,2022-1-19
414.4427001569859,2022-1-20
415.85557299843015,2022-1-21
414.2857142857143,2022-1-22
413.65777080062793,2022-1-23
408.9481946624804,2022-1-24
413.9717425431711,2022-1-25
412.87284144427,2022-1-26
415.2276295133438,2022-1-27
412.87284144427,2022-1-28
412.4018838304553,2022-1-29
412.00941915227634,2022-1-30
420.72213500784926,2022-1-31
421.50706436420717,2022-2-1
419.8587127158556,2022-2-2
422.05651491365774,2022-2-3
423.39089481946627,2022-2-4
423.5478806907378,2022-2-5
420.72213500784926,2022-2-6
418.36734693877554,2022-2-7
417.5824175824175,2022-2-8
414.36420722135006,2022-2-9
416.01255886970176,2022-2-10
418.52433281004704,2022-2-11
417.5824175824175,2022-2-12
422.29199372056513,2022-2-13
423.5478806907378,2022-2-14
420.72213500784926,2022-2-15
421.42857142857144,2022-2-16
423.6263736263736,2022-2-17
428.57142857142856,2022-2-18
429.94976452119306,2022-2-19
427.4725274725274,2022-2-20
428.8854003139718,2022-2-21
431.4756671899529,2022-2-22
426.8445839874411,2022-2-23
431.3783359497645,2022-2-24
429.5133437990581,2022-2-25
432.8100470957614,2022-2-26
433.12401883830455,2022-2-27
430.1412872841444,2022-2-28
434.85086342229204,2022-3-1
434.6938775510204,2022-3-2
437.59654631083197,2022-3-3
439.4034536891679,2022-3-4
453.3751962323391,2022-3-5
460.43956043956047,2022-3-6
461.53846153846155,2022-3-7
455.2574568288854,2022-3-8
456.436420722135,2022-3-9
455.1805337519623,2022-3-10
448.7441130298273,2022-3-11
447.2527472527472,2022-3-12
445.7613814756671,2022-3-13
445.52276295133436,2022-3-14
449.7645211930926,2022-3-15
455.10204081632656,2022-3-16
456.75039246467816,2022-3-17
456.75039246467816,2022-3-18
470.9576138147567,2022-3-21
486.5777080062794,2022-3-22
485.0863422291994,2022-3-23
472.1350078492935,2022-3-24
464.4427001569859,2022-3-25
464.756671899529,2022-3-26
464.83516483516485,2022-3-27
463.8932496075353,2022-3-28
459.8901098901099,2022-3-29
462.32339089481945,2022-3-30
459.1836734693877,2022-3-31
473.2967032967033,2022-4-4
471.7425431711146,2022-4-5
474.09733124018834,2022-4-6
475.6671899529042,2022-4-7
