prix,date
3.89,2021-10-10
3.88,2021-10-11
3.84,2021-10-12
3.81,2021-10-13
3.8,2021-10-14
3.96,2021-10-16
3.99,2021-10-17
3.96,2021-10-18
3.95,2021-10-19
3.92,2021-10-20
3.91,2021-10-21
3.9,2021-10-22
3.87,2021-10-23
3.86,2021-10-24
3.82,2021-10-25
3.78,2021-10-26
3.81,2021-10-27
3.75,2021-10-28
3.82,2021-10-29
3.76,2021-10-30
3.77,2021-10-31
3.73,2021-11-1
3.73,2021-11-2
3.74,2021-11-3
3.7,2021-11-4
4.99,2021-11-5
4.29,2021-11-6
4.3,2021-11-7
4.25,2021-11-8
4.24,2021-11-9
4.2,2021-11-10
4.14,2021-11-11
4.09,2021-11-12
4.14,2021-11-14
4.09,2021-11-15
4.04,2021-11-16
4.03,2021-11-17
3.95,2021-11-22
3.93,2021-11-23
3.93,2021-11-24
3.93,2021-11-25
4.11,2021-11-26
4.06,2021-11-28
3.99,2021-11-29
4.02,2021-11-30
3.97,2021-12-1
3.96,2021-12-2
3.93,2021-12-3
3.9,2021-12-4
4.49,2021-12-5
4.5,2021-12-6
4.5,2021-12-7
4.41,2021-12-8
4.36,2021-12-9
4.31,2021-12-10
4.31,2021-12-11
4.25,2021-12-12
4.21,2021-12-13
4.16,2021-12-14
4.0,2021-12-15
4.0,2021-12-16
4.12,2021-12-17
4.11,2021-12-18
4.06,2021-12-20
4.2,2021-12-21
4.2,2021-12-22
4.16,2021-12-23
4.15,2021-12-24
4.15,2021-12-25
4.16,2021-12-26
5.78,2021-12-27
5.23,2021-12-28
5.17,2021-12-29
5.12,2021-12-30
5.04,2021-12-31
5.04,2022-1-1
4.99,2022-1-2
4.86,2022-1-3
4.82,2022-1-4
4.65,2022-1-5
4.59,2022-1-6
4.58,2022-1-7
4.58,2022-1-8
4.56,2022-1-9
4.51,2022-1-10
4.47,2022-1-11
4.46,2022-1-12
4.46,2022-1-13
4.37,2022-1-14
4.29,2022-1-15
4.33,2022-1-16
4.32,2022-1-17
4.31,2022-1-18
4.27,2022-1-19
4.22,2022-1-20
4.0,2022-1-21
4.16,2022-1-22
4.17,2022-1-23
4.06,2022-1-24
4.17,2022-1-25
4.17,2022-1-26
4.17,2022-1-27
4.13,2022-1-28
4.13,2022-1-29
4.21,2022-1-30
4.23,2022-1-31
4.18,2022-2-1
4.13,2022-2-2
4.13,2022-2-3
4.12,2022-2-4
4.4,2022-2-5
5.36,2022-2-6
5.31,2022-2-7
5.29,2022-2-8
4.24,2022-2-9
4.24,2022-2-10
4.2,2022-2-11
4.16,2022-2-12
4.16,2022-2-13
4.16,2022-2-14
4.12,2022-2-15
4.85,2022-2-16
4.69,2022-2-17
5.21,2022-2-18
5.11,2022-2-19
5.06,2022-2-20
4.49,2022-2-21
4.44,2022-2-22
5.01,2022-2-23
5.01,2022-2-24
5.01,2022-2-25
4.96,2022-2-26
4.92,2022-2-27
4.9,2022-2-28
4.69,2022-3-1
4.64,2022-3-2
4.58,2022-3-3
4.54,2022-3-4
4.51,2022-3-5
4.51,2022-3-6
4.46,2022-3-7
4.41,2022-3-8
4.37,2022-3-9
4.33,2022-3-10
4.3,2022-3-11
4.3,2022-3-12
4.31,2022-3-13
4.42,2022-3-14
4.21,2022-3-15
4.16,2022-3-16
4.15,2022-3-17
4.11,2022-3-18
4.13,2022-3-22
4.13,2022-3-23
4.15,2022-3-24
4.15,2022-3-25
4.15,2022-3-26
4.26,2022-3-27
4.22,2022-3-28
4.14,2022-3-29
4.22,2022-3-30
4.44,2022-4-4
4.44,2022-4-5
4.5,2022-4-6
