prix,date
2.6,2021-10-15
2.6,2021-10-23
2.1096,2021-10-28
2.1975,2021-10-29
2.6,2021-10-31
3.25,2021-11-3
2.7495999999999996,2021-11-22
2.7137000000000002,2021-11-23
2.6825,2021-11-24
2.6563,2021-11-25
2.6349,2021-11-26
2.6185,2021-11-27
2.6069,2021-11-28
2.6004,2021-11-29
2.5987999999999998,2021-11-30
2.2275,2021-12-5
2.2275,2021-12-6
2.2575,2021-12-8
2.2725,2021-12-10
3.25,2021-12-11
3.1601,2021-12-16
3.0971,2021-12-17
3.0397,2021-12-18
2.9881,2021-12-19
2.9418,2021-12-20
2.9009000000000005,2021-12-21
2.8657,2021-12-22
2.8361,2021-12-23
2.8119,2021-12-24
2.7932,2021-12-25
2.7801,2021-12-26
2.7725,2021-12-27
2.7705,2021-12-28
2.7705,2021-12-29
2.95,2021-12-30
2.95,2022-1-1
2.95,2022-1-4
3.25,2022-1-6
3.25,2022-1-8
2.6651,2022-1-10
2.6634,2022-1-11
2.5444,2022-1-12
3.25,2022-1-13
2.99,2022-1-15
2.99,2022-1-16
2.99,2022-1-17
2.99,2022-1-19
2.99,2022-1-22
2.99,2022-1-28
2.99,2022-2-1
2.99,2022-2-3
2.99,2022-2-5
2.99,2022-2-9
2.99,2022-2-11
2.99,2022-2-12
2.99,2022-2-16
2.99,2022-2-17
2.99,2022-2-22
2.99,2022-3-4
2.99,2022-3-8
2.99,2022-3-9
2.69,2022-3-13
2.99,2022-3-15
2.99,2022-3-17
3.25,2022-3-26
3.25,2022-4-4
