prix,date
44.65,2021-10-9
44.0,2021-10-10
45.49,2021-10-11
44.98,2021-10-12
45.76,2021-10-13
45.8,2021-10-14
45.67,2021-10-15
45.58,2021-10-16
44.89,2021-10-17
44.88,2021-10-18
44.5,2021-10-19
44.49,2021-10-20
43.77,2021-10-23
44.17,2021-10-24
44.16,2021-10-25
43.65,2021-10-26
44.17,2021-10-27
44.18,2021-10-28
42.76,2021-10-29
43.24,2021-10-30
43.18,2021-10-31
43.11,2021-11-1
44.12,2021-11-2
44.11,2021-11-3
43.44,2021-11-5
43.21,2021-11-6
43.17,2021-11-7
42.06,2021-11-8
42.76,2021-11-9
42.59,2021-11-10
43.17,2021-11-11
44.2,2021-11-12
49.99,2021-11-13
48.7,2021-11-15
46.11,2021-11-16
45.01,2021-11-17
44.85,2021-11-18
44.2,2021-11-19
43.5,2021-11-20
44.4,2021-11-21
43.56,2021-11-22
44.4,2021-11-23
44.59,2021-11-24
43.83,2021-11-25
44.62,2021-11-26
45.95,2021-11-27
44.68,2021-11-28
44.19,2021-11-29
45.94,2021-11-30
46.98,2021-12-1
46.77,2021-12-2
50.22,2021-12-3
49.25,2021-12-4
47.83,2021-12-5
44.89,2021-12-6
44.63,2021-12-7
46.21,2021-12-8
46.0,2021-12-9
50.17,2021-12-10
45.66,2021-12-11
45.64,2021-12-12
46.06,2021-12-13
45.22,2021-12-14
45.72,2021-12-15
45.93,2021-12-16
45.69,2021-12-17
45.31,2021-12-18
45.3,2021-12-19
45.23,2021-12-20
44.51,2021-12-21
44.4,2021-12-22
44.37,2021-12-23
44.33,2021-12-24
44.31,2021-12-25
44.25,2021-12-26
44.2,2021-12-27
44.16,2021-12-28
44.09,2021-12-29
44.03,2021-12-30
44.18,2021-12-31
43.96,2022-1-1
44.34,2022-1-2
44.03,2022-1-3
44.34,2022-1-4
44.34,2022-1-5
44.34,2022-1-6
44.34,2022-1-7
44.32,2022-1-8
44.34,2022-1-9
44.34,2022-1-10
44.34,2022-1-11
44.33,2022-1-12
44.34,2022-1-13
44.34,2022-1-14
44.34,2022-1-15
44.34,2022-1-16
44.34,2022-1-17
44.34,2022-1-18
44.34,2022-1-19
44.34,2022-1-20
44.34,2022-1-21
44.34,2022-1-23
44.34,2022-1-24
44.34,2022-1-25
49.39,2022-1-26
47.07,2022-1-27
46.35,2022-1-28
45.77,2022-1-29
45.74,2022-1-30
48.29,2022-1-31
49.38,2022-2-1
49.14,2022-2-2
49.1,2022-2-3
49.07,2022-2-4
49.04,2022-2-5
48.82,2022-2-6
47.96,2022-2-7
48.15,2022-2-8
48.14,2022-2-9
48.14,2022-2-10
49.08,2022-2-11
49.48,2022-2-12
49.42,2022-2-13
49.17,2022-2-14
48.57,2022-2-15
49.32,2022-2-16
49.26,2022-2-17
49.15,2022-2-18
49.06,2022-2-19
48.02,2022-2-20
50.3,2022-2-21
50.23,2022-2-22
50.17,2022-2-23
50.09,2022-2-24
50.02,2022-2-25
48.43,2022-2-26
50.87,2022-2-27
50.79,2022-2-28
50.69,2022-3-1
50.35,2022-3-2
49.71,2022-3-3
49.45,2022-3-4
49.24,2022-3-5
48.75,2022-3-6
48.8,2022-3-7
48.75,2022-3-8
48.45,2022-3-9
49.65,2022-3-10
49.57,2022-3-11
49.49,2022-3-12
49.39,2022-3-13
49.31,2022-3-14
49.2,2022-3-15
49.12,2022-3-16
53.76,2022-3-17
50.1,2022-3-21
49.46,2022-3-22
49.45,2022-3-23
49.26,2022-3-24
49.18,2022-3-25
49.29,2022-3-26
49.29,2022-3-27
49.29,2022-3-28
51.0,2022-3-29
51.0,2022-3-30
51.0,2022-3-31
51.0,2022-4-4
51.0,2022-4-6
