prix,date
12.27,2021-10-9
11.28,2021-10-10
11.35,2021-10-11
11.28,2021-10-12
11.28,2021-10-13
11.1,2021-10-14
11.28,2021-10-15
12.16,2021-10-23
11.82,2021-10-24
12.0,2021-10-25
12.03,2021-10-26
12.09,2021-10-27
11.28,2021-10-28
10.64,2021-10-29
10.64,2021-10-30
11.28,2021-11-1
12.14,2021-11-3
11.48,2021-11-4
11.44,2021-11-5
11.15,2021-11-6
11.49,2021-11-7
11.7,2021-11-8
11.76,2021-11-9
11.55,2021-11-10
11.75,2021-11-11
11.75,2021-11-12
11.75,2021-11-18
11.81,2021-11-19
11.81,2021-11-20
11.81,2021-11-21
11.81,2021-11-22
11.81,2021-11-23
11.81,2021-11-24
11.97,2021-11-26
12.43,2021-11-27
12.43,2021-11-28
12.43,2021-11-29
12.1,2021-11-30
12.09,2021-12-1
12.17,2021-12-2
12.17,2021-12-3
12.15,2021-12-5
12.15,2021-12-6
12.15,2021-12-8
12.5,2021-12-9
12.13,2021-12-10
12.49,2021-12-11
12.14,2021-12-12
12.14,2021-12-14
14.65,2021-12-15
12.0,2021-12-16
14.65,2021-12-17
11.93,2021-12-18
12.08,2021-12-19
12.54,2021-12-20
13.71,2021-12-21
13.12,2021-12-22
13.03,2021-12-23
13.07,2021-12-24
13.07,2021-12-25
12.99,2021-12-26
12.88,2021-12-27
12.84,2021-12-28
12.8,2021-12-29
12.71,2021-12-30
12.65,2021-12-31
12.58,2022-1-1
12.53,2022-1-2
12.5,2022-1-3
12.47,2022-1-4
12.45,2022-1-5
12.58,2022-1-6
12.84,2022-1-7
12.83,2022-1-10
12.56,2022-1-12
12.55,2022-1-13
12.55,2022-1-14
12.53,2022-1-15
12.52,2022-1-16
13.07,2022-1-17
13.07,2022-1-18
12.69,2022-1-19
12.66,2022-1-20
13.07,2022-1-21
12.8,2022-1-22
12.8,2022-1-24
13.76,2022-1-26
13.72,2022-1-27
13.39,2022-1-28
13.39,2022-1-29
13.37,2022-1-30
20.0,2022-1-31
13.68,2022-2-3
13.66,2022-2-4
13.62,2022-2-5
13.59,2022-2-6
13.57,2022-2-7
13.57,2022-2-8
13.57,2022-2-9
13.47,2022-2-11
12.84,2022-2-12
13.54,2022-2-13
13.55,2022-2-14
13.55,2022-2-17
13.47,2022-2-18
13.38,2022-2-19
13.26,2022-2-20
13.09,2022-2-21
12.95,2022-2-22
12.86,2022-2-23
12.81,2022-2-24
12.76,2022-2-25
12.75,2022-2-26
12.68,2022-2-27
12.6,2022-2-28
13.3,2022-3-1
13.19,2022-3-4
13.11,2022-3-5
13.04,2022-3-6
12.94,2022-3-7
12.83,2022-3-8
12.73,2022-3-9
12.66,2022-3-10
12.58,2022-3-11
12.5,2022-3-12
12.4,2022-3-13
13.55,2022-3-14
12.98,2022-3-15
12.9,2022-3-16
12.81,2022-3-17
12.8,2022-3-18
12.51,2022-3-21
13.3,2022-3-22
13.29,2022-3-23
13.45,2022-3-24
13.32,2022-3-25
13.16,2022-3-27
13.5,2022-3-28
13.19,2022-3-30
13.15,2022-4-4
12.94,2022-4-6
12.91,2022-4-7
