prix,date
2.23,2021-10-10
2.21,2021-10-11
2.19,2021-10-12
2.17,2021-10-13
2.14,2021-10-14
2.18,2021-10-15
2.18,2021-10-16
2.16,2021-10-17
2.19,2021-10-18
2.17,2021-10-19
2.19,2021-10-20
2.58,2021-10-21
2.53,2021-10-22
2.38,2021-10-23
2.33,2021-10-24
2.3,2021-10-25
2.26,2021-10-26
2.24,2021-10-27
2.21,2021-10-28
2.19,2021-10-29
2.16,2021-10-30
2.16,2021-10-31
2.13,2021-11-1
2.13,2021-11-2
2.25,2021-11-3
2.46,2021-11-4
2.25,2021-11-5
2.18,2021-11-6
2.25,2021-11-7
2.62,2021-11-8
2.45,2021-11-9
2.3,2021-11-10
2.33,2021-11-11
2.48,2021-11-12
2.39,2021-11-14
2.36,2021-11-15
3.01,2021-11-16
2.94,2021-11-17
2.89,2021-11-22
2.73,2021-11-23
2.73,2021-11-24
2.71,2021-11-25
2.57,2021-11-26
2.57,2021-11-27
2.54,2021-11-28
3.35,2021-11-29
3.31,2021-11-30
3.26,2021-12-1
3.22,2021-12-2
3.19,2021-12-3
3.16,2021-12-4
3.13,2021-12-5
3.1,2021-12-6
3.0,2021-12-7
2.76,2021-12-8
2.5,2021-12-9
2.53,2021-12-10
2.78,2021-12-11
2.56,2021-12-12
2.55,2021-12-13
2.5,2021-12-14
2.47,2021-12-15
2.44,2021-12-16
2.44,2021-12-17
2.42,2021-12-18
2.42,2021-12-19
2.5,2021-12-20
2.48,2021-12-21
2.83,2021-12-22
2.78,2021-12-23
2.75,2021-12-24
2.73,2021-12-25
2.7,2021-12-26
2.68,2021-12-27
2.7,2021-12-28
2.67,2021-12-29
2.65,2021-12-30
2.64,2021-12-31
2.78,2022-1-1
2.97,2022-1-2
2.95,2022-1-3
2.92,2022-1-4
2.91,2022-1-5
2.86,2022-1-6
2.84,2022-1-7
2.82,2022-1-8
2.77,2022-1-9
2.64,2022-1-10
2.62,2022-1-11
2.61,2022-1-12
2.75,2022-1-13
2.72,2022-1-14
2.68,2022-1-15
2.66,2022-1-16
2.58,2022-1-17
2.66,2022-1-18
2.62,2022-1-19
2.64,2022-1-20
2.65,2022-1-21
3.01,2022-1-22
3.13,2022-1-23
3.07,2022-1-24
3.03,2022-1-25
2.98,2022-1-26
2.94,2022-1-27
2.97,2022-1-28
2.92,2022-1-29
2.89,2022-1-30
2.81,2022-1-31
2.78,2022-2-1
2.75,2022-2-2
2.73,2022-2-3
2.7,2022-2-4
2.79,2022-2-5
2.97,2022-2-6
2.95,2022-2-7
2.95,2022-2-8
2.92,2022-2-9
2.92,2022-2-10
2.88,2022-2-11
2.8,2022-2-12
2.78,2022-2-13
2.76,2022-2-14
2.74,2022-2-15
2.71,2022-2-16
2.81,2022-2-17
2.81,2022-2-18
2.79,2022-2-19
2.76,2022-2-20
2.72,2022-2-21
2.79,2022-2-22
3.14,2022-2-23
3.15,2022-2-24
3.04,2022-2-25
3.01,2022-2-26
2.98,2022-2-27
2.96,2022-2-28
3.19,2022-3-1
3.15,2022-3-2
3.1,2022-3-3
3.04,2022-3-4
3.16,2022-3-5
3.16,2022-3-6
3.12,2022-3-7
3.06,2022-3-8
3.05,2022-3-9
2.99,2022-3-10
3.03,2022-3-11
3.03,2022-3-12
2.99,2022-3-13
2.94,2022-3-14
2.87,2022-3-15
2.9,2022-3-16
2.96,2022-3-17
2.88,2022-3-18
2.99,2022-3-21
2.98,2022-3-22
2.98,2022-3-23
2.84,2022-3-24
2.84,2022-3-25
2.84,2022-3-26
3.03,2022-3-27
3.0,2022-3-28
2.9,2022-3-29
2.86,2022-3-30
2.9,2022-3-31
2.87,2022-4-4
2.83,2022-4-5
2.83,2022-4-6
2.82,2022-4-7
