prix,date
0.93,2021-10-9
0.98,2021-10-11
0.85,2021-10-12
0.84,2021-10-13
0.81,2021-10-14
0.97,2021-10-15
0.95,2021-10-16
0.93,2021-10-19
0.9,2021-10-20
0.83,2021-10-23
0.84,2021-10-24
0.79,2021-10-25
0.78,2021-10-27
0.74,2021-10-30
0.78,2021-10-31
0.77,2021-11-2
0.78,2021-11-3
0.78,2021-11-4
0.77,2021-11-5
0.76,2021-11-6
0.76,2021-11-11
0.76,2021-11-12
0.76,2021-11-13
0.76,2021-11-17
0.73,2021-11-18
0.73,2021-11-22
0.72,2021-11-23
0.71,2021-11-24
0.72,2021-11-25
0.72,2021-11-26
0.74,2021-11-27
0.75,2021-11-28
0.74,2021-11-29
0.74,2021-11-30
0.74,2021-12-1
0.74,2021-12-2
0.74,2021-12-3
0.74,2021-12-4
0.9,2021-12-5
0.92,2021-12-6
0.91,2021-12-7
0.85,2021-12-8
0.8,2021-12-9
0.8,2021-12-10
0.77,2021-12-11
0.76,2021-12-12
0.75,2021-12-13
0.74,2021-12-14
0.74,2021-12-15
0.75,2021-12-16
0.75,2021-12-17
0.75,2021-12-18
0.75,2021-12-19
0.91,2021-12-20
0.91,2021-12-22
0.91,2021-12-23
0.91,2021-12-24
0.9,2021-12-25
0.9,2021-12-26
0.88,2021-12-27
0.88,2021-12-28
0.88,2021-12-29
0.88,2021-12-30
0.85,2021-12-31
0.84,2022-1-1
0.75,2022-1-2
0.75,2022-1-3
0.75,2022-1-4
0.75,2022-1-5
0.75,2022-1-6
0.75,2022-1-7
0.85,2022-1-8
0.8,2022-1-9
0.9,2022-1-10
0.9,2022-1-11
0.9,2022-1-12
0.9,2022-1-13
0.9,2022-1-14
0.85,2022-1-15
0.85,2022-1-16
0.91,2022-1-17
0.96,2022-1-18
0.98,2022-1-19
0.98,2022-1-20
0.99,2022-1-21
0.99,2022-1-22
0.99,2022-1-23
0.99,2022-1-24
0.98,2022-1-25
0.98,2022-1-27
0.98,2022-1-28
0.85,2022-1-29
0.98,2022-1-30
0.98,2022-1-31
0.97,2022-2-1
0.96,2022-2-2
0.95,2022-2-3
0.85,2022-2-4
0.85,2022-2-5
0.85,2022-2-6
0.85,2022-2-7
0.85,2022-2-8
0.82,2022-2-9
0.78,2022-2-10
0.84,2022-2-11
0.76,2022-2-12
0.79,2022-2-13
0.77,2022-2-14
0.82,2022-2-15
0.81,2022-2-16
0.8,2022-2-17
0.83,2022-2-18
0.83,2022-2-19
0.82,2022-2-20
0.82,2022-2-21
0.82,2022-2-22
0.82,2022-2-23
0.8,2022-2-24
0.8,2022-2-25
0.79,2022-2-26
0.79,2022-2-27
0.8,2022-2-28
0.8,2022-3-1
0.8,2022-3-2
0.85,2022-3-3
0.85,2022-3-4
0.85,2022-3-5
0.95,2022-3-6
0.85,2022-3-7
0.83,2022-3-8
0.94,2022-3-9
0.92,2022-3-10
0.91,2022-3-11
0.9,2022-3-12
0.9,2022-3-14
0.9,2022-3-15
0.84,2022-3-16
0.81,2022-3-17
0.81,2022-3-18
0.88,2022-3-22
0.88,2022-3-24
0.94,2022-3-25
0.91,2022-3-26
0.89,2022-3-27
0.85,2022-3-28
0.85,2022-3-29
0.84,2022-3-30
0.84,2022-3-31
0.89,2022-4-4
0.89,2022-4-6
0.89,2022-4-7
