prix,date
846.34,2021-10-10
846.33,2021-10-11
846.32,2021-10-12
846.31,2021-10-14
846.31,2021-10-15
846.3,2021-10-16
846.29,2021-10-17
846.29,2021-10-18
846.28,2021-10-19
846.27,2021-10-20
846.26,2021-10-21
846.25,2021-10-22
840.0,2021-10-23
839.99,2021-10-24
839.98,2021-10-25
800.0,2021-10-27
794.99,2021-10-28
749.98,2021-10-29
740.0,2021-10-30
739.99,2021-11-1
837.55,2021-11-3
819.24,2021-11-4
801.46,2021-11-5
844.11,2021-11-6
825.66,2021-11-7
806.6,2021-11-8
787.66,2021-11-9
829.32,2021-11-10
813.03,2021-11-11
810.0,2021-11-12
788.99,2021-11-22
788.99,2021-11-23
778.99,2021-11-24
760.0,2021-11-27
760.0,2021-12-1
760.0,2021-12-7
760.0,2021-12-8
760.0,2021-12-9
820.0,2021-12-12
800.0,2021-12-16
824.99,2021-12-17
820.0,2021-12-18
820.0,2021-12-19
819.99,2021-12-26
819.99,2021-12-31
815.0,2022-1-1
819.99,2022-1-3
819.99,2022-1-4
893.8,2022-1-7
893.8,2022-1-16
999.99,2022-1-21
999.99,2022-1-28
999.99,2022-1-30
1100.0,2022-2-1
1080.0,2022-2-6
1035.0,2022-2-8
1015.0,2022-2-9
1000.0,2022-2-10
1199.0,2022-2-12
1199.0,2022-2-13
1199.0,2022-2-17
949.99,2022-2-19
939.0,2022-2-21
939.0,2022-2-24
929.61,2022-2-27
929.6,2022-2-28
925.99,2022-3-1
925.97,2022-3-2
925.95,2022-3-3
925.93,2022-3-4
921.99,2022-3-5
921.99,2022-3-6
912.78,2022-3-7
949.99,2022-3-8
949.99,2022-3-11
949.99,2022-3-16
1199.0,2022-3-22
1199.0,2022-3-25
1090.0,2022-3-27
1090.0,2022-3-31
1090.0,2022-4-6
