prix,date
729.1993720565148,2021-10-9
736.1852433281005,2021-10-10
736.1852433281005,2021-10-11
735.9497645211932,2021-10-12
729.8273155416013,2021-10-13
722.9199372056515,2021-10-14
721.978021978022,2021-10-15
721.5070643642072,2021-10-16
717.3469387755102,2021-10-17
706.2794348508635,2021-10-18
709.497645211931,2021-10-19
706.3579277864992,2021-10-20
701.1773940345369,2021-10-21
690.6593406593406,2021-10-22
690.5808477237048,2021-10-23
690.5808477237048,2021-10-24
682.7315541601255,2021-10-25
690.4238618524333,2021-10-26
690.5808477237048,2021-10-27
690.3453689167975,2021-10-29
690.3453689167975,2021-10-30
690.5808477237048,2021-10-31
690.7378335949765,2021-11-2
689.7959183673469,2021-11-4
688.5400313971742,2021-11-5
688.7755102040817,2021-11-6
688.3830455259027,2021-11-7
687.2056514913658,2021-11-8
687.0486656200942,2021-11-9
686.6562009419151,2021-11-10
675.0392464678179,2021-11-11
675.0392464678179,2021-11-12
698.5086342229199,2021-11-14
704.3956043956043,2021-11-15
704.2386185243329,2021-11-16
698.5871271585556,2021-11-17
704.7095761381476,2021-11-18
713.3437990580846,2021-11-22
717.425431711146,2021-11-23
718.210361067504,2021-11-24
717.1114599686028,2021-11-25
710.989010989011,2021-11-26
709.4191522762951,2021-11-27
701.6483516483516,2021-11-28
714.1287284144428,2021-11-29
713.5007849293563,2021-11-30
714.0502354788068,2021-12-1
714.2072213500785,2021-12-2
767.6609105180535,2021-12-4
761.38147566719,2021-12-5
769.0737833594976,2021-12-6
769.0737833594976,2021-12-7
768.4458398744114,2021-12-8
744.1130298273155,2021-12-10
753.375196232339,2021-12-11
750.392464678179,2021-12-12
750.3139717425432,2021-12-13
782.574568288854,2021-12-14
769.0737833594976,2021-12-15
769.2307692307692,2021-12-16
777.0800627943485,2021-12-17
777.0015698587127,2021-12-18
766.0910518053374,2021-12-19
764.5211930926217,2021-12-20
764.5211930926217,2021-12-21
761.38147566719,2021-12-22
773.0769230769231,2021-12-23
773.861852433281,2021-12-24
776.2166405023547,2021-12-25
775.9811616954473,2021-12-26
775.5102040816327,2021-12-27
775.2747252747253,2021-12-28
771.7425431711146,2021-12-29
772.0565149136578,2021-12-30
771.8995290423861,2021-12-31
775.1962323390894,2022-1-1
775.0392464678179,2022-1-2
773.9403453689167,2022-1-3
776.138147566719,2022-1-4
776.138147566719,2022-1-5
781.789638932496,2022-1-6
797.4097331240188,2022-1-7
806.1224489795918,2022-1-8
824.1758241758241,2022-1-9
814.756671899529,2022-1-10
822.6059654631083,2022-1-11
816.0125588697017,2022-1-12
816.0125588697017,2022-1-13
815.8555729984301,2022-1-14
817.8178963893249,2022-1-15
808.3202511773941,2022-1-16
823.7048665620094,2022-1-17
816.2480376766091,2022-1-18
821.0361067503925,2022-1-19
819.4662480376766,2022-1-20
808.3987441130298,2022-1-21
816.3265306122448,2022-1-22
812.4018838304552,2022-1-23
811.5384615384615,2022-1-24
814.5996860282575,2022-1-25
814.0502354788068,2022-1-26
808.4772370486655,2022-1-27
816.1695447409734,2022-1-28
816.2480376766091,2022-1-29
816.3265306122448,2022-1-30
828.414442700157,2022-1-31
832.0251177394035,2022-2-1
839.7174254317111,2022-2-2
838.3045525902668,2022-2-3
839.7959183673469,2022-2-4
844.5839874411303,2022-2-5
855.1805337519623,2022-2-6
855.5714285714286,2022-2-7
855.414442700157,2022-2-8
855.2574568288853,2022-2-9
849.2935635792778,2022-2-10
853.6091051805338,2022-2-11
860.2810047095761,2022-2-12
852.2731554160126,2022-2-13
861.5384615384615,2022-2-14
861.5384615384615,2022-2-15
861.8524332810047,2022-2-16
871.9764521193092,2022-2-17
891.6797488226059,2022-2-18
894.4270015698587,2022-2-19
907.2998430141287,2022-2-20
907.0643642072214,2022-2-21
924.3328100470957,2022-2-22
934.065934065934,2022-2-23
926.2166405023547,2022-2-24
918.3673469387754,2022-2-25
918.2888540031397,2022-2-26
922.9984301412873,2022-2-27
921.5070643642072,2022-2-28
919.9372056514914,2022-3-1
922.6059654631083,2022-3-2
923.861852433281,2022-3-3
925.74568288854,2022-3-4
925.5886970172684,2022-3-5
925.5886970172684,2022-3-6
929.3563579277865,2022-3-7
925.5886970172684,2022-3-8
925.5886970172684,2022-3-9
924.3328100470957,2022-3-10
910.4395604395604,2022-3-11
910.3610675039246,2022-3-12
908.1632653061225,2022-3-13
910.5180533751961,2022-3-14
941.9152276295134,2022-3-15
941.7582417582418,2022-3-16
941.7582417582418,2022-3-17
949.7645211930926,2022-3-18
1036.1067503924646,2022-3-21
1051.7268445839875,2022-3-22
1051.7268445839875,2022-3-23
981.0832025117738,2022-3-24
979.513343799058,2022-3-25
965.3846153846154,2022-3-26
957.6138147566719,2022-3-27
972.9984301412873,2022-3-28
970.1726844583987,2022-3-29
965.2276295133438,2022-3-30
965.2276295133438,2022-3-31
1017.1899529042386,2022-4-4
1014.756671899529,2022-4-5
1016.640502354788,2022-4-6
1044.7409733124018,2022-4-7
