prix,date
143.0,2021-10-19
135.0,2021-10-28
133.64,2021-11-1
133.4,2021-11-2
133.0,2021-11-3
130.0,2021-11-4
131.67,2021-11-5
131.66,2021-11-8
133.0,2021-11-9
157.0,2021-11-11
151.5,2021-11-17
145.0,2021-12-2
145.0,2021-12-6
145.0,2021-12-7
140.0,2021-12-9
140.0,2021-12-10
135.0,2021-12-11
151.0,2021-12-12
151.0,2021-12-13
147.8,2021-12-14
147.79,2021-12-15
147.6,2021-12-17
147.6,2021-12-18
147.6,2021-12-19
130.0,2021-12-20
147.6,2021-12-21
147.6,2021-12-24
150.0,2021-12-25
149.99,2021-12-27
149.49,2021-12-28
149.5,2021-12-29
155.0,2021-12-30
155.0,2022-1-4
155.0,2022-1-13
155.0,2022-1-14
155.0,2022-1-15
155.0,2022-1-18
155.0,2022-1-19
155.0,2022-1-22
155.0,2022-1-24
161.0,2022-1-27
161.0,2022-2-3
159.39,2022-2-10
159.39,2022-2-12
159.0,2022-2-13
158.99,2022-2-14
158.98,2022-2-16
158.97,2022-2-17
158.96,2022-2-18
158.5,2022-2-19
158.5,2022-2-21
158.5,2022-2-22
158.5,2022-2-27
158.5,2022-2-28
167.0,2022-3-11
167.0,2022-3-14
165.0,2022-3-15
163.35,2022-3-16
163.35,2022-3-17
161.8,2022-3-26
160.5,2022-3-27
160.49,2022-3-29
159.99,2022-3-30
153.99,2022-3-31
147.98,2022-4-5
147.5,2022-4-6
