prix,date
123.70486656200941,2021-10-9
124.9607535321821,2021-10-10
131.7111459968603,2021-10-12
128.8226059654631,2021-10-13
130.298273155416,2021-10-14
130.21978021978023,2021-10-15
127.15855572998429,2021-10-16
126.89167974882261,2021-10-17
125.35321821036106,2021-10-18
117.58241758241758,2021-10-19
114.44270015698586,2021-10-20
120.72213500784929,2021-10-21
113.02982731554161,2021-10-22
110.51805337519623,2021-10-23
107.84929356357927,2021-10-24
109.7331240188383,2021-10-25
113.02825745682888,2021-10-26
112.68445839874411,2021-10-27
117.58241758241758,2021-10-28
120.87912087912088,2021-10-29
120.87912087912088,2021-10-30
120.6436420722135,2021-10-31
119.30926216640502,2021-11-1
120.32967032967034,2021-11-2
117.66091051805337,2021-11-3
117.58241758241758,2021-11-4
120.17268445839875,2021-11-5
120.25117739403453,2021-11-6
122.44897959183672,2021-11-7
120.87912087912088,2021-11-8
120.80062794348508,2021-11-9
123.861852433281,2021-11-10
123.23390894819465,2021-11-11
123.23390894819465,2021-11-12
121.89952904238618,2021-11-13
121.5054945054945,2021-11-14
120.56514913657772,2021-11-15
116.3265306122449,2021-11-16
116.87598116169545,2021-11-17
118.3673469387755,2021-11-18
124.01883830455259,2021-11-23
122.29199372056515,2021-11-24
122.02040816326532,2021-11-25
121.50392464678178,2021-11-26
120.09419152276296,2021-11-27
121.86342229199371,2021-11-28
121.49136577708006,2021-11-29
130.298273155416,2021-11-30
128.72056514913658,2021-12-1
130.14128728414443,2021-12-2
130.298273155416,2021-12-3
131.86813186813185,2021-12-4
128.33437990580848,2021-12-5
132.4960753532182,2021-12-6
131.78963893249608,2021-12-7
130.2967032967033,2021-12-8
127.94348508634222,2021-12-9
126.76609105180535,2021-12-10
132.6530612244898,2021-12-11
130.298273155416,2021-12-12
128.88540031397173,2021-12-13
125.58869701726844,2021-12-14
125.51020408163265,2021-12-15
129.12087912087912,2021-12-16
136.49921507064363,2021-12-17
133.98744113029827,2021-12-18
136.49921507064363,2021-12-19
136.8901098901099,2021-12-20
134.9293563579278,2021-12-21
134.7723704866562,2021-12-22
134.76452119309263,2021-12-23
133.28100470957614,2021-12-24
130.298273155416,2021-12-25
131.2401883830455,2021-12-26
132.18210361067503,2021-12-27
135.00784929356357,2021-12-28
134.97645211930924,2021-12-29
133.43799058084772,2021-12-30
135.00784929356357,2021-12-31
136.57770800627944,2022-1-1
136.0282574568289,2022-1-2
134.22291993720563,2022-1-3
135.00784929356357,2022-1-4
133.20251177394036,2022-1-5
137.36263736263737,2022-1-6
136.57770800627944,2022-1-7
134.22291993720563,2022-1-8
137.36263736263737,2022-1-9
137.36263736263737,2022-1-10
141.13029827315543,2022-1-11
141.28571428571428,2022-1-12
140.89481946624804,2022-1-13
140.3453689167975,2022-1-14
140.2668759811617,2022-1-15
141.13029827315543,2022-1-16
141.287284144427,2022-1-17
145.5259026687598,2022-1-18
145.05494505494505,2022-1-19
144.89795918367346,2022-1-20
143.92464678178965,2022-1-21
142.85714285714286,2022-1-22
144.03453689167975,2022-1-23
143.95604395604397,2022-1-24
142.70015698587127,2022-1-25
142.85714285714286,2022-1-26
142.70015698587127,2022-1-27
142.07221350078493,2022-1-28
140.97331240188385,2022-1-29
140.0313971742543,2022-1-30
140.97331240188385,2022-1-31
148.66562009419152,2022-2-1
148.03610675039246,2022-2-2
171.03610675039246,2022-2-3
169.38775510204084,2022-2-4
166.16954474097332,2022-2-5
160.8320251177394,2022-2-6
147.56671899529044,2022-2-7
148.66562009419152,2022-2-8
143.64207221350077,2022-2-9
142.62166405023547,2022-2-10
147.25274725274724,2022-2-11
145.91836734693877,2022-2-12
141.287284144427,2022-2-13
139.48194662480375,2022-2-14
142.77864992150705,2022-2-15
145.36891679748823,2022-2-16
147.09576138147565,2022-2-17
145.99686028257457,2022-2-18
144.34850863422292,2022-2-19
144.33281004709576,2022-2-20
144.81946624803768,2022-2-21
145.21193092621664,2022-2-22
145.13029827315543,2022-2-23
147.40973312401883,2022-2-24
144.11302982731553,2022-2-25
146.4678178963893,2022-2-26
145.05494505494505,2022-2-27
145.13343799058083,2022-2-28
146.7817896389325,2022-3-1
141.287284144427,2022-3-2
147.25274725274724,2022-3-3
149.9215070643642,2022-3-4
148.19466248037676,2022-3-5
147.56671899529044,2022-3-6
147.56671899529044,2022-3-7
147.25274725274724,2022-3-8
145.6828885400314,2022-3-9
143.64207221350077,2022-3-10
143.64207221350077,2022-3-11
144.81946624803768,2022-3-12
145.44740973312403,2022-3-13
145.5259026687598,2022-3-14
145.13343799058083,2022-3-15
148.66562009419152,2022-3-16
150.86342229199371,2022-3-17
152.27629513343797,2022-3-18
153.0612244897959,2022-3-21
153.84615384615384,2022-3-22
156.20094191522765,2022-3-24
153.84615384615384,2022-3-25
146.7817896389325,2022-3-26
147.8006279434851,2022-3-27
153.2967032967033,2022-3-28
151.64835164835165,2022-3-29
155.3375196232339,2022-3-30
155.10204081632654,2022-3-31
156.0282574568289,2022-4-4
154.3171114599686,2022-4-5
153.84615384615384,2022-4-6
156.3579277864992,2022-4-7
