prix,date
0.233,2021-10-11
0.2238,2021-10-12
0.21099999999999997,2021-10-13
0.2047,2021-10-14
0.212,2021-10-15
0.196,2021-10-18
0.2016,2021-10-19
0.212,2021-10-21
0.212,2021-10-22
0.24779999999999996,2021-10-23
0.24779999999999996,2021-10-26
0.24,2021-10-28
0.23,2021-10-29
0.154,2021-10-30
0.165,2021-10-31
0.21,2021-11-1
0.2,2021-11-2
0.2,2021-11-3
0.2,2021-11-4
0.1837,2021-11-5
0.1617,2021-11-6
0.23,2021-11-7
0.23,2021-11-10
0.23,2021-11-11
0.2,2021-11-12
0.16,2021-11-14
0.2,2021-11-15
0.2,2021-11-18
0.2,2021-11-22
0.165,2021-11-23
0.18,2021-11-24
0.16939999999999997,2021-11-25
0.16939999999999997,2021-11-26
0.1672,2021-11-27
0.175,2021-11-28
0.175,2021-11-29
0.18,2021-11-30
0.18,2021-12-1
0.1925,2021-12-2
0.1925,2021-12-3
0.18,2021-12-4
0.18899999999999997,2021-12-5
0.18,2021-12-6
0.18899999999999997,2021-12-7
0.18899999999999997,2021-12-8
0.18899999999999997,2021-12-9
0.19,2021-12-10
0.19,2021-12-11
0.19210000000000002,2021-12-12
0.195,2021-12-13
0.195,2021-12-14
0.19,2021-12-15
0.1895,2021-12-16
0.17,2021-12-17
0.1895,2021-12-18
0.1895,2021-12-19
0.1895,2021-12-20
0.1895,2021-12-21
0.1895,2021-12-22
0.1895,2021-12-23
0.1925,2021-12-24
0.19,2021-12-25
0.19400000000000003,2021-12-26
0.19400000000000003,2021-12-27
0.19400000000000003,2021-12-28
0.19400000000000003,2021-12-29
0.2133,2021-12-30
0.18360000000000004,2021-12-31
0.2079,2022-1-1
0.2133,2022-1-2
0.2133,2022-1-3
0.2052,2022-1-4
0.2549,2022-1-5
0.25,2022-1-6
0.25,2022-1-7
0.25,2022-1-8
0.203,2022-1-9
0.2175,2022-1-10
0.20800000000000002,2022-1-11
0.2108,2022-1-12
0.2108,2022-1-13
0.2107,2022-1-14
0.2263,2022-1-15
0.2108,2022-1-16
0.21,2022-1-17
0.2108,2022-1-18
0.2176,2022-1-19
0.2176,2022-1-20
0.22400000000000003,2022-1-21
0.2141,2022-1-22
0.2176,2022-1-23
0.2176,2022-1-24
0.2366,2022-1-25
0.23,2022-1-26
0.2891,2022-1-27
0.2286,2022-1-28
0.299,2022-1-29
0.32899999999999996,2022-1-30
0.32899999999999996,2022-1-31
0.24480000000000002,2022-2-1
0.2919,2022-2-2
0.2516,2022-2-3
0.23,2022-2-4
0.2516,2022-2-5
0.2516,2022-2-6
0.2652,2022-2-7
0.2652,2022-2-8
0.2652,2022-2-9
0.2554,2022-2-10
0.2584,2022-2-11
0.2584,2022-2-12
0.2584,2022-2-13
0.26,2022-2-14
0.2514,2022-2-15
0.2514,2022-2-16
0.2514,2022-2-17
0.2514,2022-2-18
0.26,2022-2-19
0.264,2022-2-20
0.2624,2022-2-21
0.264,2022-2-22
0.264,2022-2-23
0.2639,2022-2-24
0.2503,2022-2-25
0.2584,2022-2-26
0.2503,2022-2-27
0.2639,2022-2-28
0.279,2022-3-1
0.279,2022-3-2
0.279,2022-3-3
0.279,2022-3-4
0.29,2022-3-5
0.29,2022-3-6
0.2856,2022-3-7
0.2856,2022-3-8
0.3,2022-3-9
0.3204,2022-3-10
0.3204,2022-3-11
0.3204,2022-3-12
0.3354,2022-3-13
0.3196,2022-3-14
0.32,2022-3-15
0.3128,2022-3-16
0.3102,2022-3-17
0.3085,2022-3-18
0.306,2022-3-21
0.306,2022-3-22
0.306,2022-3-23
0.3128,2022-3-24
0.306,2022-3-25
0.3128,2022-3-26
0.3196,2022-3-27
0.3128,2022-3-28
0.3128,2022-3-29
0.3128,2022-3-30
0.309,2022-3-31
0.41600000000000004,2022-4-4
0.49,2022-4-6
