prix,date
110.0,2021-10-11
109.99,2021-10-12
108.9,2021-10-13
104.99,2021-10-14
104.98,2021-10-16
103.94,2021-10-17
100.0,2021-10-18
99.99,2021-10-19
99.98,2021-10-20
99.97,2021-10-21
97.99,2021-10-22
96.0,2021-10-23
95.99,2021-10-24
95.98,2021-10-25
94.99,2021-10-28
94.97,2021-10-29
95.0,2021-10-30
101.99,2021-11-27
102.0,2021-11-30
100.8,2021-12-1
100.79,2021-12-2
100.78,2021-12-3
100.69,2021-12-5
100.68,2021-12-6
100.68,2021-12-7
100.66,2021-12-8
100.6,2021-12-9
100.63,2021-12-10
99.61,2021-12-12
98.99,2021-12-13
98.98,2021-12-14
98.98,2021-12-15
98.97,2021-12-18
98.95,2021-12-20
109.0,2021-12-21
145.95,2021-12-22
145.94,2021-12-24
145.93,2021-12-26
145.93,2021-12-27
145.92,2021-12-29
145.91,2021-12-31
117.95,2022-1-3
117.94,2022-1-4
117.93,2022-1-6
117.95,2022-1-7
180.0,2022-1-10
125.0,2022-1-13
180.0,2022-1-20
180.0,2022-1-23
170.0,2022-1-25
150.0,2022-1-26
125.0,2022-1-27
125.0,2022-1-31
122.22,2022-2-1
122.2,2022-2-2
121.11,2022-2-3
120.99,2022-2-4
118.88,2022-2-5
118.88,2022-2-6
118.99,2022-2-7
108.9,2022-2-8
108.89,2022-2-9
108.89,2022-2-10
108.89,2022-2-11
118.69,2022-2-13
118.69,2022-2-15
118.59,2022-2-19
116.99,2022-2-24
116.97,2022-2-25
116.95,2022-2-26
116.93,2022-2-27
116.91,2022-2-28
116.89,2022-3-1
116.85,2022-3-2
116.81,2022-3-3
116.77,2022-3-4
116.75,2022-3-5
116.57,2022-3-7
116.53,2022-3-8
116.51,2022-3-10
116.37,2022-3-11
116.37,2022-3-12
115.99,2022-3-13
116.0,2022-3-14
128.0,2022-3-24
125.0,2022-3-25
124.8,2022-3-26
127.8,2022-3-30
119.99,2022-4-4
119.99,2022-4-6
