prix,date
25.9,2021-10-9
25.0,2021-10-15
25.0,2021-10-17
25.9,2021-10-18
23.0,2021-10-28
25.8623,2021-10-29
25.5,2021-10-30
24.75,2021-10-31
25.5,2021-11-1
38.9,2021-11-4
38.9,2021-11-5
38.9,2021-11-7
29.69,2021-11-17
27.69,2021-11-23
27.69,2021-11-24
27.69,2021-11-26
27.59,2021-11-27
38.9,2021-11-29
29.95,2021-11-30
29.95,2021-12-1
29.95,2021-12-2
29.95,2021-12-3
29.95,2021-12-4
29.8567,2021-12-5
28.4736,2021-12-6
27.7125,2021-12-7
28.335,2021-12-10
28.334,2021-12-11
29.95,2021-12-13
29.95,2021-12-14
27.5,2021-12-15
31.99,2021-12-17
31.95,2021-12-18
31.95,2021-12-21
31.95,2021-12-22
27.5,2021-12-24
31.95,2021-12-26
31.95,2021-12-28
31.95,2021-12-29
31.95,2021-12-30
31.95,2022-1-1
33.696,2022-1-2
33.696,2022-1-3
33.696,2022-1-5
33.696,2022-1-6
33.696,2022-1-7
33.696,2022-1-9
33.696,2022-1-10
33.696,2022-1-12
33.696,2022-1-13
33.696,2022-1-14
33.696,2022-1-15
33.696,2022-1-16
33.696,2022-1-18
33.696,2022-1-19
33.696,2022-1-20
31.99,2022-1-22
31.99,2022-1-23
31.99,2022-1-24
29.72,2022-1-25
29.72,2022-1-26
29.72,2022-1-27
29.72,2022-1-28
30.99,2022-1-31
30.99,2022-2-3
29.565,2022-2-4
29.565,2022-2-5
30.99,2022-2-11
30.99,2022-2-12
30.99,2022-2-13
30.99,2022-2-15
30.99,2022-2-16
30.99,2022-2-17
30.99,2022-2-18
30.99,2022-2-19
30.99,2022-2-20
30.99,2022-2-24
30.99,2022-2-25
30.9,2022-3-1
30.9,2022-3-3
30.9,2022-3-5
30.9,2022-3-6
30.49,2022-3-8
30.49,2022-3-14
30.49,2022-3-15
28.0,2022-3-17
28.0,2022-3-18
29.98,2022-3-24
29.99,2022-3-25
29.6548,2022-3-26
29.6548,2022-3-28
29.8,2022-3-29
32.0,2022-3-30
