prix,date
699.99,2021-10-9
650.0,2021-10-10
698.0,2021-10-11
645.0,2021-10-15
549.99,2021-10-19
645.0,2021-10-23
615.0,2021-10-24
645.0,2021-10-25
600.0,2021-11-5
578.95,2021-11-6
549.99,2021-11-11
539.99,2021-11-13
519.99,2021-11-15
460.0,2021-11-16
460.0,2021-11-18
460.0,2021-11-19
460.0,2021-11-21
460.0,2021-11-22
455.0,2021-11-24
455.36,2021-11-30
700.0,2021-12-1
501.99,2021-12-3
700.0,2021-12-4
537.24,2021-12-7
520.86,2021-12-8
520.4,2021-12-9
523.02,2021-12-10
523.02,2021-12-11
499.0,2021-12-12
523.02,2021-12-15
515.32,2021-12-16
508.77,2021-12-17
509.84,2021-12-18
503.25,2021-12-19
509.63,2021-12-20
512.58,2021-12-21
512.55,2021-12-22
512.52,2021-12-23
512.5,2021-12-24
506.41,2021-12-26
499.99,2021-12-27
485.0,2021-12-28
484.96,2021-12-29
484.98,2021-12-30
484.95,2021-12-31
484.91,2022-1-1
484.87,2022-1-2
483.97,2022-1-3
482.99,2022-1-4
481.99,2022-1-5
479.98,2022-1-6
477.98,2022-1-7
456.99,2022-1-8
448.0,2022-1-9
495.0,2022-1-10
488.17,2022-1-12
488.17,2022-1-13
480.3,2022-1-20
476.48,2022-1-21
477.99,2022-1-22
476.69,2022-1-23
472.36,2022-1-24
472.15,2022-1-25
472.58,2022-1-26
467.98,2022-1-27
473.78,2022-1-28
472.82,2022-1-29
468.27,2022-1-30
472.46,2022-1-31
480.67,2022-2-1
480.67,2022-2-2
480.67,2022-2-5
480.64,2022-2-7
459.51,2022-2-8
457.67,2022-2-9
514.89,2022-2-10
514.88,2022-2-11
514.86,2022-2-12
514.85,2022-2-13
526.37,2022-2-14
527.96,2022-2-15
526.19,2022-2-16
525.67,2022-2-17
529.85,2022-2-20
529.85,2022-2-21
534.99,2022-2-22
534.84,2022-2-23
533.06,2022-2-24
533.02,2022-2-26
533.03,2022-2-27
531.67,2022-2-28
531.6,2022-3-2
531.67,2022-3-3
466.56,2022-3-4
465.67,2022-3-5
465.61,2022-3-6
463.7,2022-3-7
466.68,2022-3-8
488.1,2022-3-9
493.29,2022-3-10
531.67,2022-3-11
519.22,2022-3-13
499.89,2022-3-22
499.39,2022-3-23
495.15,2022-3-24
999.0,2022-3-25
629.99,2022-3-28
629.99,2022-3-29
999.0,2022-3-30
548.93,2022-4-6
