prix,date
505.4945054945055,2021-10-9
510.204081632653,2021-10-10
524.7252747252747,2021-10-11
513.3437990580848,2021-10-12
510.0455259026687,2021-10-13
499.21507064364204,2021-10-14
498.8995290423862,2021-10-15
497.56671899529044,2021-10-16
494.81946624803766,2021-10-17
510.204081632653,2021-10-18
499.21507064364204,2021-10-19
499.1365777080063,2021-10-20
495.7613814756671,2021-10-21
495.1318681318681,2021-10-22
493.87755102040813,2021-10-23
478.80690737833595,2021-10-24
474.09576138147565,2021-10-25
455.25902668759807,2021-10-26
467.032967032967,2021-10-27
455.25902668759807,2021-10-28
446.54631083202514,2021-10-29
451.3343799058085,2021-10-30
448.9795918367347,2021-10-31
455.021978021978,2021-11-1
462.30769230769226,2021-11-2
453.3751962323391,2021-11-3
446.778649921507,2021-11-4
446.4521193092621,2021-11-5
451.3343799058085,2021-11-6
452.90423861852435,2021-11-7
448.9795918367347,2021-11-8
447.331240188383,2021-11-9
437.67660910518055,2021-11-10
437.99058084772366,2021-11-11
429.6703296703297,2021-11-12
422.9513343799058,2021-11-13
422.19780219780216,2021-11-14
420.5651491365777,2021-11-15
448.7441130298273,2021-11-16
439.56043956043953,2021-11-17
447.8021978021978,2021-11-18
449.9215070643642,2021-11-22
447.1742543171115,2021-11-23
443.4850863422292,2021-11-24
442.6216640502355,2021-11-25
442.3061224489796,2021-11-26
441.83673469387753,2021-11-27
450.54945054945057,2021-11-28
445.585557299843,2021-11-29
446.6232339089482,2021-11-30
446.3736263736264,2021-12-1
440.9544740973313,2021-12-2
517.7394034536892,2021-12-4
510.204081632653,2021-12-5
510.0470957613815,2021-12-6
472.35164835164835,2021-12-7
477.2370486656201,2021-12-10
470.5651491365777,2021-12-11
478.80690737833595,2021-12-12
473.6263736263736,2021-12-13
473.4678178963893,2021-12-14
466.2480376766091,2021-12-15
462.6373626373626,2021-12-16
461.2841444270016,2021-12-17
458.3987441130298,2021-12-18
463.4222919937206,2021-12-19
466.1993720565149,2021-12-20
486.65620094191524,2021-12-21
470.7849293563579,2021-12-22
463.10832025117736,2021-12-23
465.83987441130296,2021-12-24
458.320251177394,2021-12-25
460.36106750392463,2021-12-26
459.5761381475667,2021-12-27
456.82888540031394,2021-12-28
469.3861852433281,2021-12-29
461.4427001569859,2021-12-30
460.81632653061223,2021-12-31
458.57142857142856,2022-1-1
456.0439560439561,2022-1-2
458.5478806907378,2022-1-3
454.89795918367344,2022-1-4
455.1805337519623,2022-1-5
457.8492935635793,2022-1-6
456.75039246467816,2022-1-7
456.54631083202514,2022-1-8
454.4740973312402,2022-1-9
467.032967032967,2022-1-10
461.35007849293567,2022-1-11
455.25902668759807,2022-1-12
455.1758241758242,2022-1-13
455.16483516483515,2022-1-14
460.7535321821036,2022-1-15
460.43956043956047,2022-1-16
458.8697017268446,2022-1-17
459.1365777080063,2022-1-18
453.6891679748822,2022-1-19
459.7802197802198,2022-1-20
459.4442700156986,2022-1-21
458.320251177394,2022-1-22
459.9529042386185,2022-1-23
455.2574568288854,2022-1-24
458.3987441130298,2022-1-25
454.6310832025118,2022-1-26
453.6891679748822,2022-1-27
454.0031397174254,2022-1-28
453.6106750392465,2022-1-29
453.5321821036107,2022-1-30
453.2967032967033,2022-1-31
461.53846153846155,2022-2-1
459.81161695447406,2022-2-2
458.9952904238619,2022-2-3
455.80847723704863,2022-2-4
453.6106750392465,2022-2-5
451.4913657770801,2022-2-6
445.9952904238619,2022-2-7
445.41758241758237,2022-2-8
445.1334379905809,2022-2-9
444.89795918367344,2022-2-10
444.2700156985871,2022-2-11
443.9560439560439,2022-2-12
446.53061224489795,2022-2-13
446.3108320251177,2022-2-14
447.0015698587127,2022-2-15
455.88697017268447,2022-2-16
463.10832025117736,2022-2-17
461.0675039246468,2022-2-18
464.67817896389323,2022-2-19
463.02982731554164,2022-2-20
458.3987441130298,2022-2-21
459.54474097331234,2022-2-22
458.6954474097331,2022-2-23
455.25902668759807,2022-2-24
462.9356357927786,2022-2-25
459.81161695447406,2022-2-26
456.5149136577708,2022-2-27
459.9529042386185,2022-2-28
457.56671899529044,2022-3-1
453.13971742543174,2022-3-2
452.27629513343794,2022-3-3
463.8932496075353,2022-3-4
470.01569858712713,2022-3-5
467.5039246467818,2022-3-6
462.9513343799058,2022-3-7
486.65620094191524,2022-3-8
514.756671899529,2022-3-9
501.41287284144425,2022-3-10
483.35949764521195,2022-3-11
483.2009419152276,2022-3-12
486.65620094191524,2022-3-13
484.7723704866562,2022-3-14
483.43799058084767,2022-3-15
486.65620094191524,2022-3-16
491.0518053375196,2022-3-17
498.2731554160125,2022-3-18
542.9356357927786,2022-3-21
538.2857142857142,2022-3-22
538.2072213500785,2022-3-23
542.9356357927786,2022-3-24
540.4238618524332,2022-3-25
540.8163265306122,2022-3-26
563.2653061224489,2022-3-27
592.9356357927786,2022-3-28
574.5682888540031,2022-3-29
569.701726844584,2022-3-30
572.9984301412873,2022-3-31
557.8477237048666,2022-4-4
554.7880690737834,2022-4-5
552.5902668759812,2022-4-6
553.8445839874412,2022-4-7
