prix,date
524.66,2021-10-9
516.86,2021-10-10
515.38,2021-10-11
523.68,2021-10-12
521.27,2021-10-13
516.26,2021-10-14
519.6,2021-10-15
495.0,2021-10-16
492.46,2021-10-23
491.41,2021-10-24
495.0,2021-10-25
489.17,2021-10-26
494.25,2021-10-27
493.08,2021-10-28
495.0,2021-10-29
495.0,2021-10-30
480.71,2021-10-31
495.0,2021-11-1
1045.0,2021-11-2
504.99,2021-11-4
504.99,2021-11-5
1045.0,2021-11-6
509.0,2021-11-15
1045.0,2021-11-16
525.26,2021-11-17
466.13,2021-11-18
488.66,2021-11-19
481.09,2021-11-20
486.24,2021-11-21
488.34,2021-11-22
481.4,2021-11-23
482.42,2021-11-24
480.86,2021-11-25
474.13,2021-11-26
476.91,2021-11-27
457.47,2021-11-28
455.9,2021-11-29
456.76,2021-11-30
456.12,2021-12-1
457.69,2021-12-2
469.52,2021-12-3
470.94,2021-12-4
610.0,2021-12-5
477.99,2021-12-13
498.99,2021-12-14
610.0,2021-12-15
610.0,2021-12-18
599.99,2022-1-4
470.53,2022-1-10
610.0,2022-1-11
456.8,2022-2-19
456.8,2022-2-27
453.61,2022-3-2
448.66,2022-3-3
610.0,2022-3-4
450.11,2022-3-5
610.0,2022-3-10
546.99,2022-3-12
537.99,2022-3-16
650.0,2022-3-17
1000.0,2022-4-6
