prix,date
478.80690737833595,2021-10-9
475.6671899529042,2021-10-10
468.68131868131866,2021-10-11
455.25902668759807,2021-10-12
455.25902668759807,2021-10-13
458.3987441130298,2021-10-14
463.10832025117736,2021-10-15
463.02982731554164,2021-10-16
470.8006279434851,2021-10-17
469.2307692307692,2021-10-18
468.9481946624804,2021-10-19
467.81789638932497,2021-10-20
491.36420722135006,2021-10-21
478.57142857142856,2021-10-22
477.2370486656201,2021-10-23
466.2480376766091,2021-10-24
470.6436420722135,2021-10-25
470.17111459968606,2021-10-26
469.0580847723705,2021-10-27
455.25902668759807,2021-10-28
445.7613814756671,2021-10-29
422.29199372056513,2021-10-30
439.56043956043953,2021-10-31
458.3987441130298,2021-11-1
455.25902668759807,2021-11-2
447.4097331240188,2021-11-3
453.3751962323391,2021-11-4
486.1067503924647,2021-11-5
483.20251177394033,2021-11-6
475.3532182103611,2021-11-7
455.25902668759807,2021-11-8
453.0612244897959,2021-11-9
428.57142857142856,2021-11-10
427.78649921507065,2021-11-11
423.861852433281,2021-11-12
421.8995290423862,2021-11-13
408.1632653061224,2021-11-14
423.7048665620094,2021-11-15
423.7048665620094,2021-11-16
422.1350078492935,2021-11-17
423.861852433281,2021-11-18
423.861852433281,2021-11-23
423.7833594976452,2021-11-24
423.7048665620094,2021-11-25
420.72213500784926,2021-11-26
422.29199372056513,2021-11-27
431.7111459968603,2021-11-28
423.7048665620094,2021-11-29
423.7048665620094,2021-11-30
412.87284144427,2021-12-1
423.7048665620094,2021-12-2
463.1067503924647,2021-12-4
469.1522762951334,2021-12-5
463.10832025117736,2021-12-6
471.7425431711146,2021-12-7
470.9576138147567,2021-12-8
461.53846153846155,2021-12-10
441.83673469387753,2021-12-11
441.9152276295133,2021-12-12
455.10204081632656,2021-12-13
467.73940345368914,2021-12-14
459.9686028257457,2021-12-15
470.8006279434851,2021-12-16
470.5337519623234,2021-12-17
463.10832025117736,2021-12-18
464.03453689167975,2021-12-19
469.0580847723705,2021-12-20
455.25902668759807,2021-12-21
461.38147566718993,2021-12-22
470.0941915227629,2021-12-23
466.2480376766091,2021-12-24
465.7770800627943,2021-12-25
463.5792778649921,2021-12-26
462.6373626373626,2021-12-27
461.53846153846155,2021-12-28
458.00627943485085,2021-12-29
451.883830455259,2021-12-30
451.883830455259,2021-12-31
451.8053375196232,2022-1-1
444.01569858712713,2022-1-2
439.56043956043953,2022-1-3
433.28100470957617,2022-1-4
445.6624803767661,2022-1-5
447.0172684458399,2022-1-6
443.4850863422292,2022-1-7
436.54631083202514,2022-1-8
435.63579277864994,2022-1-9
435.4788069073783,2022-1-10
429.3563579277865,2022-1-11
428.4929356357927,2022-1-12
427.9434850863422,2022-1-13
423.7048665620094,2022-1-14
421.42857142857144,2022-1-15
423.861852433281,2022-1-16
423.861852433281,2022-1-17
439.56043956043953,2022-1-18
439.54474097331234,2022-1-19
439.56043956043953,2022-1-20
447.4097331240188,2022-1-21
446.54631083202514,2022-1-22
445.83987441130296,2022-1-23
442.6216640502355,2022-1-24
442.4646781789639,2022-1-25
441.59654631083197,2022-1-26
439.2448979591837,2022-1-27
437.6718995290423,2022-1-28
437.2056514913658,2022-1-29
447.4097331240188,2022-1-30
470.469387755102,2022-1-31
453.3751962323391,2022-2-1
447.4097331240188,2022-2-2
446.9387755102041,2022-2-3
445.83987441130296,2022-2-4
442.7001569858713,2022-2-5
442.7001569858713,2022-2-6
442.6216640502355,2022-2-7
441.1302982731554,2022-2-8
442.6216640502355,2022-2-9
442.6216640502355,2022-2-10
442.54317111459966,2022-2-11
441.9152276295133,2022-2-12
440.9717425431711,2022-2-13
440.6546310832025,2022-2-14
439.56043956043953,2022-2-15
441.83673469387753,2022-2-16
439.56043956043953,2022-2-17
441.9152276295133,2022-2-18
453.13971742543174,2022-2-19
452.11930926216644,2022-2-20
451.9623233908948,2022-2-21
451.3343799058085,2022-2-22
467.8021978021978,2022-2-23
467.425431711146,2022-2-24
467.032967032967,2022-2-25
466.2480376766091,2022-2-26
459.8901098901099,2022-2-27
459.8901098901099,2022-2-28
463.02982731554164,2022-3-1
461.53846153846155,2022-3-2
463.02982731554164,2022-3-3
455.25902668759807,2022-3-4
458.320251177394,2022-3-5
458.2417582417582,2022-3-6
458.2417582417582,2022-3-7
461.0675039246468,2022-3-8
458.3987441130298,2022-3-9
458.3987441130298,2022-3-10
502.19780219780216,2022-3-11
500.1569858712716,2022-3-12
499.0580847723705,2022-3-13
497.331240188383,2022-3-14
497.1742543171115,2022-3-15
497.09576138147565,2022-3-16
494.5054945054945,2022-3-17
493.32810047095757,2022-3-18
509.4191522762951,2022-3-21
525.9026687598116,2022-3-22
509.8901098901099,2022-3-24
510.204081632653,2022-3-25
505.4945054945055,2022-3-26
514.5996860282575,2022-3-27
514.9136577708007,2022-3-28
510.204081632653,2022-3-29
502.3547880690738,2022-3-30
508.47723704866564,2022-3-31
499.1208791208791,2022-4-4
499.21507064364204,2022-4-5
491.36577708006274,2022-4-6
494.4270015698587,2022-4-7
