prix,date
511.6225999999999,2021-10-28
501.0816,2021-10-29
599.0,2021-10-30
800.0,2021-11-1
797.77,2021-11-17
800.0,2021-11-25
950.0,2021-12-1
799.99,2021-12-17
888.88,2021-12-18
860.0,2021-12-23
788.88,2021-12-24
788.88,2021-12-26
750.0,2021-12-27
750.0,2022-1-3
600.0,2022-1-7
600.0,2022-1-10
750.0,2022-1-12
750.0,2022-1-15
700.0,2022-1-22
700.0,2022-1-23
670.0,2022-1-24
660.0,2022-1-25
660.0,2022-1-26
660.0,2022-2-1
660.0,2022-2-7
620.0,2022-2-10
620.0,2022-2-15
600.0,2022-2-20
600.0,2022-2-22
600.0,2022-2-23
600.0,2022-2-25
860.0,2022-2-26
860.0,2022-2-27
860.0,2022-2-28
800.0,2022-3-2
800.0,2022-3-3
800.0,2022-3-6
700.0,2022-3-11
650.0,2022-3-13
650.0,2022-3-14
650.0,2022-3-15
650.0,2022-3-17
660.0,2022-3-22
650.0,2022-3-23
700.0,2022-3-28
700.0,2022-3-31
