prix,date
508.47723704866564,2021-10-9
516.4835164835165,2021-10-10
511.6954474097331,2021-10-11
510.204081632653,2021-10-12
502.0408163265306,2021-10-13
501.9623233908948,2021-10-14
515.3846153846154,2021-10-15
510.204081632653,2021-10-16
497.4882260596546,2021-10-17
492.6216640502355,2021-10-18
476.436420722135,2021-10-19
473.94034536891684,2021-10-20
470.17268445839875,2021-10-21
468.6028257456829,2021-10-22
463.8932496075353,2021-10-23
484.7723704866562,2021-10-24
486.64050235478805,2021-10-25
486.64050235478805,2021-10-26
474.09576138147565,2021-10-27
484.5839874411303,2021-10-28
484.56828885400313,2021-10-29
484.4740973312402,2021-10-30
473.7833594976452,2021-10-31
486.65620094191524,2021-11-1
486.5777080062794,2021-11-2
486.5777080062794,2021-11-3
488.2260596546311,2021-11-4
494.4270015698587,2021-11-5
499.21507064364204,2021-11-6
502.0408163265306,2021-11-7
502.19780219780216,2021-11-8
499.8430141287284,2021-11-9
477.8649921507065,2021-11-10
481.94662480376763,2021-11-11
481.5541601255887,2021-11-12
478.80690737833595,2021-11-13
470.8006279434851,2021-11-14
478.80690737833595,2021-11-15
514.9136577708007,2021-11-16
510.204081632653,2021-11-17
502.3547880690738,2021-11-18
551.0204081632653,2021-11-23
533.7519623233909,2021-11-24
530.6122448979592,2021-11-25
516.1695447409733,2021-11-26
515.6985871271586,2021-11-27
515.6985871271586,2021-11-28
511.7739403453689,2021-11-29
511.7739403453689,2021-11-30
515.6985871271586,2021-12-1
502.3547880690738,2021-12-2
502.27629513343794,2021-12-3
515.6985871271586,2021-12-4
565.149136577708,2021-12-5
588.3830455259026,2021-12-6
579.2621664050235,2021-12-7
578.6499215070644,2021-12-8
571.4285714285714,2021-12-9
572.7629513343799,2021-12-10
572.8414442700157,2021-12-11
572.6844583987441,2021-12-12
572.5274725274725,2021-12-13
574.4897959183673,2021-12-14
564.9921507064364,2021-12-15
572.9984301412873,2021-12-16
574.4897959183673,2021-12-17
588.6970172684458,2021-12-19
596.5463108320251,2021-12-20
604.3956043956044,2021-12-21
604.2386185243328,2021-12-22
587.12715855573,2021-12-23
580.7692307692308,2021-12-24
580.8477237048666,2021-12-25
580.8477237048666,2021-12-26
602.4332810047096,2021-12-27
585.5572998430141,2021-12-28
568.2888540031397,2021-12-29
572.9984301412873,2021-12-30
585.4788069073783,2021-12-31
586.6562009419152,2022-1-1
587.12715855573,2022-1-2
588.5400313971743,2022-1-3
587.12715855573,2022-1-4
587.12715855573,2022-1-5
590.2668759811618,2022-1-6
609.1051805337519,2022-1-7
604.3956043956044,2022-1-8
604.3171114599686,2022-1-9
604.3171114599686,2022-1-10
596.5463108320251,2022-1-11
596.5463108320251,2022-1-12
596.4678178963893,2022-1-13
596.5463108320251,2022-1-14
609.1051805337519,2022-1-15
608.7912087912088,2022-1-16
609.1051805337519,2022-1-17
608.0847723704867,2022-1-18
607.5353218210362,2022-1-19
605.651491365777,2022-1-20
605.8869701726844,2022-1-21
604.6295133437991,2022-1-22
580.7692307692308,2022-1-23
602.5102040816327,2022-1-24
597.2511773940346,2022-1-25
600.2354788069074,2022-1-26
596.530612244898,2022-1-27
592.6216640502355,2022-1-28
585.4395604395604,2022-1-29
580.8477237048666,2022-1-30
591.8367346938775,2022-1-31
588.5400313971743,2022-2-1
579.2778649921507,2022-2-2
573.7048665620094,2022-2-3
577.7080062794348,2022-2-4
577.7080062794348,2022-2-5
577.6295133437991,2022-2-6
588.6970172684458,2022-2-7
588.6970172684458,2022-2-8
588.61852433281,2022-2-9
604.3956043956044,2022-2-10
596.5463108320251,2022-2-11
596.5463108320251,2022-2-12
596.5463108320251,2022-2-13
596.3877551020408,2022-2-15
595.6028257456828,2022-2-16
591.2087912087912,2022-2-17
586.8131868131868,2022-2-18
580.8477237048666,2022-2-19
580.8477237048666,2022-2-20
585.5572998430141,2022-2-22
585.5572998430141,2022-2-23
594.6624803767661,2022-2-24
595.2904238618524,2022-2-25
595.1334379905809,2022-2-26
592.6216640502355,2022-2-27
592.072213500785,2022-2-28
591.2087912087912,2022-3-1
590.502354788069,2022-3-2
588.3045525902668,2022-3-3
587.9905808477237,2022-3-4
588.3830455259026,2022-3-5
588.6970172684458,2022-3-6
589.4819466248038,2022-3-7
589.4034536891679,2022-3-8
590.1098901098901,2022-3-9
626.1852433281005,2022-3-10
659.1836734693877,2022-3-11
671.8995290423861,2022-3-12
673.1554160125588,2022-3-13
657.1428571428571,2022-3-14
634.065934065934,2022-3-15
627.1585557299843,2022-3-16
627.0015698587126,2022-3-17
627.0015698587126,2022-3-18
736.1852433281005,2022-3-21
736.1852433281005,2022-3-22
753.1083202511774,2022-3-24
752.2605965463107,2022-3-25
751.9152276295134,2022-3-26
737.8335949764521,2022-3-27
737.6766091051805,2022-3-28
703.0455259026686,2022-3-29
727.6295133437991,2022-3-30
701.5698587127158,2022-3-31
688.7755102040817,2022-4-4
688.7755102040817,2022-4-5
674.8822605965463,2022-4-6
667.1114599686028,2022-4-7
