prix,date
3400.0,2021-10-10
1599.0,2021-10-18
2000.0,2021-10-20
3498.0,2021-10-22
1999.0,2021-10-23
1998.0,2021-10-24
1500.0,2021-10-25
1450.0,2021-11-2
1490.0,2021-11-3
1998.0,2021-11-4
1997.99,2021-12-4
1990.0,2021-12-16
1997.99,2021-12-20
1997.99,2021-12-26
1700.0,2021-12-28
1700.0,2022-1-9
1490.0,2022-1-17
1390.0,2022-1-22
1290.0,2022-1-24
1234.56,2022-1-25
1299.99,2022-1-27
1280.0,2022-1-28
1250.99,2022-1-29
1222.99,2022-1-30
1259.99,2022-1-31
1242.77,2022-2-1
1250.99,2022-2-2
1199.99,2022-2-3
1280.0,2022-2-5
1680.0,2022-2-7
1680.0,2022-3-26
1680.0,2022-3-31
1250.0,2022-4-4
1250.0,2022-4-6
