prix,date
1284.14442700157,2021-10-9
1255.8869701726844,2021-10-10
1255.7111459968603,2021-10-11
1252.7001569858712,2021-10-12
1248.0376766091051,2021-10-13
1232.2605965463108,2021-10-14
1232.1036106750391,2021-10-15
1231.5541601255886,2021-10-16
1231.5541601255886,2021-10-18
1222.9199372056514,2021-10-20
1216.4835164835165,2021-10-21
1208.7912087912089,2021-10-22
1193.0926216640503,2021-10-23
1177.3940345368917,2021-10-24
1177.3940345368917,2021-10-27
1173.9403453689167,2021-10-29
1144.8226059654633,2021-10-30
1144.270015698587,2021-10-31
1142.2291993720564,2021-11-1
1142.1507064364207,2021-11-2
1141.7582417582419,2021-11-3
1140.9733124018837,2021-11-4
1140.3453689167975,2021-11-5
1133.1240188383044,2021-11-6
1103.1397174254316,2021-11-7
1101.5698587127158,2021-11-8
1040.6593406593406,2021-11-9
1046.3108320251176,2021-11-10
1045.6828885400314,2021-11-11
1028.1004709576139,2021-11-12
1020.408163265306,2021-11-13
1114.5996860282573,2021-11-14
1145.9968602825745,2021-11-15
1136.4207221350077,2021-11-16
1134.14442700157,2021-11-17
1159.811616954474,2021-11-18
1174.4897959183672,2021-11-22
1169.3877551020407,2021-11-23
1169.3877551020407,2021-11-24
1169.2307692307693,2021-11-25
1168.4458398744114,2021-11-26
1167.1899529042387,2021-11-27
1171.1145996860282,2021-11-28
1167.9748822605966,2021-11-29
1177.3940345368917,2021-11-30
1193.0926216640503,2021-12-1
1255.8869701726844,2021-12-2
1316.7974882260596,2021-12-10
1302.9827315541602,2021-12-11
1302.9827315541602,2021-12-12
1302.9042386185242,2021-12-13
1287.2825745682887,2021-12-14
1255.7284144427001,2021-12-15
1255.729984301413,2021-12-16
1255.729984301413,2021-12-17
1208.7127158555732,2021-12-18
1208.6342229199372,2021-12-19
1200.8587127158555,2021-12-20
1200.6279434850862,2021-12-21
1200.7802197802198,2021-12-22
1168.8414442700157,2021-12-23
1168.7613814756671,2021-12-24
1205.6499215070644,2021-12-25
1208.7912087912089,2021-12-26
1224.4897959183672,2021-12-27
1208.7912087912089,2021-12-28
1208.7912087912089,2021-12-29
1208.7912087912089,2021-12-30
1208.7912087912089,2022-1-1
1208.7912087912089,2022-1-2
1248.0376766091051,2022-1-3
1240.1883830455258,2022-1-4
1255.5729984301413,2022-1-5
1255.1020408163265,2022-1-6
1240.10989010989,2022-1-7
1208.7912087912089,2022-1-8
1177.3940345368917,2022-1-9
1191.3469387755101,2022-1-10
1177.3940345368917,2022-1-11
1222.7441130298273,2022-1-12
1240.0313971742542,2022-1-13
1238.61852433281,2022-1-14
1224.4897959183672,2022-1-16
1218.2103610675038,2022-1-17
1217.4254317111458,2022-1-18
1217.4254317111458,2022-1-19
1208.4772370486655,2022-1-20
1184.8524332810046,2022-1-21
1184.7739403453688,2022-1-22
1184.458398744113,2022-1-23
1193.0926216640503,2022-1-24
1193.0926216640503,2022-1-25
1224.3328100470958,2022-1-26
1224.0188383045527,2022-1-27
1236.2637362637363,2022-1-28
1233.9089481946626,2022-1-29
1233.751962323391,2022-1-30
1232.0251177394034,2022-1-31
1192.9356357927786,2022-2-1
1230.7692307692307,2022-2-2
1224.800627943485,2022-2-3
1223.7048665620093,2022-2-4
1223.5478806907379,2022-2-5
1222.1350078492935,2022-2-6
1220.408163265306,2022-2-7
1207.221350078493,2022-2-8
1216.0125588697017,2022-2-9
1215.6200941915229,2022-2-10
1215.6200941915229,2022-2-11
1215.4631083202512,2022-2-12
1215.0706436420724,2022-2-13
1214.2857142857142,2022-2-14
1208.6342229199372,2022-2-15
1208.6342229199372,2022-2-16
1208.6342229199372,2022-2-17
1208.6342229199372,2022-2-18
1208.4772370486655,2022-2-19
1208.4772370486655,2022-2-20
1208.4772370486655,2022-2-21
1208.4772370486655,2022-2-22
1208.4772370486655,2022-2-23
1208.3987441130298,2022-2-24
1208.3987441130298,2022-2-25
1208.3202511773939,2022-2-26
1208.3202511773939,2022-2-27
1208.4772370486655,2022-2-28
1208.7912087912089,2022-3-1
1224.3328100470958,2022-3-2
1255.729984301413,2022-3-3
1316.7974882260596,2022-3-4
1294.9764521193092,2022-3-5
1331.8681318681317,2022-3-6
1363.8932496075352,2022-3-7
1379.5918367346937,2022-3-8
1379.5918367346937,2022-3-9
1355.2590266875982,2022-3-10
1349.7645211930926,2022-3-11
1348.0376766091053,2022-3-12
1312.8728414442699,2022-3-13
1301.098901098901,2022-3-14
1334.3799058084771,2022-3-15
1334.3799058084771,2022-3-16
1412.8728414442699,2022-3-17
1324.646781789639,2022-3-21
1321.739403453689,2022-3-22
1320.4850863422291,2022-3-24
1320.4018838304553,2022-3-25
1302.9042386185242,2022-3-26
1293.8775510204082,2022-3-27
1287.2841444270016,2022-3-28
1279.3563579277863,2022-3-29
1268.4458398744114,2022-3-30
1255.8712715855572,2022-3-31
1302.8257456828885,2022-4-4
1302.6687598116168,2022-4-5
1277.0800627943486,2022-4-6
