prix,date
139.99,2021-10-10
139.99,2021-10-12
138.6,2021-10-13
138.59,2021-10-14
138.59,2021-10-15
138.58,2021-10-16
138.57,2021-10-17
138.57,2021-10-18
138.56,2021-10-19
138.55,2021-10-20
150.0,2021-10-21
149.0,2021-10-23
144.99,2021-10-24
134.99,2021-10-25
125.0,2021-10-26
132.9,2021-10-27
129.99,2021-10-28
129.97,2021-10-29
128.8,2021-10-30
126.82,2021-11-3
135.7,2021-11-4
149.99,2021-11-6
139.0,2021-11-7
137.6,2021-11-8
130.0,2021-11-9
127.0,2021-11-10
135.8,2021-11-11
134.99,2021-11-16
130.48,2021-11-22
126.99,2021-11-23
125.73,2021-11-26
125.73,2021-11-27
125.72,2021-11-28
130.0,2021-11-29
128.7,2021-11-30
125.72,2021-12-1
125.71,2021-12-2
125.7,2021-12-3
127.0,2021-12-4
127.0,2021-12-5
142.99,2021-12-7
147.95,2021-12-8
147.95,2021-12-9
147.95,2021-12-10
139.0,2021-12-11
146.46,2021-12-12
139.99,2021-12-13
138.59,2021-12-14
138.59,2021-12-16
138.59,2021-12-17
138.58,2021-12-18
138.56,2021-12-20
145.99,2021-12-21
140.0,2021-12-22
144.54,2021-12-23
144.54,2021-12-24
144.5,2021-12-25
142.68,2021-12-26
142.68,2021-12-27
139.99,2021-12-28
135.0,2021-12-29
135.0,2021-12-31
139.99,2022-1-2
139.8,2022-1-5
134.99,2022-1-6
139.8,2022-1-7
133.0,2022-1-8
138.39,2022-1-9
146.99,2022-1-10
153.0,2022-1-11
153.0,2022-1-12
153.0,2022-1-16
148.8,2022-1-17
149.0,2022-1-18
147.51,2022-1-19
147.5,2022-1-20
147.49,2022-1-21
147.48,2022-1-22
147.47,2022-1-23
147.46,2022-1-24
145.0,2022-1-25
144.98,2022-1-26
144.97,2022-1-27
140.0,2022-1-28
140.17,2022-1-29
153.0,2022-1-30
145.0,2022-2-3
153.0,2022-2-7
152.8,2022-2-8
152.8,2022-2-11
150.0,2022-2-14
150.0,2022-2-15
152.8,2022-2-16
152.8,2022-2-17
150.0,2022-2-18
150.0,2022-2-20
160.0,2022-2-22
149.0,2022-2-23
171.99,2022-2-24
171.99,2022-2-25
165.0,2022-2-27
165.0,2022-2-28
164.99,2022-3-1
164.98,2022-3-2
164.25,2022-3-5
160.25,2022-3-6
158.65,2022-3-9
158.64,2022-3-10
158.64,2022-3-11
158.64,2022-3-13
169.99,2022-3-15
167.0,2022-3-16
165.34,2022-3-17
189.99,2022-3-22
189.99,2022-3-23
189.99,2022-3-25
189.99,2022-3-28
189.99,2022-3-29
189.99,2022-3-30
200.0,2022-3-31
