prix,date
123.54788069073784,2021-10-9
123.54788069073784,2021-10-10
122.44897959183672,2021-10-11
123.15541601255887,2021-10-12
123.61067503924647,2021-10-13
122.29199372056515,2021-10-14
123.15541601255887,2021-10-15
122.7629513343799,2021-10-16
122.68445839874411,2021-10-17
121.97802197802197,2021-10-18
121.66405023547881,2021-10-19
121.50706436420722,2021-10-20
120.87912087912088,2021-10-21
120.53375196232338,2021-10-22
120.87912087912088,2021-10-23
121.03610675039246,2021-10-24
119.93720565149137,2021-10-25
120.72213500784929,2021-10-26
118.3673469387755,2021-10-27
118.52433281004708,2021-10-28
119.23076923076924,2021-10-29
120.87912087912088,2021-10-30
120.17268445839875,2021-10-31
120.87912087912088,2021-11-1
121.585557299843,2021-11-2
122.05651491365778,2021-11-3
121.97802197802197,2021-11-4
123.04552590266876,2021-11-5
123.15541601255887,2021-11-6
123.07692307692307,2021-11-7
122.44897959183672,2021-11-8
121.42857142857143,2021-11-9
122.29199372056515,2021-11-10
122.37048665620094,2021-11-11
123.13971742543171,2021-11-12
122.44897959183672,2021-11-13
123.07692307692307,2021-11-14
123.06122448979592,2021-11-15
122.84144427001569,2021-11-16
123.70486656200941,2021-11-17
122.29199372056515,2021-11-18
123.70486656200941,2021-11-22
122.44897959183672,2021-11-23
123.23390894819465,2021-11-24
123.23390894819465,2021-11-25
124.67660910518052,2021-11-26
125.0392464678179,2021-11-27
125.11773940345368,2021-11-28
125.43171114599686,2021-11-29
126.138147566719,2021-11-30
126.84458398744113,2021-12-1
128.41444270015697,2021-12-2
129.1993720565149,2021-12-3
131.3971742543171,2021-12-4
132.81004709576138,2021-12-5
129.04238618524332,2021-12-6
129.51334379905808,2021-12-7
127.86499215070644,2021-12-8
128.72841444270017,2021-12-9
130.138147566719,2021-12-10
131.5541601255887,2021-12-11
130.21978021978023,2021-12-12
130.92621664050236,2021-12-13
131.78963893249608,2021-12-14
131.4756671899529,2021-12-15
132.88854003139716,2021-12-16
133.35792778649923,2021-12-17
131.86813186813185,2021-12-18
131.7111459968603,2021-12-19
132.33908948194664,2021-12-20
132.4960753532182,2021-12-21
133.20251177394036,2021-12-22
133.20251177394036,2021-12-23
132.6530612244898,2021-12-24
133.28100470957614,2021-12-25
132.4960753532182,2021-12-26
132.4960753532182,2021-12-27
131.86813186813185,2021-12-28
132.574568288854,2021-12-29
132.96703296703296,2021-12-30
133.27943485086342,2021-12-31
133.43799058084772,2022-1-1
134.7723704866562,2022-1-2
135.47880690737833,2022-1-3
135.7927786499215,2022-1-4
136.33908948194664,2022-1-5
135.47880690737833,2022-1-6
135.47880690737833,2022-1-7
136.49921507064363,2022-1-8
134.22291993720563,2022-1-9
135.63579277864991,2022-1-10
135.30612244897958,2022-1-11
136.3265306122449,2022-1-12
135.8712715855573,2022-1-13
136.8602825745683,2022-1-14
138.12401883830455,2022-1-15
137.67660910518052,2022-1-16
138.77551020408163,2022-1-17
138.1475667189953,2022-1-18
138.30455259026687,2022-1-19
138.85400313971743,2022-1-20
137.51962323390896,2022-1-21
138.61852433281004,2022-1-22
138.1475667189953,2022-1-23
137.95918367346937,2022-1-24
139.01098901098902,2022-1-25
138.83830455259027,2022-1-26
137.8335949764521,2022-1-27
138.38304552590267,2022-1-28
138.61852433281004,2022-1-29
139.40345368916797,2022-1-30
140.50235478806908,2022-1-31
141.2072213500785,2022-2-1
141.13029827315543,2022-2-2
140.8006279434851,2022-2-3
140.50235478806908,2022-2-4
141.99372056514915,2022-2-5
141.83516483516485,2022-2-6
141.99372056514915,2022-2-7
139.56043956043956,2022-2-8
139.56043956043956,2022-2-9
140.50235478806908,2022-2-10
141.60125588697016,2022-2-11
143.4850863422292,2022-2-12
142.85714285714286,2022-2-13
143.64207221350077,2022-2-14
145.21193092621664,2022-2-15
144.11302982731553,2022-2-16
144.4270015698587,2022-2-17
144.74097331240188,2022-2-18
148.50863422291994,2022-2-19
148.35164835164835,2022-2-20
152.82574568288854,2022-2-21
155.88697017268444,2022-2-22
151.80533751962324,2022-2-23
153.0596546310832,2022-2-24
151.86813186813185,2022-2-25
150.70643642072213,2022-2-26
154.63108320251177,2022-2-27
155.4160125588697,2022-2-28
154.94505494505495,2022-3-1
156.3563579277865,2022-3-2
156.67189952904238,2022-3-3
156.82888540031396,2022-3-4
164.8335949764521,2022-3-5
172.44897959183672,2022-3-6
162.48037676609104,2022-3-7
156.98587127158555,2022-3-8
158.55572998430142,2022-3-9
159.6546310832025,2022-3-10
159.18367346938777,2022-3-11
159.8901098901099,2022-3-12
160.12558869701726,2022-3-13
162.93563579277867,2022-3-14
164.83516483516485,2022-3-15
167.97488226059653,2022-3-16
170.95761381475666,2022-3-17
170.09419152276297,2022-3-18
200.86342229199371,2022-3-21
188.38304552590267,2022-3-22
188.38304552590267,2022-3-23
177.39403453689167,2022-3-24
177.39246467817895,2022-3-25
176.76609105180535,2022-3-26
175.66718995290424,2022-3-27
175.02354788069076,2022-3-28
172.52747252747253,2022-3-29
171.11459968602827,2022-3-30
172.60596546310833,2022-3-31
188.30455259026687,2022-4-4
186.73469387755102,2022-4-5
186.8131868131868,2022-4-6
183.6734693877551,2022-4-7
