prix,date
279.99,2021-10-14
244.99,2021-10-27
238.0,2021-10-28
230.0,2021-11-3
240.0,2021-11-5
279.99,2021-11-7
279.99,2021-11-26
249.95,2021-12-4
259.95,2021-12-5
249.95,2021-12-8
248.95,2021-12-9
246.95,2021-12-10
244.95,2021-12-11
249.95,2021-12-13
279.99,2021-12-15
250.0,2021-12-19
250.0,2021-12-20
245.0,2021-12-21
240.0,2021-12-25
245.0,2021-12-28
249.7,2021-12-29
250.0,2021-12-31
279.99,2022-1-2
249.99,2022-1-10
249.99,2022-1-15
249.99,2022-1-16
264.95,2022-1-18
255.0,2022-1-20
255.0,2022-1-26
264.95,2022-1-27
279.99,2022-2-4
292.7232,2022-2-12
254.5,2022-2-13
254.5,2022-2-16
285.99,2022-2-22
305.0,2022-3-22
304.9,2022-3-26
295.0,2022-3-28
299.0,2022-3-29
