prix,date
236.81004709576138,2021-10-9
236.8916797488226,2021-10-10
236.23233908948194,2021-10-11
234.5368916797488,2021-10-12
233.7519623233909,2021-10-13
230.69073783359497,2021-10-14
231.55416012558868,2021-10-15
231.06750392464676,2021-10-16
229.3563579277865,2021-10-17
225.27472527472528,2021-10-18
224.72527472527472,2021-10-19
222.91993720565148,2021-10-20
219.6232339089482,2021-10-21
216.56200941915228,2021-10-22
222.13500784929354,2021-10-23
219.78021978021977,2021-10-24
216.48351648351647,2021-10-25
218.2103610675039,2021-10-26
220.8791208791209,2021-10-27
221.19309262166405,2021-10-28
223.6263736263736,2021-10-29
227.47252747252747,2021-10-30
226.8445839874411,2021-10-31
227.3155416012559,2021-11-1
227.2370486656201,2021-11-2
228.57142857142856,2021-11-3
229.3563579277865,2021-11-4
230.5337519623234,2021-11-5
233.12401883830455,2021-11-6
232.02511773940347,2021-11-7
230.5337519623234,2021-11-8
228.2574568288854,2021-11-9
226.8445839874411,2021-11-10
228.1004709576138,2021-11-11
227.62951334379903,2021-11-12
227.2370486656201,2021-11-13
226.05965463108322,2021-11-14
229.04238618524334,2021-11-15
230.06279434850862,2021-11-16
229.5133437990581,2021-11-17
230.61224489795916,2021-11-18
230.65934065934067,2021-11-22
230.29827315541598,2021-11-23
230.4552590266876,2021-11-24
229.74882260596547,2021-11-25
229.98430141287284,2021-11-26
230.76923076923077,2021-11-27
231.6326530612245,2021-11-28
232.33908948194662,2021-11-29
232.18210361067503,2021-11-30
235.45996860282577,2021-12-1
235.32182103610674,2021-12-2
235.32182103610674,2021-12-3
238.61852433281004,2021-12-4
240.0313971742543,2021-12-5
239.79591836734693,2021-12-6
239.87441130298274,2021-12-7
238.61852433281004,2021-12-8
238.38147566718996,2021-12-9
238.54003139717423,2021-12-10
239.79591836734693,2021-12-11
239.010989010989,2021-12-12
238.38304552590267,2021-12-13
238.46153846153848,2021-12-14
239.93720565149135,2021-12-15
239.0894819466248,2021-12-16
241.67974882260597,2021-12-17
241.91522762951337,2021-12-18
241.75824175824175,2021-12-19
241.44427001569858,2021-12-20
241.27158555729983,2021-12-21
241.50706436420722,2021-12-22
241.44427001569858,2021-12-23
240.65934065934067,2021-12-24
241.20879120879118,2021-12-25
241.44427001569858,2021-12-26
240.97331240188382,2021-12-27
240.81632653061223,2021-12-28
239.40345368916797,2021-12-29
239.40345368916797,2021-12-30
240.1098901098901,2021-12-31
241.67974882260597,2022-1-1
241.67974882260597,2022-1-2
243.0125588697017,2022-1-3
242.5431711145997,2022-1-4
240.97331240188382,2022-1-5
242.07221350078493,2022-1-6
242.93563579277864,2022-1-7
243.09262166405023,2022-1-8
244.66248037676607,2022-1-9
245.36891679748823,2022-1-10
242.85714285714286,2022-1-11
242.5431711145997,2022-1-12
243.79905808477235,2022-1-13
243.95604395604394,2022-1-14
244.5839874411303,2022-1-15
243.32810047095762,2022-1-16
246.31083202511775,2022-1-17
247.95918367346937,2022-1-18
247.33124018838305,2022-1-19
247.25274725274724,2022-1-20
247.56671899529044,2022-1-21
249.34065934065933,2022-1-22
248.8226059654631,2022-1-23
248.9010989010989,2022-1-24
250.62794348508632,2022-1-25
250.6263736263736,2022-1-26
250.86342229199371,2022-1-27
250.23547880690737,2022-1-28
254.31711145996857,2022-1-29
257.3783359497645,2022-1-30
257.1428571428571,2022-1-31
255.72998430141288,2022-2-1
254.78806907378336,2022-2-2
254.78806907378336,2022-2-3
255.72998430141288,2022-2-4
255.4945054945055,2022-2-5
255.72998430141288,2022-2-6
251.1773940345369,2022-2-7
250.23547880690737,2022-2-8
251.0973312401884,2022-2-9
254.31711145996857,2022-2-10
255.88697017268444,2022-2-11
257.22135007849295,2022-2-12
257.2998430141287,2022-2-13
256.5149136577708,2022-2-14
259.010989010989,2022-2-15
258.8540031397174,2022-2-16
259.6546310832025,2022-2-17
261.6954474097331,2022-2-18
264.9921507064364,2022-2-19
266.63579277864994,2022-2-20
268.44583987441126,2022-2-21
271.585557299843,2022-2-22
269.15227629513345,2022-2-23
266.1695447409733,2022-2-24
266.5620094191523,2022-2-25
264.5211930926217,2022-2-26
264.9921507064364,2022-2-27
265.149136577708,2022-2-28
266.5620094191523,2022-3-1
266.71899529042383,2022-3-2
268.53846153846155,2022-3-3
272.3704866562009,2022-3-4
273.6263736263736,2022-3-5
273.9403453689168,2022-3-6
274.3328100470958,2022-3-7
275.96546310832025,2022-3-8
273.0769230769231,2022-3-9
272.21350078492935,2022-3-10
274.20094191522765,2022-3-11
274.4113029827315,2022-3-12
276.2951334379906,2022-3-13
279.9686028257457,2022-3-14
282.414442700157,2022-3-15
289.403453689168,2022-3-16
294.9764521193093,2022-3-17
295.6828885400314,2022-3-18
334.3799058084772,2022-3-21
313.34379905808476,2022-3-22
313.1868131868132,2022-3-23
298.11616954474096,2022-3-24
296.2323390894819,2022-3-25
298.27315541601257,2022-3-26
300.7849293563579,2022-3-27
300.9230769230769,2022-3-28
300.7849293563579,2022-3-29
300.3139717425432,2022-3-30
302.3547880690738,2022-3-31
310.8320251177394,2022-4-4
312.4018838304553,2022-4-5
310.8320251177394,2022-4-6
307.53532182103606,2022-4-7
