prix,date
155.0,2021-10-11
154.0,2021-10-14
154.0,2021-10-19
154.0,2021-10-25
152.0,2021-10-27
150.0,2021-10-29
150.0,2021-10-30
150.0,2021-11-1
143.55,2021-11-2
140.0,2021-11-3
139.99,2021-11-4
138.59,2021-11-8
137.21,2021-11-10
137.2,2021-11-14
137.19,2021-11-15
149.99,2021-11-16
137.19,2021-11-23
137.19,2021-11-24
137.19,2021-11-25
164.99,2021-11-26
164.98,2021-11-27
160.99,2021-11-28
160.98,2021-11-29
160.98,2021-11-30
160.97,2021-12-1
160.96,2021-12-2
160.95,2021-12-3
160.95,2021-12-4
149.99,2021-12-5
149.98,2021-12-6
149.96,2021-12-8
147.99,2021-12-9
147.97,2021-12-10
139.98,2021-12-11
138.57,2021-12-12
138.56,2021-12-13
137.99,2021-12-14
137.99,2021-12-15
137.0,2021-12-16
135.63,2021-12-17
135.62,2021-12-18
151.8,2021-12-19
150.99,2021-12-20
150.69,2021-12-21
149.85,2021-12-22
150.5,2021-12-23
150.5,2021-12-27
150.5,2021-12-28
145.0,2022-1-1
145.0,2022-1-4
145.0,2022-1-6
145.0,2022-1-8
144.0,2022-1-9
150.55,2022-1-10
150.54,2022-1-12
150.54,2022-1-13
150.39,2022-1-14
150.4,2022-1-15
155.8,2022-1-17
155.8,2022-1-19
155.8,2022-1-20
155.8,2022-1-22
150.0,2022-1-23
150.0,2022-1-24
143.55,2022-1-25
140.0,2022-1-26
140.0,2022-1-27
142.0,2022-1-28
142.0,2022-1-29
140.0,2022-1-30
143.55,2022-1-31
139.0,2022-2-1
137.6,2022-2-2
149.8,2022-2-3
149.8,2022-2-4
148.31,2022-2-5
146.83,2022-2-6
146.82,2022-2-7
146.8,2022-2-8
146.79,2022-2-9
146.79,2022-2-12
146.78,2022-2-13
144.99,2022-2-14
144.98,2022-2-16
144.97,2022-2-17
143.49,2022-2-18
143.97,2022-2-20
142.52,2022-2-21
142.51,2022-2-22
151.0,2022-2-23
149.49,2022-2-27
149.49,2022-2-28
149.49,2022-3-1
149.49,2022-3-2
149.47,2022-3-8
149.46,2022-3-10
149.45,2022-3-11
149.44,2022-3-13
149.45,2022-3-14
149.45,2022-3-15
159.99,2022-3-16
164.99,2022-3-17
169.99,2022-3-25
170.0,2022-3-27
170.0,2022-3-30
170.0,2022-3-31
169.8,2022-4-6
