prix,date
142.70015698587127,2021-10-9
142.66875981161695,2021-10-10
142.70015698587127,2021-10-11
141.75824175824175,2021-10-12
141.05180533751962,2021-10-13
141.05180533751962,2021-10-14
139.71742543171115,2021-10-15
139.40345368916797,2021-10-16
136.5761381475667,2021-10-17
135.00784929356357,2021-10-18
134.53689167974883,2021-10-19
129.98430141287284,2021-10-20
128.64992150706436,2021-10-21
130.59654631083203,2021-10-22
132.4960753532182,2021-10-23
131.86813186813185,2021-10-24
131.00470957613814,2021-10-25
131.7111459968603,2021-10-26
130.84615384615384,2021-10-27
128.64992150706436,2021-10-28
130.298273155416,2021-10-29
131.5541601255887,2021-10-30
132.18210361067503,2021-10-31
131.86813186813185,2021-11-1
134.22291993720563,2021-11-2
134.85086342229198,2021-11-3
134.22291993720563,2021-11-4
134.91365777080063,2021-11-5
133.90894819466249,2021-11-6
132.88854003139716,2021-11-7
131.86813186813185,2021-11-8
131.78963893249608,2021-11-9
131.7111459968603,2021-11-10
133.28100470957614,2021-11-11
133.28100470957614,2021-11-12
132.63736263736263,2021-11-13
132.574568288854,2021-11-14
132.43799058084772,2021-11-15
132.65149136577708,2021-11-16
132.4960753532182,2021-11-17
132.33908948194664,2021-11-18
133.12401883830455,2021-11-22
132.96703296703296,2021-11-23
131.86813186813185,2021-11-24
132.4960753532182,2021-11-25
132.574568288854,2021-11-26
133.28100470957614,2021-11-27
133.98744113029827,2021-11-28
133.6734693877551,2021-11-29
135.00784929356357,2021-11-30
136.10675039246468,2021-12-1
136.49921507064363,2021-12-2
137.8335949764521,2021-12-3
139.3846153846154,2021-12-4
139.32496075353217,2021-12-5
139.32496075353217,2021-12-6
138.0690737833595,2021-12-7
137.20565149136576,2021-12-8
137.28414442700156,2021-12-9
137.8335949764521,2021-12-10
139.40188383045526,2021-12-11
138.61852433281004,2021-12-12
137.0486656200942,2021-12-13
138.0690737833595,2021-12-14
138.9324960753532,2021-12-15
138.9324960753532,2021-12-16
139.40345368916797,2021-12-17
138.61852433281004,2021-12-18
139.40188383045526,2021-12-19
139.40345368916797,2021-12-20
139.40345368916797,2021-12-21
139.63893249607537,2021-12-22
139.71742543171115,2021-12-23
139.71742543171115,2021-12-24
139.40345368916797,2021-12-25
138.9324960753532,2021-12-26
138.9324960753532,2021-12-27
138.9324960753532,2021-12-28
138.77551020408163,2021-12-29
139.32496075353217,2021-12-30
138.91679748822605,2021-12-31
139.32496075353217,2022-1-1
137.9905808477237,2022-1-2
139.56043956043956,2022-1-3
139.37205651491365,2022-1-4
139.19309262166405,2022-1-5
139.63893249607537,2022-1-6
140.18681318681317,2022-1-7
140.89481946624804,2022-1-8
139.01098901098902,2022-1-9
139.16797488226058,2022-1-10
139.2276295133438,2022-1-11
139.0894819466248,2022-1-12
139.54160125588697,2022-1-13
140.25117739403453,2022-1-14
141.05180533751962,2022-1-15
140.1883830455259,2022-1-16
141.05180533751962,2022-1-17
139.95290423861852,2022-1-18
140.2668759811617,2022-1-19
140.50235478806908,2022-1-20
138.9324960753532,2022-1-21
140.50235478806908,2022-1-22
140.3453689167975,2022-1-23
140.3453689167975,2022-1-24
139.40345368916797,2022-1-25
139.71742543171115,2022-1-26
139.87441130298274,2022-1-27
139.71742543171115,2022-1-28
139.87441130298274,2022-1-29
140.42386185243328,2022-1-30
141.05180533751962,2022-1-31
141.13029827315543,2022-2-1
141.44427001569858,2022-2-2
142.85557299843015,2022-2-3
142.85714285714286,2022-2-4
142.07221350078493,2022-2-5
142.5431711145997,2022-2-6
142.05651491365776,2022-2-7
140.50235478806908,2022-2-8
140.81632653061223,2022-2-9
141.13029827315543,2022-2-10
141.19309262166405,2022-2-11
141.99372056514915,2022-2-12
141.75824175824175,2022-2-13
141.91522762951334,2022-2-14
142.3861852433281,2022-2-15
141.287284144427,2022-2-16
141.83673469387756,2022-2-17
141.52276295133436,2022-2-18
141.60125588697016,2022-2-19
142.70015698587127,2022-2-20
142.85714285714286,2022-2-21
143.64050235478805,2022-2-22
143.4065934065934,2022-2-23
143.72056514913658,2022-2-24
144.11302982731553,2022-2-25
143.64207221350077,2022-2-26
144.41915227629514,2022-2-27
144.11302982731553,2022-2-28
144.89795918367346,2022-3-1
145.05494505494505,2022-3-2
145.83987441130296,2022-3-3
146.6248037676609,2022-3-4
148.35164835164835,2022-3-5
148.9795918367347,2022-3-6
148.64992150706436,2022-3-7
147.56671899529044,2022-3-8
145.71742543171115,2022-3-9
145.6828885400314,2022-3-10
146.7817896389325,2022-3-11
147.4866562009419,2022-3-12
147.48822605965464,2022-3-13
147.56671899529044,2022-3-14
148.9795918367347,2022-3-15
148.9795918367347,2022-3-16
150.70643642072213,2022-3-17
151.80533751962324,2022-3-18
166.4050235478807,2022-3-21
160.51805337519625,2022-3-22
160.04709576138148,2022-3-23
152.27629513343797,2022-3-24
153.84615384615384,2022-3-25
153.3751962323391,2022-3-26
153.76766091051803,2022-3-27
155.2590266875981,2022-3-28
153.84615384615384,2022-3-29
154.3171114599686,2022-3-30
154.36420722135009,2022-3-31
156.98587127158555,2022-4-4
156.90737833594977,2022-4-5
157.69073783359497,2022-4-6
156.67189952904238,2022-4-7
