prix,date
35.45,2021-10-10
35.44,2021-10-11
34.99,2021-10-12
34.64,2021-10-13
34.0,2021-10-14
34.28,2021-10-15
34.27,2021-10-16
33.93,2021-10-17
33.93,2021-10-18
33.92,2021-10-19
33.91,2021-10-20
33.6,2021-10-21
33.07,2021-10-23
32.73,2021-10-24
33.59,2021-10-25
33.0,2021-10-27
32.99,2021-10-28
32.66,2021-10-29
32.33,2021-10-30
33.0,2021-10-31
32.0,2021-11-1
34.88,2021-11-2
34.54,2021-11-4
34.54,2021-11-5
36.25,2021-11-6
35.0,2021-11-7
35.5,2021-11-8
34.75,2021-11-9
34.41,2021-11-10
34.4,2021-11-14
35.0,2021-11-15
36.25,2021-11-16
36.25,2021-11-17
34.49,2021-11-23
34.49,2021-11-24
34.49,2021-11-25
34.14,2021-11-26
34.14,2021-11-27
34.13,2021-11-28
34.12,2021-11-29
36.77,2021-11-30
36.4,2021-12-1
36.04,2021-12-2
36.03,2021-12-3
36.03,2021-12-4
36.02,2021-12-5
35.66,2021-12-6
36.0,2021-12-7
38.98,2021-12-8
37.31,2021-12-9
39.9,2021-12-10
39.9,2021-12-11
41.37,2021-12-12
41.09,2021-12-13
40.67,2021-12-14
40.19,2021-12-15
39.5,2021-12-16
38.61,2021-12-17
37.62,2021-12-18
37.62,2021-12-19
37.62,2021-12-20
37.25,2021-12-21
37.23,2021-12-22
37.62,2021-12-23
37.61,2021-12-24
40.0,2021-12-25
42.56,2021-12-26
40.0,2021-12-27
40.0,2021-12-28
39.59,2021-12-29
39.0,2021-12-30
39.0,2021-12-31
42.0,2022-1-1
41.58,2022-1-2
41.58,2022-1-3
41.48,2022-1-4
41.48,2022-1-5
41.06,2022-1-6
40.0,2022-1-7
40.99,2022-1-8
40.97,2022-1-9
40.96,2022-1-10
40.56,2022-1-11
40.55,2022-1-12
42.99,2022-1-13
39.0,2022-1-14
46.3,2022-1-15
44.99,2022-1-16
44.55,2022-1-17
44.54,2022-1-18
43.66,2022-1-19
42.0,2022-1-20
41.58,2022-1-21
41.16,2022-1-22
41.15,2022-1-23
39.99,2022-1-24
39.6,2022-1-25
39.1,2022-1-26
38.71,2022-1-27
38.5,2022-1-28
41.53,2022-1-29
40.0,2022-1-30
39.99,2022-1-31
41.5,2022-2-1
41.08,2022-2-2
42.58,2022-2-3
41.57,2022-2-4
41.57,2022-2-5
42.99,2022-2-6
43.0,2022-2-7
43.0,2022-2-8
43.0,2022-2-9
40.0,2022-2-10
40.0,2022-2-11
42.43,2022-2-12
42.97,2022-2-13
42.97,2022-2-14
42.54,2022-2-15
42.12,2022-2-16
42.11,2022-2-17
42.1,2022-2-18
41.68,2022-2-19
39.99,2022-2-20
38.99,2022-2-21
38.98,2022-2-22
38.58,2022-2-23
39.55,2022-2-24
39.0,2022-2-25
39.0,2022-2-26
39.0,2022-2-27
38.76,2022-2-28
38.76,2022-3-1
38.76,2022-3-2
38.76,2022-3-3
38.76,2022-3-4
41.65,2022-3-5
42.0,2022-3-6
42.0,2022-3-7
42.0,2022-3-8
42.0,2022-3-9
41.0,2022-3-10
41.0,2022-3-11
41.0,2022-3-12
40.59,2022-3-13
42.0,2022-3-14
40.59,2022-3-15
40.19,2022-3-16
44.0,2022-3-17
44.0,2022-3-18
42.0,2022-3-21
41.99,2022-3-22
41.34,2022-3-24
41.34,2022-3-25
41.34,2022-3-26
41.88,2022-3-27
41.88,2022-3-28
41.06,2022-3-29
41.47,2022-3-30
41.47,2022-3-31
41.44,2022-4-4
39.99,2022-4-6
