prix,date
24.51,2021-10-9
22.99,2021-10-10
22.8,2021-10-11
22.79,2021-10-12
22.77,2021-10-14
22.77,2021-10-15
21.99,2021-10-16
21.97,2021-10-17
21.0,2021-10-18
20.94,2021-10-19
20.44,2021-10-20
20.19,2021-10-21
19.97,2021-10-22
19.9,2021-10-23
19.87,2021-10-24
19.68,2021-10-25
19.49,2021-10-26
19.48,2021-10-27
19.24,2021-10-28
19.2,2021-10-29
19.0,2021-10-30
19.47,2021-11-1
20.9,2021-11-2
20.7,2021-11-6
20.43,2021-11-7
20.43,2021-11-8
20.43,2021-11-10
23.63,2021-11-11
23.38,2021-11-12
23.4,2021-11-13
23.16,2021-11-14
22.92,2021-11-15
22.91,2021-11-16
22.68,2021-11-17
23.6,2021-11-22
23.6,2021-11-24
23.6,2021-11-25
23.36,2021-11-26
23.29,2021-11-28
23.06,2021-11-29
22.83,2021-11-30
22.82,2021-12-1
22.6,2021-12-2
22.38,2021-12-3
22.38,2021-12-4
22.37,2021-12-5
22.36,2021-12-6
22.36,2021-12-7
22.13,2021-12-8
24.0,2021-12-9
24.0,2021-12-10
24.0,2021-12-11
24.0,2021-12-13
23.75,2021-12-14
23.64,2021-12-15
23.52,2021-12-16
23.52,2021-12-17
23.51,2021-12-18
23.51,2021-12-19
23.99,2021-12-20
23.99,2021-12-21
23.99,2021-12-22
25.0,2021-12-23
25.0,2021-12-25
24.75,2021-12-26
24.75,2021-12-27
24.75,2021-12-28
24.74,2021-12-29
24.74,2021-12-30
24.73,2021-12-31
25.8,2022-1-1
25.8,2022-1-2
25.8,2022-1-3
25.54,2022-1-4
25.54,2022-1-5
25.28,2022-1-6
25.27,2022-1-7
25.02,2022-1-8
24.76,2022-1-9
24.7,2022-1-10
24.53,2022-1-11
24.52,2022-1-12
24.52,2022-1-13
24.51,2022-1-14
24.51,2022-1-15
24.27,2022-1-16
24.26,2022-1-17
24.25,2022-1-18
24.29,2022-1-19
25.2,2022-1-20
24.0,2022-1-21
24.0,2022-1-22
24.0,2022-1-23
23.76,2022-1-24
23.76,2022-1-25
24.95,2022-1-26
24.9,2022-1-27
24.89,2022-1-28
24.89,2022-1-29
24.89,2022-1-30
24.65,2022-1-31
24.64,2022-2-1
26.0,2022-2-2
27.84,2022-2-3
27.48,2022-2-5
26.51,2022-2-6
25.98,2022-2-7
25.51,2022-2-8
25.0,2022-2-9
27.83,2022-2-10
27.55,2022-2-11
26.0,2022-2-12
25.99,2022-2-13
25.97,2022-2-14
25.97,2022-2-15
25.71,2022-2-16
25.7,2022-2-17
25.69,2022-2-18
25.44,2022-2-19
25.68,2022-2-20
25.42,2022-2-21
25.95,2022-2-22
25.68,2022-2-23
25.67,2022-2-24
25.65,2022-2-25
25.65,2022-2-26
25.9,2022-2-27
25.9,2022-2-28
25.9,2022-3-1
25.65,2022-3-2
25.4,2022-3-3
25.65,2022-3-4
30.0,2022-3-5
29.9,2022-3-6
27.72,2022-3-7
27.72,2022-3-8
27.72,2022-3-9
29.8,2022-3-10
29.69,2022-3-11
29.7,2022-3-12
29.7,2022-3-14
27.0,2022-3-15
27.0,2022-3-16
28.98,2022-3-18
27.72,2022-3-21
27.6,2022-3-22
27.4,2022-3-24
27.4,2022-3-25
27.4,2022-3-26
28.39,2022-3-27
28.0,2022-3-28
27.71,2022-3-29
27.59,2022-3-30
27.58,2022-3-31
31.0,2022-4-4
30.69,2022-4-6
